Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
William Saliba,frFRA,DF,22,50,50,"4,501",50.0,2,1,3,2,0,0,6,0,0.04,0.02,0.06,0.04,0.06,Matches
Gabriel Magalhães,brBRA,DF,25,50,48,"4,330",48.1,4,0,4,4,0,0,5,0,0.08,0.00,0.08,0.08,0.08,Matches
Declan Rice,engENG,MF,24,51,48,"4,267",47.4,7,9,16,7,0,0,7,0,0.15,0.19,0.34,0.15,0.34,Matches
Ben White,engENG,DF,25,51,46,"4,080",45.3,4,5,9,4,0,0,11,0,0.09,0.11,0.20,0.09,0.20,Matches
Martin Ødegaard,noNOR,MF,24,48,45,"4,041",44.9,11,11,22,9,2,2,2,0,0.24,0.24,0.49,0.20,0.45,Matches
Bukayo Saka,engENG,FW,21,47,46,"3,844",42.7,20,14,34,14,6,6,4,0,0.47,0.33,0.80,0.33,0.66,Matches
Kai Havertz,deGER,"MF,FW",24,51,43,"3,817",42.4,14,7,21,13,1,1,14,0,0.33,0.17,0.50,0.31,0.47,Matches
David Raya,esESP,GK,27,41,41,"3,720",41.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Gabriel Martinelli,brBRA,FW,22,44,31,"2,628",29.2,8,5,13,8,0,0,1,0,0.27,0.17,0.45,0.27,0.45,Matches
Leandro Trossard,beBEL,FW,28,46,25,"2,264",25.2,17,2,19,17,0,0,2,0,0.68,0.08,0.76,0.68,0.76,Matches
Oleksandr Zinchenko,uaUKR,DF,26,35,24,"2,078",23.1,1,2,3,1,0,0,3,0,0.04,0.09,0.13,0.04,0.13,Matches
Gabriel Jesus,brBRA,FW,26,36,21,"1,907",21.2,8,8,16,8,0,0,8,0,0.38,0.38,0.76,0.38,0.76,Matches
Jorginho,itITA,MF,31,36,19,"1,679",18.7,1,2,3,0,1,1,2,0,0.05,0.11,0.16,0.00,0.11,Matches
Takehiro Tomiyasu,jpJPN,DF,24,30,16,"1,661",18.5,2,3,5,2,0,0,2,1,0.11,0.16,0.27,0.11,0.27,Matches
Jakub Kiwior,plPOL,DF,23,30,18,"1,594",17.7,1,3,4,1,0,0,2,0,0.06,0.17,0.23,0.06,0.23,Matches
Eddie Nketiah,engENG,FW,24,37,13,"1,408",15.6,6,3,9,6,0,0,4,0,0.38,0.19,0.58,0.38,0.58,Matches
Aaron Ramsdale,engENG,GK,25,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Thomas Partey,ghGHA,"DF,MF",30,16,10,883,9.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Reiss Nelson,engENG,FW,23,23,5,652,7.2,1,2,3,1,0,0,1,0,0.14,0.28,0.41,0.14,0.41,Matches
Emile Smith Rowe,engENG,MF,23,19,4,486,5.4,0,1,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches
Fabio Vieira,ptPOR,MF,23,16,3,480,5.3,1,3,4,0,1,1,0,1,0.19,0.56,0.75,0.00,0.56,Matches
Jurriën Timber,nlNED,DF,22,3,2,146,1.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Cédric Soares,ptPOR,DF,31,5,1,127,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mohamed Elneny,egEGY,MF,31,6,1,99,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Charles Sagoe Jr,engENG,"FW,MF",19,1,1,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kieran Tierney,sctSCO,"DF,MF",26,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ethan Nwaneri,engENG,MF,16,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ayden Heaven,engENG,DF,16,0,0,,,,,,,,,,,,,,,,Matches
Myles Lewis-Skelly,engENG,DF,16,0,0,,,,,,,,,,,,,,,,Matches
James Sweet,wlsWAL,DF,19,0,0,,,,,,,,,,,,,,,,Matches
Reuell Walters,engENG,DF,18,0,0,,,,,,,,,,,,,,,,Matches
Amario Cozier-Duberry,engENG,"FW,MF",18,0,0,,,,,,,,,,,,,,,,Matches
Lino Sousa,engENG,DF,18,0,0,,,,,,,,,,,,,,,,Matches
Mauro Bandeira,ptPOR,MF,19,0,0,,,,,,,,,,,,,,,,Matches
Bradley Ibrahim,engENG,MF,18,0,0,,,,,,,,,,,,,,,,Matches
Karl Jakob Hein,eeEST,GK,21,0,0,,,,,,,,,,,,,,,,Matches
Rob Holding,engENG,DF,27,0,0,,,,,,,,,,,,,,,,Matches
Matt Turner,usUSA,GK,29,0,0,,,,,,,,,,,,,,,,Matches
