Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,Gabriel Martinelli,11,br BRA,FW,22-164,90,1,0,0,0,3,2,0,0,1,1,0,0,0,0,0,,
e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,Gabriel Jesus,9,br BRA,FW,26-240,81,1,1,0,0,1,1,0,0,3,3,0,0,0,0,0,,
e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,Eddie Nketiah,14,eng ENG,FW,24-183,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,Bukayo Saka,7,eng ENG,FW,22-085,65,1,1,0,0,1,1,0,0,2,3,0,0,3,0,0,,
e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,Reiss Nelson,24,eng ENG,"FW,MF",23-354,25,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,
e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,Kai Havertz,29,de GER,CM,24-171,90,1,0,0,0,2,1,0,0,4,1,0,0,1,0,0,,
e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,Declan Rice,41,eng ENG,CM,24-319,74,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,
e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,Jorginho,20,it ITA,MF,31-344,16,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,,
e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,Martin Ødegaard,8,no NOR,CM,24-347,90,1,0,0,0,3,2,0,0,2,1,0,2,0,1,0,,
e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,Oleksandr Zinchenko,35,ua UKR,LB,26-349,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,
e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,Jakub Kiwior,15,pl POL,"DF,MF",23-287,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,
e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,Gabriel Magalhães,6,br BRA,CB,25-345,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,William Saliba,2,fr FRA,CB,22-250,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,
e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,Takehiro Tomiyasu,18,jp JPN,RB,25-024,45,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,,
e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,Ben White,4,eng ENG,DF,26-052,45,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,,
e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,David Raya,22,es ESP,GK,28-075,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
