season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_goalkeeper_stats.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,Aaron Ramsdale,eng ENG,25-084,90,5,1,4,80.0
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_goalkeeper_stats.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,Aaron Ramsdale,eng ENG,25-090,90,2,1,1,50.0
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_goalkeeper_stats.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,Aaron Ramsdale,eng ENG,25-099,90,2,0,2,100.0
2023-2024,Arsenal 2023 2024,2023-08-26,Premier League,Fulham,2023-08-26_premier_league_fulham_goalkeeper_stats.csv,d8f8f8ad,https://fbref.com/en/matches/d8f8f8ad/Arsenal-Fulham-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Fulham,D,2023-08-26_premier_league_fulham,Arsenal,Aaron Ramsdale,eng ENG,25-104,90,3,2,1,33.3
2023-2024,Arsenal 2023 2024,2023-09-03,Premier League,Manchester Utd,2023-09-03_premier_league_manchester_utd_goalkeeper_stats.csv,74125d47,https://fbref.com/en/matches/74125d47/Arsenal-Manchester-United-September-3-2023-Premier-League,2023-09-03,Premier League,Matchweek 4,Home,Manchester Utd,W,2023-09-03_premier_league_manchester_utd,Arsenal,Aaron Ramsdale,eng ENG,25-112,90,2,1,1,50.0
2023-2024,Arsenal 2023 2024,2023-09-17,Premier League,Everton,2023-09-17_premier_league_everton_goalkeeper_stats.csv,b1278924,https://fbref.com/en/matches/b1278924/Everton-Arsenal-September-17-2023-Premier-League,2023-09-17,Premier League,Matchweek 5,Away,Everton,W,2023-09-17_premier_league_everton,Arsenal,David Raya,es ESP,28-002,90,1,0,1,100.0
2023-2024,Arsenal 2023 2024,2023-09-20,Champions Lg,Nlpsv,2023-09-20_champions_lg_nlpsv_goalkeeper_stats.csv,9928de4e,https://fbref.com/en/matches/9928de4e/Arsenal-PSV-Eindhoven-September-20-2023-Champions-League,2023-09-20,Champions Lg,Group stage,Home,nlPSV,W,2023-09-20_champions_lg_nlpsv,Arsenal,David Raya,es ESP,28-005,90,4,0,4,100.0
2023-2024,Arsenal 2023 2024,2023-09-24,Premier League,Tottenham Hotspur,2023-09-24_premier_league_tottenham_hotspur_goalkeeper_stats.csv,08947a10,https://fbref.com/en/matches/08947a10/North-London-Derby-Arsenal-Tottenham-Hotspur-September-24-2023-Premier-League,2023-09-24,Premier League,Matchweek 6,Home,Tottenham Hotspur,D,2023-09-24_premier_league_tottenham_hotspur,Arsenal,David Raya,es ESP,28-009,90,5,2,3,60.0
2023-2024,Arsenal 2023 2024,2023-09-27,Efl Cup,Brentford,2023-09-27_efl_cup_brentford_goalkeeper_stats.csv,80d68b2d,https://fbref.com/en/matches/80d68b2d/Brentford-Arsenal-September-27-2023-EFL-Cup,2023-09-27,EFL Cup,Third round,Away,Brentford,W,2023-09-27_efl_cup_brentford,Arsenal,Aaron Ramsdale,eng ENG,25-136,90,3,0,3,100.0
2023-2024,Arsenal 2023 2024,2023-09-30,Premier League,Bournemouth,2023-09-30_premier_league_bournemouth_goalkeeper_stats.csv,8de4aca0,https://fbref.com/en/matches/8de4aca0/Bournemouth-Arsenal-September-30-2023-Premier-League,2023-09-30,Premier League,Matchweek 7,Away,Bournemouth,W,2023-09-30_premier_league_bournemouth,Arsenal,David Raya,es ESP,28-015,90,1,0,1,100.0
