Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Starter,24,André Onana
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Starter,8,Bruno Fernandes
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Starter,10,Marcus Rashford
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Starter,11,Rasmus Højlund
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Starter,14,Christian Eriksen
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Starter,17,Alejandro Garnacho
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Starter,19,Raphaël Varane
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Starter,20,Diogo Dalot
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Starter,29,Aaron Wan-Bissaka
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Starter,35,Jonny Evans
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Starter,37,Kobbie Mainoo
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Bench,1,Altay Bayındır
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Bench,15,Sergio Reguilón
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Bench,21,Antony
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Bench,28,Facundo Pellistri
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Bench,34,Donny van de Beek
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Bench,39,Scott McTominay
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Bench,44,Daniel Gore
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Bench,46,Hannibal Mejbri
83709fdf,https://fbref.com/en/matches/83709fdf/Manchester-United-Aston-Villa-December-26-2023-Premier-League,2023-12-26,Premier League,Matchweek 19,Home,Aston Villa,W,2023-12-26_premier_league_aston_villa,Manchester Utd,4-2-3-1,Bench,53,Willy Kambwala
