Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
7ce66c13,https://fbref.com/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,Manchester Utd,W,2023-11-01_efl_cup_manchester_utd,Newcastle United,Joelinton,7,br BRA,FW,27-079,90,0,1,0,0,1,0,1,0,3,0,0,0,3,3,0,,
7ce66c13,https://fbref.com/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,Manchester Utd,W,2023-11-01_efl_cup_manchester_utd,Newcastle United,Anthony Gordon,10,eng ENG,FW,22-250,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
7ce66c13,https://fbref.com/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,Manchester Utd,W,2023-11-01_efl_cup_manchester_utd,Newcastle United,Callum Wilson,9,eng ENG,FW,31-247,27,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
7ce66c13,https://fbref.com/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,Manchester Utd,W,2023-11-01_efl_cup_manchester_utd,Newcastle United,Matt Ritchie,11,sct SCO,FW,34-052,74,0,0,0,0,1,0,0,0,2,1,0,4,1,0,0,,
7ce66c13,https://fbref.com/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,Manchester Utd,W,2023-11-01_efl_cup_manchester_utd,Newcastle United,Kieran Trippier,2,eng ENG,"DF,MF",33-043,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
7ce66c13,https://fbref.com/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,Manchester Utd,W,2023-11-01_efl_cup_manchester_utd,Newcastle United,Joe Willock,28,eng ENG,CM,24-073,63,1,0,0,0,2,2,1,0,1,2,1,0,1,0,0,,
7ce66c13,https://fbref.com/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,Manchester Utd,W,2023-11-01_efl_cup_manchester_utd,Newcastle United,Bruno Guimarães,39,br BRA,MF,25-350,27,0,0,0,0,1,0,0,0,1,3,0,0,1,2,0,,
7ce66c13,https://fbref.com/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,Manchester Utd,W,2023-11-01_efl_cup_manchester_utd,Newcastle United,Matt Targett,13,eng ENG,CM,28-044,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
7ce66c13,https://fbref.com/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,Manchester Utd,W,2023-11-01_efl_cup_manchester_utd,Newcastle United,Miguel Almirón,24,py PAR,"FW,MF",29-264,86,1,0,0,0,1,1,0,0,0,0,0,1,4,0,0,,
7ce66c13,https://fbref.com/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,Manchester Utd,W,2023-11-01_efl_cup_manchester_utd,Newcastle United,Sean Longstaff,36,eng ENG,CM,26-002,90,0,0,0,0,1,0,0,0,0,3,0,0,1,2,0,,
7ce66c13,https://fbref.com/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,Manchester Utd,W,2023-11-01_efl_cup_manchester_utd,Newcastle United,Lewis Hall,20,eng ENG,LB,19-054,73,1,0,0,0,1,1,0,0,1,1,0,0,2,1,0,,
7ce66c13,https://fbref.com/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,Manchester Utd,W,2023-11-01_efl_cup_manchester_utd,Newcastle United,Dan Burn,33,eng ENG,DF,31-176,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
7ce66c13,https://fbref.com/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,Manchester Utd,W,2023-11-01_efl_cup_manchester_utd,Newcastle United,Paul Dummett,3,wls WAL,CB,32-036,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
7ce66c13,https://fbref.com/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,Manchester Utd,W,2023-11-01_efl_cup_manchester_utd,Newcastle United,Emil Krafth,17,se SWE,CB,29-091,90,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,,
7ce66c13,https://fbref.com/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,Manchester Utd,W,2023-11-01_efl_cup_manchester_utd,Newcastle United,Valentino Livramento,21,eng ENG,RB,20-354,90,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,,
7ce66c13,https://fbref.com/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,Manchester Utd,W,2023-11-01_efl_cup_manchester_utd,Newcastle United,Martin Dúbravka,1,sk SVK,GK,34-290,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
