Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
2fe9d766,https://fbref.com/en/matches/2fe9d766/Everton-Newcastle-United-December-7-2023-Premier-League,2023-12-07,Premier League,Matchweek 15,Away,Everton,L,2023-12-07_premier_league_everton,Newcastle United,Anthony Gordon,10,eng ENG,FW,22-286,90,0,0,0,0,3,1,0,0,2,2,0,1,1,0,0,,
2fe9d766,https://fbref.com/en/matches/2fe9d766/Everton-Newcastle-United-December-7-2023-Premier-League,2023-12-07,Premier League,Matchweek 15,Away,Everton,L,2023-12-07_premier_league_everton,Newcastle United,Alexander Isak,14,se SWE,FW,24-077,90,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,,
2fe9d766,https://fbref.com/en/matches/2fe9d766/Everton-Newcastle-United-December-7-2023-Premier-League,2023-12-07,Premier League,Matchweek 15,Away,Everton,L,2023-12-07_premier_league_everton,Newcastle United,Miguel Almirón,24,py PAR,FW,29-300,90,0,0,0,0,3,1,0,0,1,2,0,0,0,0,0,,
2fe9d766,https://fbref.com/en/matches/2fe9d766/Everton-Newcastle-United-December-7-2023-Premier-League,2023-12-07,Premier League,Matchweek 15,Away,Everton,L,2023-12-07_premier_league_everton,Newcastle United,Joelinton,7,br BRA,CM,27-115,90,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,,
2fe9d766,https://fbref.com/en/matches/2fe9d766/Everton-Newcastle-United-December-7-2023-Premier-League,2023-12-07,Premier League,Matchweek 15,Away,Everton,L,2023-12-07_premier_league_everton,Newcastle United,Bruno Guimarães,39,br BRA,CM,26-021,90,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,,
2fe9d766,https://fbref.com/en/matches/2fe9d766/Everton-Newcastle-United-December-7-2023-Premier-League,2023-12-07,Premier League,Matchweek 15,Away,Everton,L,2023-12-07_premier_league_everton,Newcastle United,Lewis Miley,67,eng ENG,CM,17-220,89,0,0,0,0,2,0,0,0,0,1,1,3,1,0,0,,
2fe9d766,https://fbref.com/en/matches/2fe9d766/Everton-Newcastle-United-December-7-2023-Premier-League,2023-12-07,Premier League,Matchweek 15,Away,Everton,L,2023-12-07_premier_league_everton,Newcastle United,Matt Ritchie,11,sct SCO,"DF,MF",34-088,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
2fe9d766,https://fbref.com/en/matches/2fe9d766/Everton-Newcastle-United-December-7-2023-Premier-League,2023-12-07,Premier League,Matchweek 15,Away,Everton,L,2023-12-07_premier_league_everton,Newcastle United,Valentino Livramento,21,eng ENG,LB,21-025,90,0,0,0,0,0,0,0,0,1,6,1,2,0,0,0,,
2fe9d766,https://fbref.com/en/matches/2fe9d766/Everton-Newcastle-United-December-7-2023-Premier-League,2023-12-07,Premier League,Matchweek 15,Away,Everton,L,2023-12-07_premier_league_everton,Newcastle United,Fabian Schär,5,ch SUI,CB,31-352,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
2fe9d766,https://fbref.com/en/matches/2fe9d766/Everton-Newcastle-United-December-7-2023-Premier-League,2023-12-07,Premier League,Matchweek 15,Away,Everton,L,2023-12-07_premier_league_everton,Newcastle United,Jamaal Lascelles,6,eng ENG,CB,30-026,89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
2fe9d766,https://fbref.com/en/matches/2fe9d766/Everton-Newcastle-United-December-7-2023-Premier-League,2023-12-07,Premier League,Matchweek 15,Away,Everton,L,2023-12-07_premier_league_everton,Newcastle United,Emil Krafth,17,se SWE,DF,29-127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2fe9d766,https://fbref.com/en/matches/2fe9d766/Everton-Newcastle-United-December-7-2023-Premier-League,2023-12-07,Premier League,Matchweek 15,Away,Everton,L,2023-12-07_premier_league_everton,Newcastle United,Kieran Trippier,2,eng ENG,RB,33-079,90,0,0,0,0,1,1,0,0,1,1,0,5,2,0,0,,
2fe9d766,https://fbref.com/en/matches/2fe9d766/Everton-Newcastle-United-December-7-2023-Premier-League,2023-12-07,Premier League,Matchweek 15,Away,Everton,L,2023-12-07_premier_league_everton,Newcastle United,Martin Dúbravka,1,sk SVK,GK,34-326,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
