Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Starter,1,Martin Dúbravka
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Starter,2,Kieran Trippier
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Starter,5,Fabian Schär
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Starter,6,Jamaal Lascelles
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Starter,7,Joelinton
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Starter,9,Callum Wilson
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Starter,10,Anthony Gordon
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Starter,21,Valentino Livramento
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Starter,24,Miguel Almirón
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Starter,39,Bruno Guimarães
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Starter,67,Lewis Miley
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Bench,18,Loris Karius
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Bench,82,Adam Harrison
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Bench,3,Paul Dummett
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Bench,14,Alexander Isak
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Bench,20,Lewis Hall
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Bench,33,Dan Burn
49e9dcae,https://fbref.com/en/matches/49e9dcae/Newcastle-United-Milan-December-13-2023-Champions-League,2023-12-13,Champions Lg,Group stage,Home,itMilan,L,2023-12-13_champions_lg_itmilan,Newcastle United,4-3-3,Bench,36,Sean Longstaff
