team,appearances,minutesPlayed,tackles,interceptions,clearances,aerialDuelsWon,groundDuelsWon,blockedShots,errorLeadToGoal,rating
Newcastle United,5,450,0,0,6,0,0,0,0,7.7
Borussia Dortmund,1,90,0,0,0,2,0,0,0,7.6
Real Madrid,8,750,0,0,13,3,2,0,0,7.58
Inter,7,660,0,0,5,1,0,0,0,7.54
Borussia Dortmund,12,1080,0,0,13,1,3,0,0,7.54
Red Bull Salzburg,6,540,0,1,4,1,0,0,0,7.53
Real Madrid,1,90,0,0,1,1,0,0,0,7.5
BSC Young Boys,5,450,0,0,4,1,1,0,1,7.4
Shakhtar Donetsk,6,540,1,0,8,4,4,0,0,7.4
Sevilla,2,180,0,0,2,1,0,0,0,7.35
SSC Napoli,8,720,0,0,7,1,1,0,0,7.29
Milan,6,531,0,0,10,2,3,0,0,7.27
Atlético Madrid,10,930,0,0,6,2,1,0,0,7.24
FK Crvena zvezda,6,540,0,0,6,0,1,0,2,7.17
Arsenal,9,840,0,0,5,2,0,0,1,7.17
Benfica,6,540,0,0,8,2,1,0,0,7.12
Royal Antwerp FC,1,90,0,0,0,0,0,0,0,7.1
1. FC Union Berlin,6,540,0,0,8,1,1,0,0,7.1
RC Lens,6,540,0,0,3,0,2,0,1,7.08
Sporting Braga,6,540,0,0,3,2,1,0,0,7.08
Lazio,8,720,0,0,3,4,0,0,0,7.08
Real Sociedad,8,720,0,0,6,1,1,0,0,7.06
FC Barcelona,8,720,0,0,2,1,1,0,0,7.04
FC København,8,720,0,0,6,3,0,0,1,7.04
Paris Saint-Germain,12,1080,1,0,10,3,2,0,1,7.03
Real Madrid,4,360,0,0,1,2,1,0,0,7.03
FC Bayern München,9,810,0,0,6,3,3,0,1,7.02
Celtic,6,540,0,0,9,2,0,0,0,7.02
Arsenal,1,90,0,0,0,0,0,0,0,7.0
FC Barcelona,2,180,0,0,3,1,0,0,0,7.0
FC Porto,8,750,0,0,9,3,0,0,0,6.94
Milan,1,9,0,0,1,0,0,0,0,6.9
RB Leipzig,5,450,0,0,4,1,0,0,0,6.88
Manchester United,6,540,0,1,5,0,0,0,2,6.87
Galatasaray,6,540,2,0,10,2,4,0,0,6.87
PSV Eindhoven,8,720,0,0,4,2,0,0,0,6.86
Manchester City,7,660,0,0,2,0,0,0,1,6.83
Feyenoord,4,360,0,0,4,2,1,0,0,6.78
Feyenoord,2,180,0,0,1,1,0,0,0,6.75
Sevilla,4,360,0,0,8,2,0,0,0,6.73
Manchester City,3,270,0,0,2,0,1,0,0,6.67
FC Bayern München,3,270,0,0,3,1,0,0,0,6.67
RB Leipzig,3,270,0,0,2,0,0,0,0,6.67
Royal Antwerp FC,5,450,0,0,0,2,0,0,2,6.58
Inter,1,90,0,0,0,0,0,0,0,6.5
BSC Young Boys,1,90,0,0,1,1,0,0,0,6.4
Newcastle United,1,90,0,0,0,0,0,0,0,6.2
RB Leipzig,2,180,4,1,8,5,7,1,0,7.9
FC Barcelona,10,810,32,19,11,8,68,0,0,7.6
RB Leipzig,7,630,17,10,15,2,22,0,0,7.56
Borussia Dortmund,5,372,21,7,8,3,31,0,0,7.52
Manchester City,7,423,4,3,2,3,29,2,0,7.45
SSC Napoli,6,451,10,5,18,17,13,0,0,7.44
Manchester City,6,569,7,8,6,8,15,1,0,7.38
Borussia Dortmund,13,1170,53,25,66,23,63,5,1,7.35
RB Leipzig,6,493,22,3,8,2,32,1,0,7.28
Paris Saint-Germain,11,982,20,12,12,10,39,7,1,7.26
Sevilla,5,450,2,4,16,18,8,0,0,7.24
Milan,4,157,7,2,5,2,10,0,0,7.23
FC Porto,7,660,10,8,20,12,17,1,0,7.23
SSC Napoli,8,720,20,6,13,13,34,2,0,7.23
Paris Saint-Germain,3,166,4,1,3,5,6,0,0,7.2
FC Bayern München,7,500,16,5,11,10,18,0,0,7.2
Atlético Madrid,9,649,10,3,6,2,20,3,0,7.18
Manchester City,9,766,11,9,18,20,18,0,0,7.18
Manchester City,8,666,12,2,10,5,21,0,0,7.18
Newcastle United,4,277,6,1,16,14,6,0,0,7.18
Shakhtar Donetsk,4,295,9,4,7,1,9,2,0,7.18
SSC Napoli,4,185,4,2,13,12,7,0,0,7.17
Benfica,6,540,12,11,24,22,19,1,0,7.17
FC Barcelona,8,720,11,10,30,22,23,0,0,7.16
Milan,6,540,7,5,15,5,20,3,0,7.15
FC Porto,4,360,5,4,20,12,6,1,0,7.15
Borussia Dortmund,12,976,26,11,34,11,33,2,0,7.13
Manchester United,4,310,1,4,13,16,2,0,0,7.13
Real Madrid,10,846,24,9,24,17,35,3,0,7.12
Paris Saint-Germain,5,422,11,9,11,1,21,2,0,7.12
Feyenoord,6,469,9,10,5,8,22,4,0,7.12
Milan,6,539,17,10,14,5,19,1,0,7.12
SSC Napoli,7,553,5,11,30,21,12,0,0,7.11
Manchester City,7,552,8,3,3,0,23,3,0,7.11
Paris Saint-Germain,6,539,12,5,12,8,17,2,0,7.1
Galatasaray,4,360,8,5,12,8,10,0,0,7.1
Celtic,1,75,3,0,3,2,3,0,0,7.1
Newcastle United,2,21,0,0,0,1,0,0,0,7.1
Real Sociedad,8,693,14,8,23,22,17,2,0,7.09
Newcastle United,6,513,11,5,12,2,19,2,0,7.08
Real Madrid,12,1039,11,4,34,18,17,0,0,7.08
Real Sociedad,7,530,7,12,7,11,15,1,0,7.07
Benfica,3,193,11,4,6,4,15,0,0,7.07
Manchester City,5,195,3,1,1,3,4,3,0,7.07
Manchester City,6,505,7,4,4,6,11,1,0,7.07
Newcastle United,3,270,9,1,7,3,16,0,0,7.07
Inter,5,480,7,9,24,13,10,0,1,7.06
FC Bayern München,6,540,20,6,19,15,35,4,0,7.05
Paris Saint-Germain,10,900,17,12,28,18,23,1,1,7.05
FC Bayern München,6,467,8,3,24,10,13,3,0,7.05
Real Sociedad,6,474,13,3,15,8,20,1,0,7.05
Lazio,4,351,8,4,12,6,10,1,0,7.05
FC København,8,708,6,6,53,15,9,2,0,7.05
FC København,8,708,8,7,37,7,14,1,0,7.05
Borussia Dortmund,7,630,15,12,23,3,24,1,2,7.04
Atlético Madrid,10,791,24,7,16,2,28,0,0,7.04
FC Porto,5,388,16,9,8,3,30,2,0,7.04
Benfica,3,169,3,4,4,3,7,0,0,7.03
Inter,6,498,9,5,34,10,13,0,0,7.03
Manchester City,7,388,4,0,9,6,8,0,0,7.03
Newcastle United,6,540,7,6,27,5,9,0,0,7.02
FC Barcelona,7,440,11,7,11,12,16,2,0,7.01
PSV Eindhoven,8,720,15,7,6,5,18,0,0,7.0
Shakhtar Donetsk,5,344,3,6,22,3,5,0,0,7.0
FC Bayern München,7,388,5,4,3,1,9,3,0,7.0
FC Bayern München,8,649,17,7,7,11,25,2,0,7.0
1. FC Union Berlin,4,270,8,0,9,1,14,0,0,7.0
Newcastle United,1,90,0,0,2,1,0,0,0,7.0
Paris Saint-Germain,5,408,11,5,11,16,18,0,0,7.0
Arsenal,10,930,9,3,34,16,15,1,0,7.0
Lazio,5,369,3,5,16,3,5,1,0,7.0
PSV Eindhoven,7,613,15,11,26,9,20,0,0,6.99
