team,appearances,minutesPlayed,saves,goalsConceded,rating
Newcastle United,5,450,25,5,7.7
Borussia Dortmund,1,90,4,1,7.6
Real Madrid,8,750,35,10,7.58
Inter,7,660,25,4,7.54
Borussia Dortmund,12,1080,46,10,7.54
Red Bull Salzburg,6,540,25,8,7.53
Real Madrid,1,90,3,0,7.5
BSC Young Boys,5,450,31,11,7.4
Shakhtar Donetsk,6,540,25,12,7.4
Sevilla,2,180,8,4,7.35
SSC Napoli,8,720,33,13,7.29
Milan,6,531,18,8,7.27
Atlético Madrid,10,930,38,13,7.24
FK Crvena zvezda,6,540,31,15,7.17
Arsenal,9,840,17,7,7.17
Benfica,6,540,24,11,7.12
Royal Antwerp FC,1,90,4,2,7.1
1. FC Union Berlin,6,540,19,10,7.1
RC Lens,6,540,23,11,7.08
Sporting Braga,6,540,22,12,7.08
Lazio,8,720,21,10,7.08
Real Sociedad,8,720,19,6,7.06
FC Barcelona,8,720,21,10,7.04
FC København,8,720,30,14,7.04
Paris Saint-Germain,12,1080,38,15,7.03
Real Madrid,4,360,10,5,7.03
FC Bayern München,9,810,20,8,7.02
Celtic,6,540,23,15,7.02
Arsenal,1,90,4,1,7.0
FC Barcelona,2,180,6,4,7.0
FC Porto,8,750,20,9,6.94
Milan,1,9,1,0,6.9
RB Leipzig,5,450,13,9,6.88
Manchester United,6,540,20,15,6.87
Galatasaray,6,540,13,13,6.87
PSV Eindhoven,8,720,21,13,6.86
Manchester City,7,660,7,6,6.83
Feyenoord,4,360,10,7,6.78
Feyenoord,2,180,3,3,6.75
Sevilla,4,360,8,8,6.73
Manchester City,3,270,8,7,6.67
FC Bayern München,3,270,7,5,6.67
RB Leipzig,3,270,7,3,6.67
Royal Antwerp FC,5,450,16,15,6.58
Inter,1,90,2,3,6.5
BSC Young Boys,1,90,0,2,6.4
Newcastle United,1,90,0,2,6.2
RB Leipzig,2,180,0,2,7.9
FC Barcelona,10,810,0,11,7.6
RB Leipzig,7,630,0,11,7.56
Borussia Dortmund,5,372,0,2,7.52
Manchester City,7,423,0,4,7.45
SSC Napoli,6,451,0,8,7.44
Manchester City,6,569,0,8,7.38
Borussia Dortmund,13,1170,0,11,7.35
RB Leipzig,6,493,0,5,7.28
Paris Saint-Germain,11,982,0,11,7.26
Sevilla,5,450,0,10,7.24
Milan,4,157,0,1,7.23
FC Porto,7,660,0,8,7.23
SSC Napoli,8,720,0,13,7.23
Paris Saint-Germain,3,166,0,1,7.2
FC Bayern München,7,500,0,4,7.2
Atlético Madrid,9,649,0,8,7.18
Manchester City,9,766,0,11,7.18
Manchester City,8,666,0,11,7.18
Newcastle United,4,277,0,3,7.18
Shakhtar Donetsk,4,295,0,4,7.18
SSC Napoli,4,185,0,4,7.17
Benfica,6,540,0,11,7.17
