season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
2024-2025,Aston Villa 2024 2025,2024-08-17,Premier League,West Ham United,2024-08-17_premier_league_west_ham_united_goalkeeper_stats.csv,eac7c00b,https://fbref.com/en/matches/eac7c00b/West-Ham-United-Aston-Villa-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,West Ham United,W,2024-08-17_premier_league_west_ham_united,Aston Villa,Emiliano Martínez,ar ARG,31-350,90,3.0,1,3.0,100.0
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_goalkeeper_stats.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,Emiliano Martínez,ar ARG,31-357,90,4.0,2,2.0,50.0
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_goalkeeper_stats.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,Emiliano Martínez,ar ARG,31-364,90,3.0,1,2.0,66.7
2024-2025,Aston Villa 2024 2025,2024-09-14,Premier League,Everton,2024-09-14_premier_league_everton_goalkeeper_stats.csv,cdb4c33b,https://fbref.com/en/matches/cdb4c33b/Aston-Villa-Everton-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Everton,W,2024-09-14_premier_league_everton,Aston Villa,Emiliano Martínez,ar ARG,32-012,90,2.0,2,0.0,0.0
2024-2025,Aston Villa 2024 2025,2024-09-17,Champions Lg,Chyoung Boys,2024-09-17_champions_lg_chyoung_boys_goalkeeper_stats.csv,568274fc,https://fbref.com/en/matches/568274fc/Young-Boys-Aston-Villa-September-17-2024-Champions-League,2024-09-17,Champions Lg,League phase,Away,chYoung Boys,W,2024-09-17_champions_lg_chyoung_boys,Aston Villa,Emiliano Martínez,ar ARG,32-015,90,5.0,0,5.0,100.0
2024-2025,Aston Villa 2024 2025,2024-09-21,Premier League,Wolves,2024-09-21_premier_league_wolves_goalkeeper_stats.csv,e2b62260,https://fbref.com/en/matches/e2b62260/Aston-Villa-Wolverhampton-Wanderers-September-21-2024-Premier-League,2024-09-21,Premier League,Matchweek 5,Home,Wolves,W,2024-09-21_premier_league_wolves,Aston Villa,Emiliano Martínez,ar ARG,32-019,90,4.0,1,3.0,75.0
2024-2025,Aston Villa 2024 2025,2024-09-24,Efl Cup,Wycombe Wanderers,2024-09-24_efl_cup_wycombe_wanderers_goalkeeper_stats.csv,392d81ce,https://fbref.com/en/matches/392d81ce/Wycombe-Wanderers-Aston-Villa-September-24-2024-EFL-Cup,2024-09-24,EFL Cup,Third round,Away,Wycombe Wanderers,W,2024-09-24_efl_cup_wycombe_wanderers,Aston Villa,Joe Gauci,au AUS,24-082,90,6.0,1,5.0,83.3
2024-2025,Aston Villa 2024 2025,2024-09-29,Premier League,Ipswich Town,2024-09-29_premier_league_ipswich_town_goalkeeper_stats.csv,ef742b9c,https://fbref.com/en/matches/ef742b9c/Ipswich-Town-Aston-Villa-September-29-2024-Premier-League,2024-09-29,Premier League,Matchweek 6,Away,Ipswich Town,D,2024-09-29_premier_league_ipswich_town,Aston Villa,Emiliano Martínez,ar ARG,32-027,90,5.0,2,3.0,60.0
2024-2025,Aston Villa 2024 2025,2024-10-02,Champions Lg,Debayern Munich,2024-10-02_champions_lg_debayern_munich_goalkeeper_stats.csv,a516238d,https://fbref.com/en/matches/a516238d/Aston-Villa-Bayern-Munich-October-2-2024-Champions-League,2024-10-02,Champions Lg,League phase,Home,deBayern Munich,W,2024-10-02_champions_lg_debayern_munich,Aston Villa,Emiliano Martínez,ar ARG,32-030,90,7.0,0,7.0,100.0
2024-2025,Aston Villa 2024 2025,2024-10-06,Premier League,Manchester Utd,2024-10-06_premier_league_manchester_utd_goalkeeper_stats.csv,abef5f2a,https://fbref.com/en/matches/abef5f2a/Aston-Villa-Manchester-United-October-6-2024-Premier-League,2024-10-06,Premier League,Matchweek 7,Home,Manchester Utd,D,2024-10-06_premier_league_manchester_utd,Aston Villa,Emiliano Martínez,ar ARG,32-034,90,4.0,0,4.0,100.0
