season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
2024-2025,Liverpool 2024 2025,2024-08-17,Premier League,Ipswich Town,2024-08-17_premier_league_ipswich_town_goalkeeper_stats.csv,a1d0d529,https://fbref.com/en/matches/a1d0d529/Ipswich-Town-Liverpool-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,Ipswich Town,W,2024-08-17_premier_league_ipswich_town,Liverpool,Alisson,br BRA,31-320,90,2.0,0,2.0,100.0
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_goalkeeper_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Alisson,br BRA,31-328,90,2.0,0,2.0,100.0
2024-2025,Liverpool 2024 2025,2024-09-01,Premier League,Manchester Utd,2024-09-01_premier_league_manchester_utd_goalkeeper_stats.csv,a7ab7a12,https://fbref.com/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,2024-09-01,Premier League,Matchweek 3,Away,Manchester Utd,W,2024-09-01_premier_league_manchester_utd,Liverpool,Alisson,br BRA,31-335,90,3.0,0,3.0,100.0
2024-2025,Liverpool 2024 2025,2024-09-14,Premier League,Nottingham Forest,2024-09-14_premier_league_nottingham_forest_goalkeeper_stats.csv,674bfe9e,https://fbref.com/en/matches/674bfe9e/Liverpool-Nottingham-Forest-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Nottingham Forest,L,2024-09-14_premier_league_nottingham_forest,Liverpool,Alisson,br BRA,31-348,90,3.0,1,2.0,66.7
2024-2025,Liverpool 2024 2025,2024-09-17,Champions Lg,Itmilan,2024-09-17_champions_lg_itmilan_goalkeeper_stats.csv,54ed5557,https://fbref.com/en/matches/54ed5557/Milan-Liverpool-September-17-2024-Champions-League,2024-09-17,Champions Lg,League phase,Away,itMilan,W,2024-09-17_champions_lg_itmilan,Liverpool,Alisson,br BRA,31-351,90,2.0,1,1.0,50.0
2024-2025,Liverpool 2024 2025,2024-09-21,Premier League,Bournemouth,2024-09-21_premier_league_bournemouth_goalkeeper_stats.csv,32a9539b,https://fbref.com/en/matches/32a9539b/Liverpool-Bournemouth-September-21-2024-Premier-League,2024-09-21,Premier League,Matchweek 5,Home,Bournemouth,W,2024-09-21_premier_league_bournemouth,Liverpool,Caoimhín Kelleher,ie IRL,25-303,90,7.0,0,6.0,100.0
2024-2025,Liverpool 2024 2025,2024-09-25,Efl Cup,West Ham United,2024-09-25_efl_cup_west_ham_united_goalkeeper_stats.csv,1a53f151,https://fbref.com/en/matches/1a53f151/Liverpool-West-Ham-United-September-25-2024-EFL-Cup,2024-09-25,EFL Cup,Third round,Home,West Ham United,W,2024-09-25_efl_cup_west_ham_united,Liverpool,Caoimhín Kelleher,ie IRL,25-307,90,4.0,1,3.0,75.0
2024-2025,Liverpool 2024 2025,2024-09-28,Premier League,Wolves,2024-09-28_premier_league_wolves_goalkeeper_stats.csv,f2633f1d,https://fbref.com/en/matches/f2633f1d/Wolverhampton-Wanderers-Liverpool-September-28-2024-Premier-League,2024-09-28,Premier League,Matchweek 6,Away,Wolves,W,2024-09-28_premier_league_wolves,Liverpool,Alisson,br BRA,31-362,90,3.0,1,2.0,66.7
2024-2025,Liverpool 2024 2025,2024-10-02,Champions Lg,Itbologna,2024-10-02_champions_lg_itbologna_goalkeeper_stats.csv,a749c1fe,https://fbref.com/en/matches/a749c1fe/Liverpool-Bologna-October-2-2024-Champions-League,2024-10-02,Champions Lg,League phase,Home,itBologna,W,2024-10-02_champions_lg_itbologna,Liverpool,Alisson,br BRA,32-000,90,2.0,0,2.0,100.0
2024-2025,Liverpool 2024 2025,2024-10-05,Premier League,Crystal Palace,2024-10-05_premier_league_crystal_palace_goalkeeper_stats.csv,49ea224b,https://fbref.com/en/matches/49ea224b/Crystal-Palace-Liverpool-October-5-2024-Premier-League,2024-10-05,Premier League,Matchweek 7,Away,Crystal Palace,W,2024-10-05_premier_league_crystal_palace,Liverpool,Alisson,br BRA,32-003,78,4.0,0,4.0,100.0
2024-2025,Liverpool 2024 2025,2024-10-05,Premier League,Crystal Palace,2024-10-05_premier_league_crystal_palace_goalkeeper_stats.csv,49ea224b,https://fbref.com/en/matches/49ea224b/Crystal-Palace-Liverpool-October-5-2024-Premier-League,2024-10-05,Premier League,Matchweek 7,Away,Crystal Palace,W,2024-10-05_premier_league_crystal_palace,Liverpool,Vitezslav Jaros,cz CZE,23-074,12,1.0,0,1.0,100.0
2024-2025,Liverpool 2024 2025,2024-10-20,Premier League,Chelsea,2024-10-20_premier_league_chelsea_goalkeeper_stats.csv,99b4737c,https://fbref.com/en/matches/99b4737c/Liverpool-Chelsea-October-20-2024-Premier-League,2024-10-20,Premier League,Matchweek 8,Home,Chelsea,W,2024-10-20_premier_league_chelsea,Liverpool,Caoimhín Kelleher,ie IRL,25-332,90,2.0,1,1.0,50.0
2024-2025,Liverpool 2024 2025,2024-10-23,Champions Lg,Derb Leipzig,2024-10-23_champions_lg_derb_leipzig_goalkeeper_stats.csv,7acc13f8,https://fbref.com/en/matches/7acc13f8/RB-Leipzig-Liverpool-October-23-2024-Champions-League,2024-10-23,Champions Lg,League phase,Away,deRB Leipzig,W,2024-10-23_champions_lg_derb_leipzig,Liverpool,Caoimhín Kelleher,ie IRL,25-335,90,6.0,0,6.0,100.0
2024-2025,Liverpool 2024 2025,2024-10-27,Premier League,Arsenal,2024-10-27_premier_league_arsenal_goalkeeper_stats.csv,68aa1099,https://fbref.com/en/matches/68aa1099/Arsenal-Liverpool-October-27-2024-Premier-League,2024-10-27,Premier League,Matchweek 9,Away,Arsenal,D,2024-10-27_premier_league_arsenal,Liverpool,Caoimhín Kelleher,ie IRL,25-339,90,3.0,2,1.0,33.3
2024-2025,Liverpool 2024 2025,2024-10-30,Efl Cup,Brighton,2024-10-30_efl_cup_brighton_goalkeeper_stats.csv,70ffe3fc,https://fbref.com/en/matches/70ffe3fc/Brighton-and-Hove-Albion-Liverpool-October-30-2024-EFL-Cup,2024-10-30,EFL Cup,Fourth round,Away,Brighton,W,2024-10-30_efl_cup_brighton,Liverpool,Vitezslav Jaros,cz CZE,23-099,90,7.0,2,5.0,71.4
2024-2025,Liverpool 2024 2025,2024-11-02,Premier League,Brighton,2024-11-02_premier_league_brighton_goalkeeper_stats.csv,7d114c70,https://fbref.com/en/matches/7d114c70/Liverpool-Brighton-and-Hove-Albion-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Home,Brighton,W,2024-11-02_premier_league_brighton,Liverpool,Caoimhín Kelleher,ie IRL,25-345,90,5.0,1,4.0,80.0
2024-2025,Liverpool 2024 2025,2024-11-05,Champions Lg,Deleverkusen,2024-11-05_champions_lg_deleverkusen_goalkeeper_stats.csv,8fca6c33,https://fbref.com/en/matches/8fca6c33/Liverpool-Leverkusen-November-5-2024-Champions-League,2024-11-05,Champions Lg,League phase,Home,deLeverkusen,W,2024-11-05_champions_lg_deleverkusen,Liverpool,Caoimhín Kelleher,ie IRL,25-348,90,4.0,0,4.0,100.0
2024-2025,Liverpool 2024 2025,2024-11-09,Premier League,Aston Villa,2024-11-09_premier_league_aston_villa_goalkeeper_stats.csv,737af5bf,https://fbref.com/en/matches/737af5bf/Liverpool-Aston-Villa-November-9-2024-Premier-League,2024-11-09,Premier League,Matchweek 11,Home,Aston Villa,W,2024-11-09_premier_league_aston_villa,Liverpool,Caoimhín Kelleher,ie IRL,25-352,90,2.0,0,2.0,100.0
2024-2025,Liverpool 2024 2025,2024-11-24,Premier League,Southampton,2024-11-24_premier_league_southampton_goalkeeper_stats.csv,eb6f8e39,https://fbref.com/en/matches/eb6f8e39/Southampton-Liverpool-November-24-2024-Premier-League,2024-11-24,Premier League,Matchweek 12,Away,Southampton,W,2024-11-24_premier_league_southampton,Liverpool,Caoimhín Kelleher,ie IRL,26-001,90,3.0,2,2.0,33.3
2024-2025,Liverpool 2024 2025,2024-11-27,Champions Lg,Esreal Madrid,2024-11-27_champions_lg_esreal_madrid_goalkeeper_stats.csv,fe779356,https://fbref.com/en/matches/fe779356/Liverpool-Real-Madrid-November-27-2024-Champions-League,2024-11-27,Champions Lg,League phase,Home,esReal Madrid,W,2024-11-27_champions_lg_esreal_madrid,Liverpool,Caoimhín Kelleher,ie IRL,26-004,90,1.0,0,2.0,100.0
2024-2025,Liverpool 2024 2025,2024-12-01,Premier League,Manchester City,2024-12-01_premier_league_manchester_city_goalkeeper_stats.csv,0bd6ad44,https://fbref.com/en/matches/0bd6ad44/Liverpool-Manchester-City-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Home,Manchester City,W,2024-12-01_premier_league_manchester_city,Liverpool,Caoimhín Kelleher,ie IRL,26-008,90,3.0,0,2.0,100.0
2024-2025,Liverpool 2024 2025,2024-12-04,Premier League,Newcastle United,2024-12-04_premier_league_newcastle_united_goalkeeper_stats.csv,ca898c29,https://fbref.com/en/matches/ca898c29/Newcastle-United-Liverpool-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Away,Newcastle United,D,2024-12-04_premier_league_newcastle_united,Liverpool,Caoimhín Kelleher,ie IRL,26-011,90,6.0,3,3.0,50.0
2024-2025,Liverpool 2024 2025,2024-12-10,Champions Lg,Esgirona,2024-12-10_champions_lg_esgirona_goalkeeper_stats.csv,ac8de702,https://fbref.com/en/matches/ac8de702/Girona-Liverpool-December-10-2024-Champions-League,2024-12-10,Champions Lg,League phase,Away,esGirona,W,2024-12-10_champions_lg_esgirona,Liverpool,Alisson,br BRA,32-069,90,5.0,0,5.0,100.0
2024-2025,Liverpool 2024 2025,2024-12-14,Premier League,Fulham,2024-12-14_premier_league_fulham_goalkeeper_stats.csv,a436996c,https://fbref.com/en/matches/a436996c/Liverpool-Fulham-December-14-2024-Premier-League,2024-12-14,Premier League,Matchweek 16,Home,Fulham,D,2024-12-14_premier_league_fulham,Liverpool,Alisson,br BRA,32-073,90,3.0,2,1.0,33.3
2024-2025,Liverpool 2024 2025,2024-12-18,Efl Cup,Southampton,2024-12-18_efl_cup_southampton_goalkeeper_stats.csv,51846598,https://fbref.com/en/matches/51846598/Southampton-Liverpool-December-18-2024-EFL-Cup,2024-12-18,EFL Cup,Quarter-finals,Away,Southampton,W,2024-12-18_efl_cup_southampton,Liverpool,Caoimhín Kelleher,ie IRL,26-025,90,4.0,1,3.0,75.0
2024-2025,Liverpool 2024 2025,2024-12-22,Premier League,Tottenham Hotspur,2024-12-22_premier_league_tottenham_hotspur_goalkeeper_stats.csv,1e1cea4c,https://fbref.com/en/matches/1e1cea4c/Tottenham-Hotspur-Liverpool-December-22-2024-Premier-League,2024-12-22,Premier League,Matchweek 17,Away,Tottenham Hotspur,W,2024-12-22_premier_league_tottenham_hotspur,Liverpool,Alisson,br BRA,32-081,90,5.0,3,2.0,40.0
2024-2025,Liverpool 2024 2025,2024-12-26,Premier League,Leicester City,2024-12-26_premier_league_leicester_city_goalkeeper_stats.csv,1f604fbd,https://fbref.com/en/matches/1f604fbd/Liverpool-Leicester-City-December-26-2024-Premier-League,2024-12-26,Premier League,Matchweek 18,Home,Leicester City,W,2024-12-26_premier_league_leicester_city,Liverpool,Alisson,br BRA,32-085,90,1.0,1,0.0,0.0
2024-2025,Liverpool 2024 2025,2024-12-29,Premier League,West Ham United,2024-12-29_premier_league_west_ham_united_goalkeeper_stats.csv,c1a66ac0,https://fbref.com/en/matches/c1a66ac0/West-Ham-United-Liverpool-December-29-2024-Premier-League,2024-12-29,Premier League,Matchweek 19,Away,West Ham United,W,2024-12-29_premier_league_west_ham_united,Liverpool,Alisson,br BRA,32-088,90,1.0,0,0.0,100.0
2024-2025,Liverpool 2024 2025,2025-01-05,Premier League,Manchester Utd,2025-01-05_premier_league_manchester_utd_goalkeeper_stats.csv,4cef863f,https://fbref.com/en/matches/4cef863f/North-West-Derby-Liverpool-Manchester-United-January-5-2025-Premier-League,2025-01-05,Premier League,Matchweek 20,Home,Manchester Utd,D,2025-01-05_premier_league_manchester_utd,Liverpool,Alisson,br BRA,32-095,90,4.0,2,2.0,50.0
