season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
2024-2025,Liverpool 2024 2025,2024-08-17,Premier League,Ipswich Town,2024-08-17_premier_league_ipswich_town_player_stats.csv,a1d0d529,https://fbref.com/en/matches/a1d0d529/Ipswich-Town-Liverpool-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,Ipswich Town,W,2024-08-17_premier_league_ipswich_town,Liverpool,Diogo Jota,20,pt POR,FW,27-257,78,1,0,0,0,3.0,1.0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-17,Premier League,Ipswich Town,2024-08-17_premier_league_ipswich_town_player_stats.csv,a1d0d529,https://fbref.com/en/matches/a1d0d529/Ipswich-Town-Liverpool-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,Ipswich Town,W,2024-08-17_premier_league_ipswich_town,Liverpool,Cody Gakpo,18,nl NED,"FW,MF",25-102,12,0,0,0,0,0.0,0.0,1,0,1.0,0.0,0.0,3.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-17,Premier League,Ipswich Town,2024-08-17_premier_league_ipswich_town_player_stats.csv,a1d0d529,https://fbref.com/en/matches/a1d0d529/Ipswich-Town-Liverpool-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,Ipswich Town,W,2024-08-17_premier_league_ipswich_town,Liverpool,Luis Díaz,7,co COL,AM,27-217,90,0,0,0,0,3.0,0.0,0,0,3.0,0.0,0.0,0.0,1.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-17,Premier League,Ipswich Town,2024-08-17_premier_league_ipswich_town_player_stats.csv,a1d0d529,https://fbref.com/en/matches/a1d0d529/Ipswich-Town-Liverpool-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,Ipswich Town,W,2024-08-17_premier_league_ipswich_town,Liverpool,Dominik Szoboszlai,8,hu HUN,AM,23-297,90,0,0,0,0,3.0,0.0,0,0,2.0,1.0,0.0,2.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-17,Premier League,Ipswich Town,2024-08-17_premier_league_ipswich_town_player_stats.csv,a1d0d529,https://fbref.com/en/matches/a1d0d529/Ipswich-Town-Liverpool-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,Ipswich Town,W,2024-08-17_premier_league_ipswich_town,Liverpool,Mohamed Salah,11,eg EGY,AM,32-063,90,1,1,0,0,4.0,3.0,0,0,3.0,1.0,0.0,1.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-17,Premier League,Ipswich Town,2024-08-17_premier_league_ipswich_town_player_stats.csv,a1d0d529,https://fbref.com/en/matches/a1d0d529/Ipswich-Town-Liverpool-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,Ipswich Town,W,2024-08-17_premier_league_ipswich_town,Liverpool,Alexis Mac Allister,10,ar ARG,DM,25-237,90,0,0,0,0,2.0,0.0,0,0,1.0,2.0,0.0,1.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-17,Premier League,Ipswich Town,2024-08-17_premier_league_ipswich_town_player_stats.csv,a1d0d529,https://fbref.com/en/matches/a1d0d529/Ipswich-Town-Liverpool-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,Ipswich Town,W,2024-08-17_premier_league_ipswich_town,Liverpool,Ryan Gravenberch,38,nl NED,DM,22-093,90,0,0,0,0,0.0,0.0,0,0,5.0,1.0,0.0,0.0,1.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-17,Premier League,Ipswich Town,2024-08-17_premier_league_ipswich_town_player_stats.csv,a1d0d529,https://fbref.com/en/matches/a1d0d529/Ipswich-Town-Liverpool-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,Ipswich Town,W,2024-08-17_premier_league_ipswich_town,Liverpool,Andrew Robertson,26,sct SCO,LB,30-159,78,0,0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,11.0,0.0,1.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-17,Premier League,Ipswich Town,2024-08-17_premier_league_ipswich_town_player_stats.csv,a1d0d529,https://fbref.com/en/matches/a1d0d529/Ipswich-Town-Liverpool-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,Ipswich Town,W,2024-08-17_premier_league_ipswich_town,Liverpool,Kostas Tsimikas,21,gr GRE,DF,28-097,12,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-17,Premier League,Ipswich Town,2024-08-17_premier_league_ipswich_town_player_stats.csv,a1d0d529,https://fbref.com/en/matches/a1d0d529/Ipswich-Town-Liverpool-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,Ipswich Town,W,2024-08-17_premier_league_ipswich_town,Liverpool,Virgil van Dijk,4,nl NED,CB,33-040,90,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,,
