Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Starter,31,Ederson
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Starter,2,Kyle Walker
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Starter,6,Nathan Aké
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Starter,8,Mateo Kovačić
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Starter,9,Erling Haaland
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Starter,19,İlkay Gündoğan
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Starter,20,Bernardo Silva
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Starter,24,Joško Gvardiol
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Starter,25,Manuel Akanji
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Starter,27,Matheus Nunes
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Starter,47,Phil Foden
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Bench,18,Stefan Ortega
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Bench,11,Jeremy Doku
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Bench,17,Kevin De Bruyne
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Bench,26,Sávio
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Bench,56,Jacob Wright
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Bench,66,Jahmai Simpson-Pusey
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Bench,75,Nico O’Reilly
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Bench,82,Rico Lewis
ed970fef,https://fbref.com/en/matches/ed970fef/Bournemouth-Manchester-City-November-2-2024-Premier-League,2024-11-02,Premier League,Matchweek 10,Away,Bournemouth,L,2024-11-02_premier_league_bournemouth,Manchester City,4-1-4-1,Bench,87,James Mcatee
