Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
6a433468,https://fbref.com/en/matches/6a433468/Manchester-City-Wolverhampton-Wanderers-May-2-2025-Premier-League,2025-05-02,Premier League,Matchweek 35,Home,Wolves,W,2025-05-02_premier_league_wolves,Manchester City,Kevin De Bruyne,17,be BEL,FW,33-308,83,1,0,0,0,1,1,0,0,2,0,0,7,1,0,0,,
6a433468,https://fbref.com/en/matches/6a433468/Manchester-City-Wolverhampton-Wanderers-May-2-2025-Premier-League,2025-05-02,Premier League,Matchweek 35,Home,Wolves,W,2025-05-02_premier_league_wolves,Manchester City,Phil Foden,47,eng ENG,"FW,MF",24-339,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
6a433468,https://fbref.com/en/matches/6a433468/Manchester-City-Wolverhampton-Wanderers-May-2-2025-Premier-League,2025-05-02,Premier League,Matchweek 35,Home,Wolves,W,2025-05-02_premier_league_wolves,Manchester City,Jeremy Doku,11,be BEL,AM,22-340,90,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,,
6a433468,https://fbref.com/en/matches/6a433468/Manchester-City-Wolverhampton-Wanderers-May-2-2025-Premier-League,2025-05-02,Premier League,Matchweek 35,Home,Wolves,W,2025-05-02_premier_league_wolves,Manchester City,İlkay Gündoğan,19,de GER,AM,34-190,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
6a433468,https://fbref.com/en/matches/6a433468/Manchester-City-Wolverhampton-Wanderers-May-2-2025-Premier-League,2025-05-02,Premier League,Matchweek 35,Home,Wolves,W,2025-05-02_premier_league_wolves,Manchester City,James Mcatee,87,eng ENG,MF,22-196,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
6a433468,https://fbref.com/en/matches/6a433468/Manchester-City-Wolverhampton-Wanderers-May-2-2025-Premier-League,2025-05-02,Premier League,Matchweek 35,Home,Wolves,W,2025-05-02_premier_league_wolves,Manchester City,Omar Marmoush,7,eg EGY,AM,26-084,82,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,
6a433468,https://fbref.com/en/matches/6a433468/Manchester-City-Wolverhampton-Wanderers-May-2-2025-Premier-League,2025-05-02,Premier League,Matchweek 35,Home,Wolves,W,2025-05-02_premier_league_wolves,Manchester City,Rico Lewis,82,eng ENG,DF,20-162,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
6a433468,https://fbref.com/en/matches/6a433468/Manchester-City-Wolverhampton-Wanderers-May-2-2025-Premier-League,2025-05-02,Premier League,Matchweek 35,Home,Wolves,W,2025-05-02_premier_league_wolves,Manchester City,Mateo Kovačić,8,hr CRO,DM,30-361,89,0,0,0,0,3,0,0,0,1,1,0,0,2,0,0,,
6a433468,https://fbref.com/en/matches/6a433468/Manchester-City-Wolverhampton-Wanderers-May-2-2025-Premier-League,2025-05-02,Premier League,Matchweek 35,Home,Wolves,W,2025-05-02_premier_league_wolves,Manchester City,Nicolás González,14,es ESP,MF,23-119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
6a433468,https://fbref.com/en/matches/6a433468/Manchester-City-Wolverhampton-Wanderers-May-2-2025-Premier-League,2025-05-02,Premier League,Matchweek 35,Home,Wolves,W,2025-05-02_premier_league_wolves,Manchester City,Bernardo Silva,20,pt POR,DM,30-265,90,0,0,0,0,0,0,0,0,1,2,0,4,2,1,0,,
6a433468,https://fbref.com/en/matches/6a433468/Manchester-City-Wolverhampton-Wanderers-May-2-2025-Premier-League,2025-05-02,Premier League,Matchweek 35,Home,Wolves,W,2025-05-02_premier_league_wolves,Manchester City,Nico O’Reilly,75,eng ENG,LB,20-042,57,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,,
6a433468,https://fbref.com/en/matches/6a433468/Manchester-City-Wolverhampton-Wanderers-May-2-2025-Premier-League,2025-05-02,Premier League,Matchweek 35,Home,Wolves,W,2025-05-02_premier_league_wolves,Manchester City,Manuel Akanji,25,ch SUI,"DF,MF",29-287,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
6a433468,https://fbref.com/en/matches/6a433468/Manchester-City-Wolverhampton-Wanderers-May-2-2025-Premier-League,2025-05-02,Premier League,Matchweek 35,Home,Wolves,W,2025-05-02_premier_league_wolves,Manchester City,Joško Gvardiol,24,hr CRO,CB,23-099,90,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,,
6a433468,https://fbref.com/en/matches/6a433468/Manchester-City-Wolverhampton-Wanderers-May-2-2025-Premier-League,2025-05-02,Premier League,Matchweek 35,Home,Wolves,W,2025-05-02_premier_league_wolves,Manchester City,Rúben Dias,3,pt POR,CB,27-353,90,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,
6a433468,https://fbref.com/en/matches/6a433468/Manchester-City-Wolverhampton-Wanderers-May-2-2025-Premier-League,2025-05-02,Premier League,Matchweek 35,Home,Wolves,W,2025-05-02_premier_league_wolves,Manchester City,Matheus Nunes,27,pt POR,RB,26-248,90,0,0,0,0,0,0,0,0,0,3,0,2,3,1,0,,
6a433468,https://fbref.com/en/matches/6a433468/Manchester-City-Wolverhampton-Wanderers-May-2-2025-Premier-League,2025-05-02,Premier League,Matchweek 35,Home,Wolves,W,2025-05-02_premier_league_wolves,Manchester City,Ederson,31,br BRA,GK,31-258,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
