match_id,date,home_team,away_team,home_score,away_score,status
13412185,1739995200,Real Madrid,Manchester City,3,1,Ended
13511919,1741110300,Club Brugge KV,Aston Villa,1,3,Ended
13511921,1741118400,Borussia Dortmund,Lille,1,1,Ended
13511927,1741118400,PSV Eindhoven,Arsenal,1,7,Ended
13511923,1741118400,Real Madrid,Atlético Madrid,2,1,Ended
13511929,1741196700,Feyenoord,Inter,0,2,Ended
13511925,1741204800,FC Bayern München,Bayer 04 Leverkusen,3,0,Ended
13511931,1741204800,Paris Saint-Germain,Liverpool FC,0,1,Ended
13511933,1741204800,Benfica,FC Barcelona,0,1,Ended
13511934,1741715100,FC Barcelona,Benfica,3,1,Ended
13511930,1741723200,Inter,Feyenoord,2,1,Ended
13511926,1741723200,Bayer 04 Leverkusen,FC Bayern München,0,2,Ended
13511932,1741723200,Liverpool FC,Paris Saint-Germain,1,5,AP
13511922,1741801500,Lille,Borussia Dortmund,1,2,Ended
13511920,1741809600,Aston Villa,Club Brugge KV,3,0,Ended
13511928,1741809600,Arsenal,PSV Eindhoven,2,2,Ended
13511924,1741809600,Atlético Madrid,Real Madrid,3,4,AP
13513402,1744138800,FC Bayern München,Inter,1,2,Ended
13513403,1744138800,Arsenal,Real Madrid,3,0,Ended
13513406,1744225200,Paris Saint-Germain,Aston Villa,3,1,Ended
13513404,1744225200,FC Barcelona,Borussia Dortmund,4,0,Ended
13513421,1744743600,Aston Villa,Paris Saint-Germain,3,2,Ended
13513405,1744743600,Borussia Dortmund,FC Barcelona,3,1,Ended
13513420,1744830000,Inter,FC Bayern München,2,2,Ended
13513422,1744830000,Real Madrid,Arsenal,1,2,Ended
13513415,1745953200,Arsenal,Paris Saint-Germain,0,1,Ended
13513414,1746039600,FC Barcelona,Inter,3,3,Ended
13513416,1746558000,Inter,FC Barcelona,4,3,AET
13513417,1746644400,Paris Saint-Germain,Arsenal,2,1,Ended
13516694,1748718000,Paris Saint-Germain,Inter,5,0,Ended
12764494,1738180800,Sporting CP,Bologna,1,1,Ended
12763958,1738180800,Aston Villa,Celtic,4,2,Ended
12764059,1738180800,Bayer 04 Leverkusen,AC Sparta Praha,2,0,Ended
12764152,1738180800,Borussia Dortmund,Shakhtar Donetsk,3,1,Ended
12764448,1738180800,Red Bull Salzburg,Atlético Madrid,1,4,Ended
12764271,1738180800,Inter,AS Monaco,3,0,Ended
12764222,1738180800,GNK Dinamo Zagreb,Milan,2,1,Ended
12764277,1738180800,Juventus,Benfica,0,2,Ended
12764517,1738180800,VfB Stuttgart,Paris Saint-Germain,1,4,Ended
12764084,1738180800,FC Bayern München,ŠK Slovan Bratislava,3,1,Ended
12764241,1738180800,Girona FC,Arsenal,1,2,Ended
12764399,1738180800,PSV Eindhoven,Liverpool FC,3,2,Ended
12764332,1738180800,Manchester City,Club Brugge KV,3,1,Ended
12764006,1738180800,FC Barcelona,Atalanta,2,2,Ended
