name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,lastName,averageX,averageY,pointsCount,team,match
Facundo Buonanotte,Facundo Buonanotte,facundo-buonanotte,F. Buonanotte,M,40,17796,M,facubuonanotte_,1117025,"{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে', 'hi': 'फ़ाकंडो बुओनानोट्टे'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'bn': 'এফ. বুওনানোট', 'hi': 'एफ. बुओनानोट्टे'}}",,56.875862068966,27.668965517241,29,Leicester City,1745163000_leicester_city_vs_liverpool_fc
Bobby De Cordova-Reid,Bobby,bobby-de-cordova-reid,B. De cordova-Reid,M,14,1349,M,,151499,"{'nameTranslation': {'ar': 'بوبي دي كوردوفا-ريد', 'bn': 'ববি ডেকোরডোভা-রিড', 'hi': 'बॉबी डेकोर्डोवा-रीड'}, 'shortNameTranslation': {'ar': 'ب. دي كوردوفا-ريد', 'bn': 'বি. রিড', 'hi': 'बी. डेकोर्डोवा-रीड'}}",De cordova-Reid,45.094117647059,26.547058823529,17,Leicester City,1745163000_leicester_city_vs_liverpool_fc
Jeremy Monga,Jeremy Monga,jeremy-monga,J. Monga,M,28,2131,M,,1861707,"{'nameTranslation': {'ar': 'جيريمي مونغا'}, 'shortNameTranslation': {'ar': 'ج. مونغا'}}",,63.025,90.5,4,Leicester City,1745163000_leicester_city_vs_liverpool_fc
Jamie Vardy,Jamie,jamie-vardy,J. Vardy,F,10,23189,M,Vardy7,173827,"{'nameTranslation': {'ar': 'جيمي فاردي', 'bn': 'জেমি ভার্ডি', 'hi': 'जेमी वर्डी'}, 'shortNameTranslation': {'ar': 'ج. فاردي', 'bn': 'জে. ভার্ডি', 'hi': 'जे. वर्डी'}}",Vardy,50.355555555556,49.272222222222,18,Leicester City,1745163000_leicester_city_vs_liverpool_fc
Oliver Skipp,Oliver,oliver-skipp,O. Skipp,M,22,1334,M,,859901,"{'nameTranslation': {'ar': 'سكيب، أوليفر', 'bn': 'স্কিপ, অলিভার', 'hi': 'स्किप, ओलिवर'}, 'shortNameTranslation': {'ar': 'أ. سكيب', 'bn': 'ও. স্কিপ', 'hi': 'ओ. स्किप'}}",Skipp,54.325,19.5375,8,Leicester City,1745163000_leicester_city_vs_liverpool_fc
James Justin,James,james-justin,J. Justin,D,24,1394,M,,827681,"{'nameTranslation': {'ar': 'جيمس جاستين', 'bn': 'জেমস জাস্টিন', 'hi': 'जेम्स जस्टिन'}, 'shortNameTranslation': {'ar': 'ج. جاستين', 'bn': 'জে.জাস্টিন', 'hi': 'जे. जस्टिन'}}",Justin,38.963157894737,18.394736842105,19,Leicester City,1745163000_leicester_city_vs_liverpool_fc
Wilfred Ndidi,Wilfred,wilfred-ndidi,W. Ndidi,M,4,9887,M,,787885,"{'nameTranslation': {'ar': 'ويلفريد نديدي', 'bn': 'উইলফ্রেড নাদিদি', 'hi': 'विल्फ्रेड एनडीडी'}, 'shortNameTranslation': {'ar': 'و. نديدي', 'bn': 'ডব্লিউ. নাদিদি', 'hi': 'डब्लू. एनडीडी'}}",Ndidi,42.370212765957,42.195744680851,47,Leicester City,1745163000_leicester_city_vs_liverpool_fc
Ricardo Pereira,Ricardo,ricardo-pereira,R. Pereira,D,21,1055,M,,221200,"{'nameTranslation': {'ar': 'ريكاردو بيريرا', 'bn': 'রিকার্ডো পেরেইরা', 'hi': 'रिकार्डो परेरा'}, 'shortNameTranslation': {'ar': 'ر. بيريرا', 'bn': 'আর. পেরেইরা', 'hi': 'आर. परेरा'}}",Pereira,37.976271186441,28.750847457627,59,Leicester City,1745163000_leicester_city_vs_liverpool_fc
Boubakary Soumaré,Boubakary,boubakary-soumare,B. Soumaré,M,34,1079,M,,887581,"{'nameTranslation': {'ar': 'بوباكاري سوماري', 'bn': 'বুবাকারি সৌমারে', 'hi': 'बौबाकरी सौमारे'}, 'shortNameTranslation': {'ar': 'ب. سوماري', 'bn': 'বি. সৌমারে', 'hi': 'बी. सौमारे'}}",Soumare,40.339344262295,54.606557377049,61,Leicester City,1745163000_leicester_city_vs_liverpool_fc
Conor Coady,,conor-coady,C. Coady,D,15,637,M,,98449,"{'nameTranslation': {'ar': 'كونور كودي', 'bn': 'কনর কোডিস', 'hi': 'कोनोर कोडी'}, 'shortNameTranslation': {'ar': 'ك. كودي', 'bn': 'সি. কোডি', 'hi': 'सी. कोडी'}}",,29.552777777778,60.018055555556,72,Leicester City,1745163000_leicester_city_vs_liverpool_fc
