name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,averageX,averageY,pointsCount,team,match
Marcos Senesi,Marcos,Senesi,marcos-senesi,M. Senesi,D,5,7014,M,830659,"{'nameTranslation': {'ar': 'ماركوس سينيسي', 'bn': 'মার্কোস সেনেসি', 'hi': 'मार्कोस सेनेसी'}, 'shortNameTranslation': {'ar': 'م. سينيسي', 'bn': 'এম. সেনেসি', 'hi': 'एम. सेनेसी'}}",,16.65,67.57,10,Bournemouth,1745758800_bournemouth_vs_manchester_united
Marcus Tavernier,,,marcus-tavernier,M. Tavernier,M,16,2149,M,895576,"{'nameTranslation': {'ar': 'ماركوس تافيرنييه', 'bn': 'মার্কাস ট্যাভার্নিয়ার', 'hi': 'मार्कस टैवर्नियर'}, 'shortNameTranslation': {'ar': 'م. تافيرنييه', 'bn': 'এম. ট্যাভার্নিয়ার', 'hi': 'एम. टैवर्नियर'}}",,59.345,76.845,20,Bournemouth,1745758800_bournemouth_vs_manchester_united
Miloš Kerkez,Milos,Kerkez,milos-kerkez,M. Kerkez,D,6,27687,M,1097425,"{'nameTranslation': {'ar': 'ميلوش كيركيز', 'bn': 'মিলোস কেরকেজ', 'hi': 'मिलोस केर्केज़'}, 'shortNameTranslation': {'ar': 'م. كيركيز', 'bn': 'এম. কেরকেজ', 'hi': 'एम. केर्केज़'}}",miloskerkez,51.630985915493,83.598591549296,71,Bournemouth,1745758800_bournemouth_vs_manchester_united
Lewis Cook,Lewis,Cook,lewis-cook,L. Cook,M,4,959,M,548188,"{'nameTranslation': {'ar': 'لويس كوك', 'bn': 'লুইস কুক', 'hi': 'लुईस कुक'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'bn': 'এল. কুক', 'hi': 'एल. कुक'}}",,39.4375,50.95,8,Bournemouth,1745758800_bournemouth_vs_manchester_united
Evanilson,,,evanilson,Evanilson,F,9,7830,M,998490,"{'nameTranslation': {'ar': 'إيفانيلسون', 'bn': 'ইভানিলসন', 'hi': 'इवानिल्सन'}, 'shortNameTranslation': {'ar': 'إ. إيفانيلسون', 'bn': 'ইভানিলসন', 'hi': 'इवानिल्सन'}}",evanilsonlima99,57.855555555556,41.988888888889,27,Bournemouth,1745758800_bournemouth_vs_manchester_united
Adam Smith,,,adam-smith,A. Smith,D,15,472,M,44566,"{'nameTranslation': {'ar': 'آدم سميث', 'bn': 'অ্যাডাম স্মিথ', 'hi': 'एडम स्मिथ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'bn': 'এ. স্মিথ', 'hi': 'ए. स्मिथ'}}",,47.121739130435,14.560869565217,46,Bournemouth,1745758800_bournemouth_vs_manchester_united
Daniel Jebbison,Daniel Jebbison,,daniel-jebbison,D. Jebbison,F,9,552,M,1096136,"{'nameTranslation': {'ar': 'دانيال جيبيسون', 'bn': 'ড্যানিয়েল জেবিসন', 'hi': 'डैनियल जेबिसन'}, 'shortNameTranslation': {'ar': 'د. جيبيسون', 'bn': 'ডি. জেবিসন', 'hi': 'डी. जेबिसन'}}",,33.966666666667,76.766666666667,3,Bournemouth,1745758800_bournemouth_vs_manchester_united
Dean Huijsen,,,dean-huijsen,D. Huijsen,D,24,173807,M,1176744,"{'nameTranslation': {'ar': 'دين هويسين', 'bn': 'ডিন হুইজসেন', 'hi': 'डीन हुइजसेन'}, 'shortNameTranslation': {'ar': 'د. هويسين', 'bn': 'ডি. হুইজসেন', 'hi': 'डी. हुइजसेन'}}",deanhuijsen,35.829310344828,58.844827586207,58,Bournemouth,1745758800_bournemouth_vs_manchester_united
Kepa Arrizabalaga,Kepa,Arrizabalaga,kepa-arrizabalaga,K. Arrizabalaga,G,13,27190,M,232422,"{'nameTranslation': {'ar': 'كيبا أريزابالاغا', 'bn': 'কেপা আরিজাবলাগা', 'hi': 'केपा अरिज़ाबलागा'}, 'shortNameTranslation': {'ar': 'ك. أريزابالاغا', 'bn': 'কে. আরিজাবালাগা', 'hi': 'के. अरिज़ाबलागा'}}",KepaA,10.2,47.196226415094,53,Bournemouth,1745758800_bournemouth_vs_manchester_united
Dango Ouattara,Dango Ouattara,,dango-ouattara,D. Ouattara,M,19,37628,M,1106451,"{'nameTranslation': {'ar': 'دانجو أواتارا', 'bn': 'ডাঙ্গো ওউত্তারা', 'hi': 'डांगो ओउट्टारा'}, 'shortNameTranslation': {'ar': 'د. أواتارا', 'bn': 'ডি. ওউত্তারা', 'hi': 'डी. ओउट्टारा'}}",d.ouattara15,54.65671641791,65.870149253731,67,Bournemouth,1745758800_bournemouth_vs_manchester_united
Antoine Semenyo,,,antoine-semenyo,A. Semenyo,M,42,107340,M,934354,"{'nameTranslation': {'ar': 'أنطوان سيمينيو', 'bn': 'অ্যান্টোইন সেমেনিও', 'hi': 'एंटोनी सेमेन्यो'}, 'shortNameTranslation': {'ar': 'أ. سيمينيو', 'bn': 'এ. সেমেনিও', 'hi': 'ए. सेमेन्यो'}}",antoinesemenyo42,55.563265306122,27.397959183673,49,Bournemouth,1745758800_bournemouth_vs_manchester_united
Tyler Adams,Tyler,Adams,tyler-adams,T. Adams,M,12,3013,M,800419,"{'nameTranslation': {'ar': 'تايلر آدامز', 'bn': 'টাইলার অ্যাডামস', 'hi': 'टायलर एडम्स'}, 'shortNameTranslation': {'ar': 'ت. آدامز', 'bn': 'টি. অ্যাডামস', 'hi': 'टी. एडम्स'}}",,43.871428571429,45.842857142857,70,Bournemouth,1745758800_bournemouth_vs_manchester_united
Ilya Zabarnyi,,,illia-zabarnyi,I. Zabarnyi,D,6,18111,M,1023567,"{'nameTranslation': {'ar': 'إيليا زابارني', 'bn': 'ইলিয়া জাবারনি', 'hi': 'इलिया ज़बरनयी'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'bn': 'আই. জাবারনি', 'hi': 'आई. ज़बरनयी'}}",IlliaZabarnyi,39.982222222222,38.28,45,Bournemouth,1745758800_bournemouth_vs_manchester_united
Justin Kluivert,Justin,Kluivert,justin-kluivert,J. Kluivert,M,19,7017,M,851596,"{'nameTranslation': {'ar': 'جاستن كلويفرت', 'bn': 'জাস্টিন ক্লুইভার্ট', 'hi': 'जस्टिन क्लुइवर्ट'}, 'shortNameTranslation': {'ar': 'ج. كلويفرت', 'bn': 'জে. ক্লুইভার্ট', 'hi': 'जे. क्लुइवर्ट'}}",justinkluivert,60.857142857143,32.669047619048,42,Bournemouth,1745758800_bournemouth_vs_manchester_united
Alex Scott,Alex Scott,,alex-scott,A. Scott,M,8,3576,M,1104986,"{'nameTranslation': {'ar': 'أليكس سكوت', 'bn': 'অ্যালেক্স স্কট', 'hi': 'एलेक्स स्कॉट'}, 'shortNameTranslation': {'ar': 'أ. سكوت', 'bn': 'এ. স্কট', 'hi': 'ए. स्कॉट'}}",,49.846153846154,56.984615384615,52,Bournemouth,1745758800_bournemouth_vs_manchester_united
Christian Eriksen,Christian,Eriksen,christian-eriksen,C. Eriksen,M,24,20381,M,105734,"{'nameTranslation': {'ar': 'كريستيان إريكسن', 'bn': 'ক্রিশ্চিয়ান এরিকসেন', 'hi': 'क्रिस्टियन एरिक्सन'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'bn': 'সি. এরিকসেন', 'hi': 'सी. एरिक्सन'}}",chriseriksen8,82.271428571429,57.928571428571,7,Manchester United,1745758800_bournemouth_vs_manchester_united
Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,8746,M,143334,"{'nameTranslation': {'ar': 'فيكتور ليندلوف', 'bn': 'ভিক্টর লিন্ডেলফ', 'hi': 'विक्टर लिंडलोफ'}, 'shortNameTranslation': {'ar': 'ف. ليندلوف', 'bn': 'ভি. লিন্ডেলফ', 'hi': 'वी. लिंडलोफ'}}",victorlindelof,34.047058823529,40.505882352941,17,Manchester United,1745758800_bournemouth_vs_manchester_united
Chido Obi-Martin,,,chido-obi,C. O. Martin,F,32,14652,M,1566204,"{'nameTranslation': {'ar': 'تشيدو أوبي-مارتن', 'bn': 'চিডো ওবি-মার্টিন', 'hi': 'चिडो ओबी-मार्टिन'}, 'shortNameTranslation': {'ar': 'ت. أوبى-مارتن', 'bn': 'সি. ও. মার্টিন', 'hi': 'सी. ओ. मार्टिन'}}",,81.644444444444,43.088888888889,9,Manchester United,1745758800_bournemouth_vs_manchester_united
Mason Mount,Mason,Mount,mason-mount,M. Mount,F,7,42629,M,836694,"{'nameTranslation': {'ar': 'ماسون ماونت', 'bn': 'মেসন মাউন্ট', 'hi': 'मेसन माउंट'}, 'shortNameTranslation': {'ar': 'م. مونت', 'bn': 'এম. মাউন্ট', 'hi': 'एम. माउंट'}}",MMount,64.933333333333,53.363333333333,30,Manchester United,1745758800_bournemouth_vs_manchester_united
Noussair Mazraoui,Noussair,Mazraoui,noussair-mazraoui,N. Mazraoui,D,3,59729,M,847030,"{'nameTranslation': {'ar': 'نصير مزراوي', 'bn': 'নওসাইর মাজরাউই', 'hi': 'नौसैर मज़रावी'}, 'shortNameTranslation': {'ar': 'ن. مزراوي', 'bn': 'এন. মাজরাউই', 'hi': 'एन. मज़रावी'}}",nousmaz97,48.733333333333,23.896078431373,51,Manchester United,1745758800_bournemouth_vs_manchester_united
Harry Maguire,Harry,Maguire,harry-maguire,H. Maguire,D,5,30817,M,149380,"{'nameTranslation': {'ar': 'هاري ماغواير', 'bn': 'হ্যারি ম্যাগুইরে', 'hi': 'हैरी मैगुइर'}, 'shortNameTranslation': {'ar': 'ه. ماغواير', 'bn': 'এইচ. ম্যাগুইরে', 'hi': 'एच. मैगुइर'}}",harrymaguire93,35.683333333333,57.305555555556,36,Manchester United,1745758800_bournemouth_vs_manchester_united
Rasmus Højlund,Rasmus,Hojlund,rasmus-hojlund,R. Højlund,F,19,70050,M,1086417,"{'nameTranslation': {'ar': 'راسموس هويجلوند', 'bn': 'রাসমাস হলান্ড', 'hi': 'रस्मस होजलंड'}, 'shortNameTranslation': {'ar': 'راسموس هوجلوند', 'bn': 'রাসমাস হলান্ড', 'hi': 'रासमस होजलंड'}}",RHøjlund,64.455555555556,55.625,36,Manchester United,1745758800_bournemouth_vs_manchester_united
Manuel Ugarte,Manuel,Ugarte,manuel-ugarte,M. Ugarte,M,25,20114,M,846425,"{'nameTranslation': {'ar': 'مانويل أوغارتي', 'bn': 'ম্যানুয়েল উগার্তে', 'hi': 'मैनुअल उगार्टे'}, 'shortNameTranslation': {'ar': 'م. أوغارتي', 'bn': 'এম. উগার্তে', 'hi': 'एम. उगार्टे'}}",ugartemanu,59.675609756098,60.309756097561,41,Manchester United,1745758800_bournemouth_vs_manchester_united
Bruno Fernandes,Bruno,Fernandes,bruno-fernandes,B. Fernandes,M,8,293545,M,288205,"{'nameTranslation': {'ar': 'برونو فيرنانديز', 'bn': 'ব্রুনো ফার্নান্দেস', 'hi': 'ब्रूनो फर्नांडीस'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'bn': 'বি. ফার্নান্দেস', 'hi': 'बी. फर्नांडीस'}}",BrunoFernandes,56.12962962963,54.423148148148,108,Manchester United,1745758800_bournemouth_vs_manchester_united
André Onana,Andre,Onana,andre-onana,A. Onana,G,24,55527,M,787498,"{'nameTranslation': {'ar': 'أندريه أونانا', 'bn': 'আন্দ্রে ওনানা', 'hi': 'आंद्रे ओनाना'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'bn': 'এ. ওনানা', 'hi': 'ए. ओनाना'}}",AndréOnana24,10.841304347826,55.584782608696,46,Manchester United,1745758800_bournemouth_vs_manchester_united
Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,137188,M,1135873,"{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'bn': 'আলেজান্দ্রো গার্নাচো', 'hi': 'एलेजांद्रो गार्नाचो'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'bn': 'এ. গার্নাচো', 'hi': 'ए. गार्नाचो'}}",AleGarnacho,74.131034482759,44.427586206897,58,Manchester United,1745758800_bournemouth_vs_manchester_united
Patrick Dorgu,,,dorgu-patrick,P. Dorgu,M,13,32592,M,1397168,"{'nameTranslation': {'ar': 'دورغو، باتريك', 'bn': 'ডরগু, প্যাট্রিক', 'hi': 'डोर्गू, पैट्रिक'}, 'shortNameTranslation': {'ar': 'ب. دورغو', 'bn': 'পি. ডরগু', 'hi': 'पी. डोर्गू'}}",Odogwu,54.949333333333,74.709333333333,75,Manchester United,1745758800_bournemouth_vs_manchester_united
Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,55849,M,1142175,"{'nameTranslation': {'ar': 'كوبي ماينو', 'bn': 'কোবি মাইনু', 'hi': 'कोबी मैनू'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'bn': 'কে. মাইনু', 'hi': 'के. मैनू'}}",KobbieM,55.071428571429,44.734693877551,49,Manchester United,1745758800_bournemouth_vs_manchester_united
Leny Yoro,Leny Yoro,,leny-yoro,L. Yoro,D,15,21424,M,1153315,"{'nameTranslation': {'ar': 'غانيسان أ / كيرشهايمر س', 'bn': 'লেনি ইয়োরো', 'hi': 'लेनी योरो'}, 'shortNameTranslation': {'ar': 'ل. يورو', 'bn': 'এল. ইয়োরো', 'hi': 'एल. योरो'}}",YL15,36.910769230769,26.227692307692,65,Manchester United,1745758800_bournemouth_vs_manchester_united
Luke Shaw,Luke,Shaw,luke-shaw,L. Shaw,D,23,19826,M,190839,"{'nameTranslation': {'ar': 'لوك شو', 'bn': 'লুক শ', 'hi': 'ल्यूक शॉ'}, 'shortNameTranslation': {'ar': 'ل. شاو', 'bn': 'এল. শ', 'hi': 'एल. शॉ'}}",lukeshaw23,54.223157894737,78.812631578947,95,Manchester United,1745758800_bournemouth_vs_manchester_united
Casemiro,Carlos Henrique,Casemiro,casemiro,Casemiro,M,18,92450,M,122951,"{'nameTranslation': {'ar': 'كاسيميرو', 'bn': 'ক্যাসেমিরো', 'hi': 'कैसेमिरो'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'bn': 'ক্যাসেমিরো', 'hi': 'कैसेमिरो'}}",Casemiro,41.866153846154,67.050769230769,65,Manchester United,1745758800_bournemouth_vs_manchester_united
