name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,firstName,lastName,averageX,averageY,pointsCount,team,match
Ross Barkley,ross-barkley,R. Barkley,M,6,2620,M,98435,"{'nameTranslation': {'ar': 'روس باركلي', 'bn': 'রস বার্কলে', 'hi': 'रॉस बार्कले'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'bn': 'আর. বার্কলে', 'hi': 'आर. बार्कले'}}",,,,48.58,51.96,10,Aston Villa,1746271800_aston_villa_vs_fulham
Lucas Digne,lucas-digne,L. Digne,D,12,4896,M,96538,"{'nameTranslation': {'ar': 'لوكاس دينييه', 'bn': 'লুকাস ডিগনে', 'hi': 'लुकास डिग्ने'}, 'shortNameTranslation': {'ar': 'ل. دينييه', 'bn': 'এল. ডিগনে', 'hi': 'एल. डिग्ने'}}",LDigne,,,26.794444444444,74.672222222222,18,Aston Villa,1746271800_aston_villa_vs_fulham
Ollie Watkins,ollie-watkins,O. Watkins,F,11,20854,M,555386,"{'nameTranslation': {'ar': 'أولي واتكينز', 'bn': 'অলি ওয়াটকিন্স', 'hi': 'ओली वॉटकिंस'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'bn': 'ও. ওয়াটকিন্স', 'hi': 'ओ. वॉटकिंस'}}",OllieWatkins,Ollie,Watkins,65.572727272727,60.177272727273,22,Aston Villa,1746271800_aston_villa_vs_fulham
Donyell Malen,donyell-malen,D. Malen,F,14,16980,M,803039,"{'nameTranslation': {'ar': 'دونيل مالين', 'bn': 'ডনিয়েল ম্যালেন', 'hi': 'डोनियेल मालेन'}, 'shortNameTranslation': {'ar': 'د. مالين', 'bn': 'ডি. ম্যালেন', 'hi': 'डी. मालेन'}}",donyellmalen,Donyell,Malen,70.290909090909,55.309090909091,11,Aston Villa,1746271800_aston_villa_vs_fulham
Marco Asensio,marco-asensio,M. Asensio,M,21,33432,M,361004,"{'nameTranslation': {'ar': 'ماركو أسينسيو', 'bn': 'মার্কো অ্যাসেনসিও', 'hi': 'मार्को असेंसियो'}, 'shortNameTranslation': {'ar': 'م. أسينسيو', 'bn': 'এম. অ্যাসেনসিও', 'hi': 'एम. असेंसियो'}}",marcoasensio10,Marco,Asensio,64.957142857143,46.860714285714,28,Aston Villa,1746271800_aston_villa_vs_fulham
Amadou Onana,amadou-onana,A. Onana,M,24,8056,M,923973,"{'nameTranslation': {'ar': 'أمادو أونانا', 'bn': 'আমাদৌ ওনানা', 'hi': 'अमादौ ओनाना'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'bn': 'এ. ওনানা', 'hi': 'ए. ओनाना'}}",its_onana,,,44.162068965517,55.11724137931,29,Aston Villa,1746271800_aston_villa_vs_fulham
Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,3503,M,826204,"{'nameTranslation': {'ar': 'بوبكر كامارا', 'bn': 'বউবকার কামারা', 'hi': 'बौबाकर कामारा'}, 'shortNameTranslation': {'ar': 'ب. كامارا', 'bn': 'বি.কামারা', 'hi': 'बी. कामारा'}}",,Boubacar,Kamara,46.340776699029,34.416504854369,103,Aston Villa,1746271800_aston_villa_vs_fulham
Jacob Ramsey,jacob-ramsey,J. Ramsey,M,41,3498,M,975937,"{'nameTranslation': {'ar': 'جاكوب رامزي', 'bn': 'জ্যাকব রামসে', 'hi': 'जैकब रैमसे'}, 'shortNameTranslation': {'ar': 'ج. رامزي', 'bn': 'জে. রামসে', 'hi': 'जे. रैमसे'}}",,Jacob,Ramsey,57.529411764706,69.5,17,Aston Villa,1746271800_aston_villa_vs_fulham
Matty Cash,matty-cash,M. Cash,D,2,9807,M,833956,"{'nameTranslation': {'ar': 'ماتي كاش', 'bn': 'ম্যাটি ক্যাশ', 'hi': 'मैटी कैश'}, 'shortNameTranslation': {'ar': 'م. كاش', 'bn': 'এম. ক্যাশ', 'hi': 'एम. कैश'}}",mattycash622,Matty,Cash,50.335593220339,13.5,59,Aston Villa,1746271800_aston_villa_vs_fulham
Ian Maatsen,ian-maatsen,I. Maatsen,D,22,5637,M,976263,"{'nameTranslation': {'ar': 'إيان ماتسين', 'bn': 'ইয়ান মাতসেন', 'hi': 'इयान मात्सेन'}, 'shortNameTranslation': {'ar': 'إ. ماتسين', 'bn': 'আই. মাতসেন', 'hi': 'आई. मात्सेन'}}",maatsen_,,,41.023728813559,83.138983050847,59,Aston Villa,1746271800_aston_villa_vs_fulham
