name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,averageX,averageY,pointsCount,team,match
Jamie Vardy,Jamie,Vardy,jamie-vardy,J. Vardy,F,10,23189,M,Vardy7,173827,"{'nameTranslation': {'ar': 'جيمي فاردي', 'bn': 'জেমি ভার্ডি', 'hi': 'जेमी वर्डी'}, 'shortNameTranslation': {'ar': 'ج. فاردي', 'bn': 'জে. ভার্ডি', 'hi': 'जे. वर्डी'}}",63.6,53.676470588235,17,Leicester City,1746280800_leicester_city_vs_southampton
Jake Evans,Jake Evans,,jake-evans,J. Evans,F,15,191,M,,1899501,"{'nameTranslation': {'ar': 'إيفانز، جيك'}, 'shortNameTranslation': {'ar': 'ج. إيفانز'}}",31.175,49.675,4,Leicester City,1746280800_leicester_city_vs_southampton
Patson Daka,,,patson-daka,P. Daka,F,20,17539,M,patsondaka,865057,"{'nameTranslation': {'ar': 'باتسون داكا', 'bn': 'প্যাটসন ডাকা', 'hi': 'पैटसन डाका'}, 'shortNameTranslation': {'ar': 'ب. داكا', 'bn': 'পি. ডাকা', 'hi': 'पी. डाका'}}",48.322222222222,33.577777777778,9,Leicester City,1746280800_leicester_city_vs_southampton
Jeremy Monga,Jeremy Monga,,jeremy-monga,J. Monga,M,28,2131,M,,1861707,"{'nameTranslation': {'ar': 'جيريمي مونغا'}, 'shortNameTranslation': {'ar': 'ج. مونغا'}}",53.92,16.76,15,Leicester City,1746280800_leicester_city_vs_southampton
Boubakary Soumaré,Boubakary,Soumare,boubakary-soumare,B. Soumaré,M,34,1079,M,,887581,"{'nameTranslation': {'ar': 'بوباكاري سوماري', 'bn': 'বুবাকারি সৌমারে', 'hi': 'बौबाकरी सौमारे'}, 'shortNameTranslation': {'ar': 'ب. سوماري', 'bn': 'বি. সৌমারে', 'hi': 'बी. सौमारे'}}",22.65,64.4,8,Leicester City,1746280800_leicester_city_vs_southampton
Kasey McAteer,Kasey McAteer,,kasey-mcateer,K. McAteer,M,20,546,M,,1065134,"{'nameTranslation': {'ar': 'كاسي مكاتير', 'bn': 'ক্যাসি ম্যাকএটার', 'hi': 'केसी मैकएटेर'}, 'shortNameTranslation': {'ar': 'ك. مكاتير', 'bn': 'কে. ম্যাকএটার', 'hi': 'के. मैकएटेर'}}",58.161363636364,36.393181818182,44,Leicester City,1746280800_leicester_city_vs_southampton
Oliver Skipp,Oliver,Skipp,oliver-skipp,O. Skipp,M,22,1334,M,,859901,"{'nameTranslation': {'ar': 'سكيب، أوليفر', 'bn': 'স্কিপ, অলিভার', 'hi': 'स्किप, ओलिवर'}, 'shortNameTranslation': {'ar': 'أ. سكيب', 'bn': 'ও. স্কিপ', 'hi': 'ओ. स्किप'}}",48.483870967742,51.459677419355,62,Leicester City,1746280800_leicester_city_vs_southampton
Jakub Stolarczyk,,,jakub-stolarczyk,J. Stolarczyk,G,1,1051,M,,997830,"{'nameTranslation': {'ar': 'ياكوب ستولارتشيك', 'bn': 'জ্যাকুব স্টোলারকজিক', 'hi': 'जकूब स्टोलार्स्की'}, 'shortNameTranslation': {'ar': 'ي. ستولارتشيك', 'bn': 'জে. স্টোলারজিক', 'hi': 'जे. स्टोलार्स्की'}}",10.640909090909,49.568181818182,44,Leicester City,1746280800_leicester_city_vs_southampton
James Justin,James,Justin,james-justin,J. Justin,D,24,1394,M,,827681,"{'nameTranslation': {'ar': 'جيمس جاستين', 'bn': 'জেমস জাস্টিন', 'hi': 'जेम्स जस्टिन'}, 'shortNameTranslation': {'ar': 'ج. جاستين', 'bn': 'জে.জাস্টিন', 'hi': 'जे. जस्टिन'}}",37.572151898734,15.749367088608,79,Leicester City,1746280800_leicester_city_vs_southampton
Jordan Ayew,Jordan,Ayew,jordan-ayew,J. Ayew,F,9,13423,M,jordanayew9,103045,"{'nameTranslation': {'ar': 'جوردان أيو', 'bn': 'জর্ডান আইউ', 'hi': 'जॉर्डन अय्यू'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'bn': 'জে. আইউ', 'hi': 'जे. अय्यू'}}",61.578048780488,24.292682926829,41,Leicester City,1746280800_leicester_city_vs_southampton
