name,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,firstName,lastName,averageX,averageY,pointsCount,team,match
Lesley Ugochukwu,lesley-ugochukwu,L. Ugochukwu,M,8,5050,M,l.ugochukwu8,1048916,"{'nameTranslation': {'ar': 'ليزلي أوغوتشوكوو', 'bn': 'লেসলি উগোচুকউ', 'hi': 'लेस्ली उगोचुकु'}, 'shortNameTranslation': {'ar': 'ل. أوغوتشوكوو', 'bn': 'এল. উগোচুকউ', 'hi': 'एल. उगोचुकु'}}",,,28.664705882353,58.541176470588,17,Southampton,1746885600_southampton_vs_manchester_city
Cameron Archer,cameron-archer,C. Archer,F,19,1001,M,,993451,"{'nameTranslation': {'ar': 'كاميرون آرتشر', 'bn': 'ক্যামেরন আর্চার', 'hi': 'कैमरून आर्चर'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'bn': 'সি. আর্চার', 'hi': 'सी. आर्चर'}}",,,44.7625,34.7625,8,Southampton,1746885600_southampton_vs_manchester_city
Will Smallbone,will-smallbone,W. Smallbone,M,39,484,M,,970435,"{'nameTranslation': {'ar': 'ويل سمولبون', 'bn': 'উইল স্মলবোন', 'hi': 'विल स्मॉलबोन'}, 'shortNameTranslation': {'ar': 'و. سمولبون', 'bn': 'ডব্লিউ. স্মলবোন', 'hi': 'डब्लू. स्मॉलबोन'}}",,,64.4,4.7,1,Southampton,1746885600_southampton_vs_manchester_city
Ryan Manning,ryan-manning,R. Manning,M,3,495,M,,328701,"{'nameTranslation': {'ar': 'ريان مانينغ', 'bn': 'রায়ান ম্যানিং', 'hi': 'रयान मैनिंग'}, 'shortNameTranslation': {'ar': 'ر. مانينغ', 'bn': 'আর. ম্যানিং', 'hi': 'आर. मैनिंग'}}",Ryan,Manning,13.04,62.7,5,Southampton,1746885600_southampton_vs_manchester_city
Ross Stewart,ross-stewart,R. Stewart,F,11,450,M,,886117,"{'nameTranslation': {'ar': 'روس ستيوارت', 'bn': 'রস স্টুয়ার্ট', 'hi': 'रॉस स्टीवर्ट'}, 'shortNameTranslation': {'ar': 'ر. ستيوارت', 'bn': 'আর. স্টুয়ার্ট', 'hi': 'आर. स्टीवर्ट'}}",Ross,Stewart,55.855555555556,28.788888888889,9,Southampton,1746885600_southampton_vs_manchester_city
Joe Aribo,joe-aribo,J. Aribo,M,18,1464,M,,818073,"{'nameTranslation': {'ar': 'جو أريبو', 'bn': 'জো আরিবো', 'hi': 'जो एरिबो'}, 'shortNameTranslation': {'ar': 'ج. أريبو', 'bn': 'জে. আরিবো', 'hi': 'जे. एरिबो'}}",,,36.735714285714,54.439285714286,28,Southampton,1746885600_southampton_vs_manchester_city
Tyler Dibling,tyler-dibling,T. Dibling,M,20,2993,M,,1174472,"{'nameTranslation': {'ar': 'تايلر ديبلنج', 'bn': 'টাইলার ডিবলিং', 'hi': 'टायलर डिब्लिंग'}, 'shortNameTranslation': {'ar': 'ت. ديبلنج', 'bn': 'টি. ডিবলিং', 'hi': 'टी. डिब्लिंग'}}",Tyler,Dibling,37.327586206897,18.993103448276,29,Southampton,1746885600_southampton_vs_manchester_city
Jack Stephens,jack-stephens,J. Stephens,D,5,213,M,,134361,"{'nameTranslation': {'ar': 'جاك ستيفنز', 'bn': 'জ্যাক স্টিফেনস', 'hi': 'जैक स्टीफंस'}, 'shortNameTranslation': {'ar': 'ج. ستيفنز', 'bn': 'জে. স্টিফেনস', 'hi': 'जे. स्टीफंस'}}",Jack,Stephens,17.248780487805,68.639024390244,41,Southampton,1746885600_southampton_vs_manchester_city
Kamaldeen Sulemana,kamaldeen-sulemana,K. Sulemana,F,7,8616,M,kamaldeenho10,1019442,"{'nameTranslation': {'ar': 'كمال الدين سليمانا', 'bn': 'কামালউদ্দিন সুলেমানা', 'hi': 'कमालदीन सुलेमान'}, 'shortNameTranslation': {'ar': 'ك. سليمانا', 'bn': 'কে. সুলেমানা', 'hi': 'के. सुलेमान'}}",,,47.3775,52.25,40,Southampton,1746885600_southampton_vs_manchester_city
Welington,welington,Welington,D,34,989,M,,1009920,"{'nameTranslation': {'ar': 'ويلينغتون'}, 'shortNameTranslation': {'ar': 'ويلينغتون'}}",Welington,Welington,27.272580645161,78.3,62,Southampton,1746885600_southampton_vs_manchester_city
Jan Bednarek,jan-bednarek,J. Bednarek,D,5,7569,M,janbednarek_,286085,"{'nameTranslation': {'ar': 'يان بيدناريك', 'bn': 'জান বেদনারেক', 'hi': 'जान बेडनारेक'}, 'shortNameTranslation': {'ar': 'ي. بيدناريك', 'bn': 'জে. বেদনারেক', 'hi': 'जे. बेडनारेक'}}",Jan,Bednarek,20.24347826087,44.586956521739,46,Southampton,1746885600_southampton_vs_manchester_city
Flynn Downes,flynn-downes,F. Downes,M,4,389,M,,879810,"{'nameTranslation': {'ar': 'فلين داونز', 'bn': 'ফ্লিন ডাউনস', 'hi': 'फ्लिन डाउंस'}, 'shortNameTranslation': {'ar': 'ف. داونز', 'bn': 'এফ. ডাউন্স', 'hi': 'एफ. डाउंस'}}",Flynn,Downes,33.210869565217,39.034782608696,46,Southampton,1746885600_southampton_vs_manchester_city
Aaron Ramsdale,aaron-ramsdale,A. Ramsdale,G,32,8906,M,ARamsdale,839410,"{'nameTranslation': {'ar': 'آرون رامسديل', 'bn': 'অ্যারন রামসডেল', 'hi': 'आरोन रामस्डेल'}, 'shortNameTranslation': {'ar': 'آ. رامسديل', 'bn': 'এ. রামসডেল', 'hi': 'ए. रामस्डेल'}}",Aaron,Ramsdale,10.480281690141,46.82676056338,71,Southampton,1746885600_southampton_vs_manchester_city
James Bree,james-bree,J. Bree,M,14,169,M,,555406,"{'nameTranslation': {'ar': 'جيمس بري', 'bn': 'জেমস ব্রি', 'hi': 'जेम्स ब्री'}, 'shortNameTranslation': {'ar': 'ج. بري', 'bn': 'জে. ব্রি', 'hi': 'जे. ब्री'}}",James,Bree,25.847368421053,18.198245614035,57,Southampton,1746885600_southampton_vs_manchester_city
Mateus Fernandes,mateus-fernandes,M. Fernandes,M,18,5271,M,,1142562,"{'nameTranslation': {'ar': 'ماتيوس فرنانديز', 'bn': 'মাতেউস ফার্নান্ডেজ', 'hi': 'माटेयस फर्नांडीस'}, 'shortNameTranslation': {'ar': 'م. فرنانديز', 'bn': 'এম. ফার্নান্ডেজ', 'hi': 'एम. फर्नांडीस'}}",,,33.136,62.186,50,Southampton,1746885600_southampton_vs_manchester_city
Taylor Harwood-Bellis,taylor-harwood-bellis,T. Harwood-Bellis,D,6,1771,M,,980637,"{'nameTranslation': {'ar': 'تايلور هاروود-بيليس', 'bn': 'টেলর হারউড-বেলিস', 'hi': 'टेलर हारवुड-बेलिस'}, 'shortNameTranslation': {'ar': 'ت. هاروود-بيليس', 'bn': 'টি. হারউড-বেলিস', 'hi': 'टी. हारवुड-बेलिस'}}",Taylor,Harwood-Bellis,28.656363636364,29.961818181818,55,Southampton,1746885600_southampton_vs_manchester_city
Ederson,ederson,Ederson,G,31,49089,M,Ederson93,254491,"{'nameTranslation': {'ar': 'إيدرسون', 'bn': 'এডারসন', 'hi': 'एडरसन'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'bn': 'এডারসন', 'hi': 'एडरसन'}}",Ederson,Ederson,24.7,60.714285714286,14,Manchester City,1746885600_southampton_vs_manchester_city
James McAtee,james-mcatee,J. McAtee,M,24,10361,M,jamesmcatee_,1003334,"{'nameTranslation': {'ar': 'جيمس مكاتي', 'bn': 'জেমস ম্যাকাটি', 'hi': 'जेम्स मैकएटी'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'bn': 'জে. ম্যাকাটি', 'hi': 'जे. मैकएटी'}}",,,75.6,20.284210526316,19,Manchester City,1746885600_southampton_vs_manchester_city
Erling Haaland,erling-haaland,E. Haaland,F,9,929472,M,EHaaland,839956,"{'nameTranslation': {'ar': 'إيرلينغ هالاند', 'bn': 'এরলিং হালান্ড', 'hi': 'एर्लिंग हालैंड'}, 'shortNameTranslation': {'ar': 'إ. هالاند', 'bn': 'ই. হালান্ড', 'hi': 'ई. हालैंड'}}",Erling,Haaland,77.4,55.284615384615,26,Manchester City,1746885600_southampton_vs_manchester_city
Omar Marmoush,omar-marmoush,O. Marmoush,F,7,208792,M,OMarmoush,873554,"{'nameTranslation': {'ar': 'عمر مرموش', 'bn': 'ওমর মারমাউস', 'hi': 'उमर मार्मौश'}, 'shortNameTranslation': {'ar': 'ع. مرموش', 'bn': 'ও. মারমাউস', 'hi': 'ओ. मार्मौश'}}",Omar,Marmoush,72.65,63.37,10,Manchester City,1746885600_southampton_vs_manchester_city
Nico O'Reilly,nico-o-reilly,N. O’Reilly,D,33,31189,M,,1142703,"{'nameTranslation': {'ar': 'نيكو أوريلي', 'bn': ""নিকো ও'রেইলি"", 'hi': ""निको ओ'रेली""}, 'shortNameTranslation': {'ar': 'ن. أوريلي', 'bn': ""এন. ও'রেইলি"", 'hi': ""एन. ओ'रेली""}}",Nico,O’Reilly,51.8,53.7,12,Manchester City,1746885600_southampton_vs_manchester_city
Savinho,savio,Savinho,M,26,52877,M,Savinho,1046795,"{'nameTranslation': {'ar': 'سافيو', 'bn': 'স্যাভিও', 'hi': 'सैवियो'}, 'shortNameTranslation': {'ar': 'سافيو', 'bn': 'স্যাভিও', 'hi': 'सैवियो'}}",,,82.520833333333,22.9375,24,Manchester City,1746885600_southampton_vs_manchester_city
Rúben Dias,ruben-dias,R. Dias,D,3,42234,M,RúbenD,318941,"{'nameTranslation': {'ar': 'روبن دياز', 'bn': 'রুবেন ডায়াস', 'hi': 'रुबेन डियास'}, 'shortNameTranslation': {'ar': 'ر. دياز', 'bn': 'আর. ডায়াস', 'hi': 'आर. डियास'}}",,,56.104,44.1416,125,Manchester City,1746885600_southampton_vs_manchester_city
Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,52976,M,JGvardiol,964994,"{'nameTranslation': {'ar': 'يوشكو غفارديول', 'bn': 'জোসকো গোওয়ারদিওল', 'hi': 'जोस्को ग्वार्डिओल'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'bn': 'জে. গোওয়ারদিওল', 'hi': 'जे. ग्वार्डिओल'}}",Josko,Gvardiol,68.609574468085,81.122340425532,94,Manchester City,1746885600_southampton_vs_manchester_city
Manuel Akanji,manuel-akanji,M. Akanji,D,25,29215,M,manuel_akanji,383560,"{'nameTranslation': {'ar': 'مانويل أكانجي', 'bn': 'ম্যানুয়েল আকানজি', 'hi': 'मैनुअल अकांजी'}, 'shortNameTranslation': {'ar': 'م. أكانجي', 'bn': 'এম. আকানজি', 'hi': 'एम. अकांजी'}}",Manuel,Akanji,55.804,49.152,125,Manchester City,1746885600_southampton_vs_manchester_city
Phil Foden,phil-foden,P. Foden,M,47,172419,M,Foden,859765,"{'nameTranslation': {'ar': 'فيل فودين', 'bn': 'ফিল ফোডেন', 'hi': 'फिल फोडेन'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'bn': 'পি. ফোডেন', 'hi': 'पी. फोडेन'}}",Phil,Foden,75.3421875,43.9953125,64,Manchester City,1746885600_southampton_vs_manchester_city
Jérémy Doku,jeremy-doku,J. Doku,M,11,81567,M,Dokss,934386,"{'nameTranslation': {'ar': 'جيريمي دوكو', 'bn': 'জেরেমি ডকু', 'hi': 'जेरेमी डोकू'}, 'shortNameTranslation': {'ar': 'ج. دوكو', 'bn': 'জে. ডকু', 'hi': 'जे. डोकू'}}",Jeremy,Doku,84.119607843137,82.698039215686,51,Manchester City,1746885600_southampton_vs_manchester_city
Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,317589,M,KDB,70996,"{'nameTranslation': {'ar': 'كيفن دي بروين', 'bn': 'কেভিন ডি ব্রুইন', 'hi': 'केविन डी ब्रूने'}, 'shortNameTranslation': {'ar': 'ك. دي بروين', 'bn': 'কে. ডি ব্রুইন', 'hi': 'के. डी ब्रूने'}}",,,73.140540540541,57.485585585586,111,Manchester City,1746885600_southampton_vs_manchester_city
Mateo Kovačić,mateo-kovacic,M. Kovačić,M,8,35022,M,Kova8,136710,"{'nameTranslation': {'ar': 'ماتيو كوفاتشيتش', 'bn': 'মাতেও কোভাসিক', 'hi': 'माटेओ कोवासिक'}, 'shortNameTranslation': {'ar': 'م. كوفاتشيتش', 'bn': 'এম. কোভাসিচ', 'hi': 'एम. कोवासिक'}}",,,64.379012345679,55.797530864198,81,Manchester City,1746885600_southampton_vs_manchester_city
Rico Lewis,rico-lewis,R. Lewis,D,82,18295,M,Rico_Lewis,1136731,"{'nameTranslation': {'ar': 'ريكو لويس', 'bn': 'রিকো লুইস', 'hi': 'रिको लुईस'}, 'shortNameTranslation': {'ar': 'ر. لويس', 'bn': 'আর. লুইস', 'hi': 'आर. लुईस'}}",Rico Lewis,,67.467901234568,19.050617283951,81,Manchester City,1746885600_southampton_vs_manchester_city
Bernardo Silva,bernardo-silva,B. Silva,M,20,64470,M,BSilva,331209,"{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'bn': 'বার্নার্ডো সিলভা', 'hi': 'बर्नार्डो सिल्वा'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'bn': 'বি. সিলভা', 'hi': 'बी. सिल्वा'}}",Bernardo,Silva,69.763953488372,27.189534883721,86,Manchester City,1746885600_southampton_vs_manchester_city
