name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,averageX,averageY,pointsCount,team,match
Igor Thiago,,,igor-thiago,I. Thiago,F,9,42867,M,1016907,"{'nameTranslation': {'ar': 'إيغور تياغو', 'bn': 'ইগর থিয়াগো', 'hi': 'इगोर थियागो'}, 'shortNameTranslation': {'ar': 'إ. تياغو', 'bn': 'আই. থিয়াগো', 'hi': 'आई. थियागो'}}",,60.244444444444,30.566666666667,9,Brentford,1747576800_brentford_vs_fulham
Mathias Jensen,Mathias,Jensen,mathias-jensen,M. Jensen,M,8,1251,M,799251,"{'nameTranslation': {'ar': 'جينسين، ماتياس', 'bn': 'জেনসেন, ম্যাথিয়াস', 'hi': 'जेन्सेन, मैथियास'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'bn': 'এম. জেনসেন', 'hi': 'एम. जेन्सेन'}}",,59.539130434783,58.84347826087,23,Brentford,1747576800_brentford_vs_fulham
Kristoffer Ajer,Kristoffer,Ajer,kristoffer-ajer,K. Ajer,D,20,1212,M,576384,"{'nameTranslation': {'ar': 'كريستوفر آجير', 'bn': 'ক্রিস্টোফার আজের', 'hi': 'क्रिस्टोफ़र अजेर'}, 'shortNameTranslation': {'ar': 'ك. آجير', 'bn': 'কে. আজের', 'hi': 'के. अजेर'}}",,58.844444444444,26.283333333333,18,Brentford,1747576800_brentford_vs_fulham
Rico Henry,Rico,Henry,rico-henry,R. Henry,D,3,791,M,599128,"{'nameTranslation': {'ar': 'ريكو هنري', 'bn': 'রিকো হেনরি', 'hi': 'रिको हेनरी'}, 'shortNameTranslation': {'ar': 'ر. هنري', 'bn': 'আর. হেনরি', 'hi': 'आर. हेनरी'}}",,57.892592592593,81.648148148148,27,Brentford,1747576800_brentford_vs_fulham
Keane Lewis-Potter,,,keane-lewis-potter,K. Lewis-Potter,D,23,1186,M,972421,"{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'bn': 'কিন লুইস-পটার', 'hi': 'कीन लुईस-पॉटर'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'bn': 'কে. লুইস-পটার', 'hi': 'के. लुईस-पॉटर'}}",,41.745,82.4075,40,Brentford,1747576800_brentford_vs_fulham
Michael Kayode,,,michael-kayode,M. Kayode,D,33,2923,M,1137431,"{'nameTranslation': {'ar': 'مايكل كايودي', 'bn': 'মাইকেল কায়োড', 'hi': 'माइकल कायोडे'}, 'shortNameTranslation': {'ar': 'م. كايودي', 'bn': 'এম. কায়োড', 'hi': 'एम. कायोडे'}}",,50.070588235294,16.182352941176,34,Brentford,1747576800_brentford_vs_fulham
Yoane Wissa,Yoane,Wissa,yoane-wissa,Y. Wissa,F,9,63507,M,805123,"{'nameTranslation': {'ar': 'يوني ويسا', 'bn': 'জন উইসা', 'hi': 'योआने विस्सा'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'bn': 'ওয়াই. উইসা', 'hi': 'वाई. विस्सा'}}",yowissa,68.091666666667,53.277083333333,48,Brentford,1747576800_brentford_vs_fulham
Mark Flekken,Mark,Flekken,mark-flekken,M. Flekken,G,1,2915,M,171919,"{'nameTranslation': {'ar': 'مارك فليكين', 'bn': 'মার্ক ফ্লেককেন', 'hi': 'मार्क फ्लेकेन'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'bn': 'এম. ফ্লেকেন', 'hi': 'एम. फ्लेकेन'}}",,11.069565217391,47.876086956522,46,Brentford,1747576800_brentford_vs_fulham
Yehor Yarmoliuk,Yehor,Yarmoliuk,yehor-yarmoliuk,Y. Yarmoliuk,M,18,2750,M,1031258,"{'nameTranslation': {'ar': 'يهور يارموليك', 'bn': 'ইয়ারমোলিক, ইহোর', 'hi': 'यार्मोलीउक, योहोर'}, 'shortNameTranslation': {'ar': 'ي. يارموليك', 'bn': 'ওয়াই. ইয়ারমোলিক', 'hi': 'वाई. यार्मोलीउक'}}",,46.906896551724,50.001724137931,58,Brentford,1747576800_brentford_vs_fulham
Christian Nørgaard,,,christian-nrgaard,C. Nørgaard,M,16,10850,M,135256,"{'nameTranslation': {'ar': 'كريستيان نورغارد', 'bn': 'ক্রিশ্চিয়ান নরগার্ড', 'hi': 'क्रिश्चियन नॉरगार्ड'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'bn': 'সি. নরগার্ড', 'hi': 'सी. नॉरगार्ड'}}",,49.157407407407,46.705555555556,54,Brentford,1747576800_brentford_vs_fulham
