name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,averageX,averageY,pointsCount,team,match
Christian Eriksen,Christian,Eriksen,christian-eriksen,C. Eriksen,M,24,20381,M,chriseriksen8,105734,"{'nameTranslation': {'ar': 'كريستيان إريكسن', 'bn': 'ক্রিশ্চিয়ান এরিকসেন', 'hi': 'क्रिस्टियन एरिक्सन'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'bn': 'সি. এরিকসেন', 'hi': 'सी. एरिक्सन'}}",55.528,38.332,25,Manchester United,1748185200_manchester_united_vs_aston_villa
Chido Obi-Martin,,,chido-obi,C. O. Martin,F,32,14652,M,,1566204,"{'nameTranslation': {'ar': 'تشيدو أوبي-مارتن', 'bn': 'চিডো ওবি-মার্টিন', 'hi': 'चिडो ओबी-मार्टिन'}, 'shortNameTranslation': {'ar': 'ت. أوبى-مارتن', 'bn': 'সি. ও. মার্টিন', 'hi': 'सी. ओ. मार्टिन'}}",68.6,65.625,4,Manchester United,1748185200_manchester_united_vs_aston_villa
Diogo Dalot,Diogo,Dalot,diogo-dalot,D. Dalot,D,2,24614,M,DDalot,843200,"{'nameTranslation': {'ar': 'ديوغو دالوت', 'bn': 'ডিওগো ডালট', 'hi': 'डिओगो डालोत'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'bn': 'ডি. ডালট', 'hi': 'डी. डालोत'}}",59.2125,17.0125,24,Manchester United,1748185200_manchester_united_vs_aston_villa
Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,55849,M,KobbieM,1142175,"{'nameTranslation': {'ar': 'كوبي ماينو', 'bn': 'কোবি মাইনু', 'hi': 'कोबी मैनू'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'bn': 'কে. মাইনু', 'hi': 'के. मैनू'}}",65.073076923077,38.176923076923,26,Manchester United,1748185200_manchester_united_vs_aston_villa
Altay Bayındır,Altay,Bayindir,altay-bayindir,A. Bayındır,G,1,15837,M,altaybayindir,815890,"{'nameTranslation': {'ar': 'ألتاي بايندر', 'bn': 'আলতায় বেয়ান্দির', 'hi': 'अल्ताय बय्यन्दिर'}, 'shortNameTranslation': {'ar': 'أ. بايندر', 'bn': 'এ. বেয়ান্দির', 'hi': 'ए. बय्यन्दिर'}}",9.3411764705882,50.182352941176,34,Manchester United,1748185200_manchester_united_vs_aston_villa
Rasmus Højlund,Rasmus,Hojlund,rasmus-hojlund,R. Højlund,F,19,70050,M,RHøjlund,1086417,"{'nameTranslation': {'ar': 'راسموس هويجلوند', 'bn': 'রাসমাস হলান্ড', 'hi': 'रस्मस होजलंड'}, 'shortNameTranslation': {'ar': 'راسموس هوجلوند', 'bn': 'রাসমাস হলান্ড', 'hi': 'रासमस होजलंड'}}",73.52,64.49,30,Manchester United,1748185200_manchester_united_vs_aston_villa
Casemiro,Carlos Henrique,Casemiro,casemiro,Casemiro,M,18,92450,M,Casemiro,122951,"{'nameTranslation': {'ar': 'كاسيميرو', 'bn': 'ক্যাসেমিরো', 'hi': 'कैसेमिरो'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'bn': 'ক্যাসেমিরো', 'hi': 'कैसेमिरो'}}",51.69296875,57.86171875,128,Manchester United,1748185200_manchester_united_vs_aston_villa
Noussair Mazraoui,Noussair,Mazraoui,noussair-mazraoui,N. Mazraoui,D,3,59729,M,nousmaz97,847030,"{'nameTranslation': {'ar': 'نصير مزراوي', 'bn': 'নওসাইর মাজরাউই', 'hi': 'नौसैर मज़रावी'}, 'shortNameTranslation': {'ar': 'ن. مزراوي', 'bn': 'এন. মাজরাউই', 'hi': 'एन. मज़रावी'}}",59.805263157895,21.289473684211,19,Manchester United,1748185200_manchester_united_vs_aston_villa
Jonny Evans,,,jonny-evans,J. Evans,D,,4131,M,6jevans,30144,"{'nameTranslation': {'ar': 'جوني إيفانز', 'bn': 'জনি ইভান্স', 'hi': 'जॉनी इवांस'}, 'shortNameTranslation': {'ar': 'ج. إيفانز', 'bn': 'জে. ইভান্স', 'hi': 'जे. इवांस'}}",40.864516129032,65.48064516129,31,Manchester United,1748185200_manchester_united_vs_aston_villa
Mason Mount,Mason,Mount,mason-mount,M. Mount,F,7,42629,M,MMount,836694,"{'nameTranslation': {'ar': 'ماسون ماونت', 'bn': 'মেসন মাউন্ট', 'hi': 'मेसन माउंट'}, 'shortNameTranslation': {'ar': 'م. مونت', 'bn': 'এম. মাউন্ট', 'hi': 'एम. माउंट'}}",63.517857142857,75.153571428571,56,Manchester United,1748185200_manchester_united_vs_aston_villa
Amad Diallo,,,diallo-amad,A. Diallo,F,16,111589,M,AmadDiallo19,971037,"{'nameTranslation': {'ar': 'ديالو، أماد', 'bn': 'ডায়ালো, আমাদ', 'hi': 'डायलो, अमाद'}, 'shortNameTranslation': {'ar': 'أ. ديالو', 'bn': 'এ. ডায়ালো', 'hi': 'ए. अमाद'}}",57.137333333333,26.661333333333,75,Manchester United,1748185200_manchester_united_vs_aston_villa
Bruno Fernandes,Bruno,Fernandes,bruno-fernandes,B. Fernandes,M,8,293545,M,BrunoFernandes,288205,"{'nameTranslation': {'ar': 'برونو فيرنانديز', 'bn': 'ব্রুনো ফার্নান্দেস', 'hi': 'ब्रूनो फर्नांडीस'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'bn': 'বি. ফার্নান্দেস', 'hi': 'बी. फर्नांडीस'}}",61.451181102362,57.302362204724,127,Manchester United,1748185200_manchester_united_vs_aston_villa
Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,8746,M,victorlindelof,143334,"{'nameTranslation': {'ar': 'فيكتور ليندلوف', 'bn': 'ভিক্টর লিন্ডেলফ', 'hi': 'विक्टर लिंडलोफ'}, 'shortNameTranslation': {'ar': 'ف. ليندلوف', 'bn': 'ভি. লিন্ডেলফ', 'hi': 'वी. लिंडलोफ'}}",45.540243902439,21.706097560976,82,Manchester United,1748185200_manchester_united_vs_aston_villa
Ayden Heaven,Ayden Heaven,,heaven-ayden,A. Heaven,D,26,12145,M,,1445799,"{'nameTranslation': {'ar': 'هيفين، آيدن', 'bn': 'হ্যাভেন, আইডেন', 'hi': 'हेवेन, आइडेन'}, 'shortNameTranslation': {'ar': 'أ. آيدن', 'bn': 'এ. হ্যাভেন', 'hi': 'ए. हेवेन'}}",41.822972972973,74.636486486486,74,Manchester United,1748185200_manchester_united_vs_aston_villa
Harry Maguire,Harry,Maguire,harry-maguire,H. Maguire,D,5,30817,M,harrymaguire93,149380,"{'nameTranslation': {'ar': 'هاري ماغواير', 'bn': 'হ্যারি ম্যাগুইরে', 'hi': 'हैरी मैगुइर'}, 'shortNameTranslation': {'ar': 'ه. ماغواير', 'bn': 'এইচ. ম্যাগুইরে', 'hi': 'एच. मैगुइर'}}",41.339759036145,51.219277108434,83,Manchester United,1748185200_manchester_united_vs_aston_villa
