fixture_id,date,competition,season,round,home_team,away_team,player_team,player_id,player_name,player_number,player_position,minutes_played,rating,is_captain,is_substitute,shots_total,shots_on_target,goals,assists,passes_total,passes_key,passes_accuracy,dribbles_attempts,dribbles_success,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,fouls_drawn,fouls_committed,cards_yellow,cards_red
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,25004,Stefan Ortega,18,G,90,6.7,False,False,0,0,0,0,51,0,39.0,0,0,0,0,0,0,0,0,0,0,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,627,Kyle Walker,2,D,90,6.6,True,False,0,0,0,0,53,0,47.0,0,0,0,0,0,6,4,0,0,0,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,626,John Stones,5,D,90,7,False,False,1,1,0,0,68,0,65.0,0,0,0,1,1,7,4,1,0,0,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,567,Rúben Dias,3,D,90,6.6,False,False,0,0,0,0,101,0,92.0,0,0,1,0,1,4,2,0,1,0,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,5,Manuel Akanji,25,D,90,6.9,False,False,0,0,0,0,46,0,42.0,0,0,2,0,0,5,5,1,0,0,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,44,Rodri,16,M,90,7.5,False,False,2,1,0,0,88,0,81.0,1,1,3,0,1,14,8,0,3,0,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,2291,Mateo Kovačić,8,M,64,6.9,False,False,0,0,0,0,61,1,54.0,1,1,1,0,0,2,2,0,0,0,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,636,Bernardo Silva,20,M,90,6.9,False,False,0,0,0,0,39,0,36.0,4,2,4,0,0,14,7,1,3,0,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,6009,Julián Álvarez,19,M,90,7,False,False,1,0,0,0,19,3,17.0,0,0,1,0,1,10,3,2,0,1,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,19187,Jack Grealish,10,M,58,6.9,False,False,0,0,0,0,18,0,13.0,3,2,0,0,1,8,5,0,1,0,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,1100,Erling Haaland,9,F,64,6.3,False,False,0,0,0,0,9,0,6.0,1,0,0,0,0,4,2,0,1,0,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,631,Phil Foden,47,M,32,7,False,True,1,1,0,0,17,1,16.0,2,2,1,0,0,4,4,1,0,0,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,152982,Cole Palmer,80,M,26,7,False,True,1,1,1,0,5,0,4.0,2,1,1,0,0,6,2,0,1,0,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,629,Kevin De Bruyne,17,M,26,6.3,False,True,0,0,0,1,15,2,10.0,1,0,1,0,0,3,1,0,1,0,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,617,Ederson,31,G,0,0,False,True,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,284230,Rico Lewis,82,D,0,0,False,True,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,622,Aymeric Laporte,14,D,0,0,False,True,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,Manchester City,Manchester City,23,Sergio Gómez,21,M,0,0,False,True,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
