team,appearances,minutesPlayed,assists,keyPasses,bigChancesCreated,accuratePasses,accurateLongBalls,successfulDribbles,tackles,interceptions,ballRecovery,goals,rating
Dynamo Kyiv,1,90,0,0,0,30,6,0,0,0,6,0,9.7
Juventus,1,90,0,0,0,18,5,0,0,0,6,0,8.5
Liverpool FC,1,90,0,0,0,18,12,0,0,0,9,0,7.8
Liverpool FC,2,180,0,0,0,53,17,0,0,0,20,0,7.65
Lazio,1,90,0,0,0,8,4,0,0,0,3,0,7.6
FC Bayern München,8,720,0,1,0,224,48,0,0,0,79,0,7.44
Paris Saint-Germain,12,1080,0,0,0,272,63,0,0,1,103,0,7.37
FC Krasnodar,4,360,0,0,0,52,27,2,0,0,34,0,7.35
Chelsea,12,1080,0,0,0,243,63,0,0,0,98,0,7.35
Liverpool FC,7,630,0,0,0,182,41,0,1,0,53,0,7.29
FC Porto,9,840,0,0,0,184,81,0,1,1,80,0,7.26
Borussia Dortmund,4,360,0,0,0,89,19,0,0,1,26,0,7.23
Manchester City,1,90,0,0,0,18,1,0,0,0,5,0,7.2
Shakhtar Donetsk,5,450,0,0,0,103,28,0,0,1,52,0,7.14
FC Krasnodar,2,180,0,0,0,37,21,0,0,0,17,0,7.05
Atalanta,3,270,0,0,0,50,34,0,0,0,18,0,7.03
Lokomotiv Moscow,6,540,0,0,0,156,59,1,1,0,62,0,7.03
FC Porto,1,90,0,0,0,16,5,0,0,0,7,0,7.0
Sevilla,5,450,0,0,0,104,29,0,0,0,35,0,7.0
FC Midtjylland,4,360,0,1,0,105,46,0,0,0,33,0,6.98
Manchester City,12,1080,0,0,0,233,45,0,0,0,77,0,6.91
FC Barcelona,3,270,0,0,0,65,9,0,0,0,20,0,6.9
Olympiacos FC,6,540,0,0,0,113,38,0,0,2,62,0,6.9
Juventus,7,660,0,0,0,134,8,1,1,1,36,0,6.9
FC Barcelona,5,450,0,0,0,101,20,0,0,0,29,0,6.88
Stade Rennais,4,360,0,0,0,81,28,0,0,0,29,0,6.85
AFC Ajax,6,540,0,0,0,214,44,0,0,0,54,0,6.85
Borussia M'gladbach,8,720,0,0,0,249,50,1,0,0,48,0,6.81
Real Madrid,12,1080,0,0,0,298,42,0,0,0,101,0,6.81
Club Brugge KV,1,90,0,0,0,17,9,0,0,0,8,0,6.8
Manchester United,5,450,0,0,0,77,24,0,0,0,29,0,6.78
Club Brugge KV,5,450,0,0,0,150,63,2,1,1,40,0,6.78
Inter,6,540,0,0,0,138,19,0,0,0,34,0,6.77
RB Leipzig,8,720,0,0,0,194,37,0,0,0,65,0,6.76
Borussia Dortmund,6,540,0,0,0,107,18,0,1,0,40,0,6.62
Atlético Madrid,8,720,0,0,0,95,43,0,0,0,61,0,6.61
Chelsea,1,90,0,0,0,21,0,0,0,0,2,0,6.6
Zenit St. Petersburg,6,540,0,0,0,107,33,0,0,0,59,0,6.58
FC Bayern München,2,180,0,0,0,58,8,0,0,0,14,0,6.55
Atalanta,5,450,0,0,0,67,24,0,0,0,35,0,6.48
Dynamo Kyiv,4,360,0,0,0,76,25,0,0,1,16,0,6.48
Lazio,7,630,0,0,0,196,38,0,0,2,60,0,6.44
Dynamo Kyiv,1,90,0,0,0,26,6,0,0,0,9,0,6.4
Stade Rennais,2,180,0,0,0,31,12,0,0,0,12,0,6.4
Olympique de Marseille,6,540,0,0,0,154,32,0,0,0,42,0,6.38
Sevilla,2,180,0,0,0,30,10,0,0,0,9,0,6.3
Ferencváros TC,6,540,0,0,0,163,52,0,1,0,41,0,6.3
