accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,position_group
3,0,0.0,3,8,38.1,5,11,16,55.17,1,100.0,0,1,0,0,0,0,5,0,0,0,1,3,1,0,0,0,0,0,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,,0,0.0,0,0,0,13,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,13,0,2,7.7,0,0,0,2,2,4,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,8,0,0,1,100.0,21,15,14,29,7.7,0,0,39,0,0,0,Denys Boyko,Dynamo Kyiv,68936,3305,Goalkeepers
2,0,0.0,4,10,38.46,7,6,13,44.83,1,100.0,0,1,0,0,0,0,10,0,0,0,1,0,1,0,0,0,0,0,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,,0,0.0,0,3,0,16,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,16,0,0,7.6,0,0,1,3,0,3,0,1,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,2,0,0,1,100.0,26,22,7,29,7.6,0,0,38,1,0,0,Josep Martínez,RB Leipzig,845291,36360,Goalkeepers
0,0,0.0,0,2,66.67,1,23,24,96.0,0,0.0,0,1,0,0,0,0,9,0,0,0,0,3,1,0,0,0,0,0,0,0,,,0,0,0.0,0,0,0,1,1,0,0,0,,0,0.0,0,0,0,1,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,1,0,2,7.5,0,0,1,3,1,4,0,2,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0.0,3,1,24,25,7.5,0,0,39,0,0,0,Sven Ulreich,FC Bayern München,26768,2672,Goalkeepers
30,0,0.0,9,63,34.62,20,280,300,71.09,3,75.0,1,13,0,0,0,0,108,0,0,0,5,5,13,0,0,0,0,1,0,1,,,0,0,0.0,0,0,0,14,13,1,0,0,1.85,2,100.0,0,7,0,122,0,0,0,13,1230,0,,0,0,0,0,0.0,1,0,1,0,125,0,2,7.48,0,0,3,35,23,59,0,16,0.0,0.0,0,0,0,0,0,1,100.0,3,0,0,0.0,0,55,1,0,5,83.33,182,122,300,422,97.3,0,5,580,2,0,0,Thibaut Courtois,Real Madrid,70988,2829,Goalkeepers
12,0,0.0,4,41,44.09,19,81,100,64.1,1,100.0,0,5,0,0,0,0,34,0,0,0,1,4,5,0,0,0,0,0,0,0,,,0,0,0.0,0,0,0,8,5,3,0,0,,0,0.0,0,0,0,56,2,0,0,5,450,0,,0,0,0,0,0.0,1,0,0,0,56,0,2,7.42,0,0,0,17,10,27,0,8,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,27,0,0,1,100.0,93,56,100,156,37.1,0,0,202,0,0,0,Giorgos Athanasiadis,Sheriff Tiraspol,284851,5173,Goalkeepers
4,0,0.0,0,4,50.0,2,10,12,70.59,0,0.0,0,1,0,0,0,0,9,0,0,0,1,0,1,0,0,0,0,0,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,,0,0.0,0,0,0,5,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,5,0,0,7.3,0,0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,7,0,0,0,0.0,8,4,13,17,7.3,0,0,24,0,0,0,Mattia Perin,Juventus,79645,2687,Goalkeepers
10,0,0.0,1,19,46.34,4,94,98,80.33,0,0.0,0,5,0,0,0,0,41,0,0,0,2,12,5,0,0,0,0,0,1,0,,,0,0,0.0,0,0,0,6,6,0,0,0,,0,0.0,0,2,0,24,0,0,0,5,450,0,,0,0,0,0,0.0,2,0,1,0,24,0,6,7.28,0,0,3,13,6,19,0,4,0.0,0.0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,18,0,0,0,0.0,41,18,104,122,36.4,0,1,189,0,2,0,Gianluigi Donnarumma,Paris Saint-Germain,824509,1644,Goalkeepers
7,0,0.0,0,10,40.0,0,71,71,81.61,2,100.0,0,3,0,0,0,0,25,0,0,0,0,3,3,0,0,0,0,0,0,0,,,0,0,0.0,0,0,0,5,5,0,0,0,,0,0.0,0,1,0,16,0,0,0,3,270,0,,0,0,0,0,0.0,0,0,0,0,16,0,2,7.13,0,0,0,9,2,11,0,6,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,9,0,0,2,100.0,25,7,80,87,21.4,0,0,122,0,0,0,Keylor Navas,Paris Saint-Germain,56113,1644,Goalkeepers
24,0,0.0,9,69,38.98,40,157,197,64.17,3,100.0,0,10,0,0,0,0,74,0,0,0,5,5,10,1,0,0,1,1,0,0,,,0,0,0.0,0,0,0,17,16,1,0,0,-0.94,3,75.0,0,3,0,110,0,0,0,10,900,0,,0,0,0,0,0.0,1,0,1,0,116,0,4,7.12,0,0,2,26,10,37,0,9,0.0,0.0,0,0,0,0,0,0,0.0,2,1,1,100.0,0,44,0,0,6,85.71,177,118,189,307,71.2,0,1,414,1,1,0,Odysseas Vlachodimos,Benfica,138149,3006,Goalkeepers
3,0,0.0,2,7,33.33,4,16,20,55.56,1,100.0,0,1,0,0,0,0,12,0,0,0,0,1,1,0,0,0,0,0,0,0,,,0,0,0.0,0,0,0,2,2,0,0,0,,0,0.0,0,0,0,16,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,16,0,0,7.1,0,0,1,3,2,5,0,1,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,7,0,0,1,100.0,21,13,23,36,7.1,0,0,48,0,0,0,Pavao Pervan,VfL Wolfsburg,35976,2524,Goalkeepers
14,0,0.0,2,18,60.0,9,57,66,84.62,1,100.0,0,3,0,0,0,0,27,0,0,0,1,3,3,0,0,0,0,0,0,0,,,0,0,0.0,0,0,0,2,2,0,0,0,,0,0.0,0,1,0,12,0,0,0,3,270,0,,0,0,0,0,0.0,0,0,0,0,14,0,1,7.1,0,0,0,6,1,7,0,2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,21,0,0,1,100.0,30,14,64,78,21.3,0,0,110,0,0,0,Ciprian Tătărușanu,Milan,44453,2692,Goalkeepers
1,0,0.0,0,4,33.33,2,18,20,71.43,0,0.0,0,1,0,0,0,0,8,0,0,0,0,2,1,0,0,0,0,0,0,0,,,0,0,0.0,0,0,0,3,3,0,0,0,,1,100.0,0,0,0,8,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,9,0,1,7.0,0,0,0,2,3,5,0,3,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,1,100.0,12,9,19,28,7.0,0,0,42,1,0,0,Dumitru Celeadnic,Sheriff Tiraspol,841968,5173,Goalkeepers
27,0,0.0,4,63,64.29,22,262,284,88.2,1,100.0,0,9,1,0,0,0,67,1,0,0,4,3,9,0,0,0,0,0,0,1,,,0,0,0.0,0,0,1,6,6,0,0,0,-0.17,0,0.0,0,3,0,38,0,2,0,9,810,0,,0,0,0,0,0.0,0,0,0,0,39,0,1,6.93,0,0,5,8,6,14,1,2,0.0,0.0,0,0,0,0,0,0,0.0,5,0,0,0.0,2,42,0,0,1,100.0,98,35,287,322,62.4,0,0,386,0,0,0,Manuel Neuer,FC Bayern München,8959,2672,Goalkeepers
11,0,0.0,5,31,47.69,13,115,128,79.01,0,0.0,1,6,0,0,0,0,38,0,0,0,2,2,6,0,0,0,0,2,0,0,,,1,0,0.0,0,0,0,5,5,0,0,0,,1,50.0,0,4,0,34,0,0,0,6,540,0,,0,0,0,1,0.0,4,0,0,0,34,0,1,6.93,0,0,3,8,6,14,0,4,0.0,0.0,0,0,0,0,0,1,100.0,3,0,0,0.0,0,23,1,0,1,33.33,65,39,123,162,41.6,0,0,209,0,0,0,Bono,Sevilla,360938,2833,Goalkeepers
14,0,0.0,3,48,47.06,29,82,111,67.27,2,100.0,0,5,0,0,0,0,41,0,0,0,1,3,5,0,0,0,0,0,0,0,,,0,0,0.0,0,0,0,8,7,1,0,0,,0,0.0,0,2,0,54,0,0,0,5,450,0,,0,0,0,0,0.0,1,0,0,0,54,0,2,6.92,0,0,0,11,7,18,0,4,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,27,0,0,2,100.0,102,73,92,165,34.6,0,0,214,1,0,0,Koen Casteels,VfL Wolfsburg,70987,2524,Goalkeepers
20,0,0.0,5,51,27.57,27,93,120,47.24,6,85.71,1,10,0,0,0,0,85,0,0,0,3,5,10,0,0,0,0,1,0,0,,,0,0,0.0,0,0,0,10,8,2,0,0,0.52,0,0.0,0,9,0,134,0,0,0,10,900,0,,0,0,0,0,0.0,2,0,0,0,136,0,2,6.91,0,0,3,17,9,26,0,5,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,54,0,0,6,85.71,185,135,119,254,69.1,0,1,333,1,0,0,Jan Oblak,Atlético Madrid,69768,2836,Goalkeepers
24,0,0.0,2,33,29.73,22,44,66,45.21,2,100.0,0,6,0,0,0,0,51,0,0,0,3,2,6,0,0,0,0,0,0,1,,,0,0,0.0,0,0,0,4,4,0,0,0,,3,100.0,0,6,0,80,0,0,0,6,540,0,,0,0,0,0,0.0,2,0,0,0,83,0,1,6.88,0,0,0,6,6,12,0,2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,79,0,0,5,100.0,111,93,53,146,41.3,0,0,200,4,1,0,Ivo Grbić,Lille,283847,1643,Goalkeepers
8,0,0.0,1,22,47.83,10,51,61,71.76,6,100.0,0,4,0,0,0,0,23,0,0,0,1,11,4,0,0,0,0,0,0,0,,,0,0,0.0,0,0,0,6,6,0,0,0,,1,100.0,0,1,0,24,0,0,0,4,360,0,,0,0,0,0,0.0,1,0,0,0,24,0,6,6.88,0,0,0,6,5,11,0,1,0.0,0.0,0,0,0,0,0,1,100.0,0,0,0,0.0,0,10,1,0,7,100.0,46,28,57,85,27.5,0,0,127,1,0,0,Stanislav Kritsyuk,Zenit St. Petersburg,236158,2321,Goalkeepers
12,0,0.0,0,14,56.0,2,59,61,77.22,0,0.0,1,3,0,0,0,0,24,0,0,0,0,1,3,0,0,0,0,1,0,2,,,0,0,0.0,0,0,0,9,8,1,0,0,,0,0.0,0,0,0,18,0,0,0,3,270,0,,0,0,0,0,0.0,0,0,0,0,18,0,0,6.87,0,0,1,12,5,17,0,5,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,25,0,0,0,0.0,25,8,71,79,20.6,0,0,114,0,0,0,Anatoliy Trubin,Shakhtar Donetsk,966616,3313,Goalkeepers
