name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,averageX,averageY,pointsCount,team,match
Leandro Trossard,Leandro,Trossard,leandro-trossard,L. Trossard,F,19,32932,M,leandrotrossard,135666,"{'nameTranslation': {'ar': 'لياندرو تروسار', 'bn': 'লিয়েন্দ্রো ট্রসার্ড', 'hi': 'लिएंड्रो ट्रोसार्ड'}, 'shortNameTranslation': {'ar': 'ل. تروسار', 'bn': 'এল. ট্রসার্ড', 'hi': 'एल. ट्रोसार्ड'}}",56.780952380952,49.842857142857,21,Arsenal,1741809600_arsenal_vs_psv_eindhoven
Riccardo Calafiori,,,riccardo-calafiori,R. Calafiori,D,33,26337,M,richycala,957602,"{'nameTranslation': {'ar': 'ريكاردو كالافيوري', 'bn': 'রিকার্ডো কালাফিয়োরি', 'hi': 'रिकार्डो कैलाफियोरी'}, 'shortNameTranslation': {'ar': 'ر. كالافيوري', 'bn': 'আর. কালাফিয়োরি', 'hi': 'आर. कैलाफियोरी'}}",44.408,72.736,25,Arsenal,1741809600_arsenal_vs_psv_eindhoven
Martin Ødegaard,,,martin-degaard,M. Ødegaard,M,8,82083,M,Ødegaard,547410,"{'nameTranslation': {'ar': 'مارتن أوديغارد', 'bn': 'মার্টিন ওডেগার্ড', 'hi': 'मार्टिन ओडेगार्ड'}, 'shortNameTranslation': {'ar': 'م. أوديغارد', 'bn': 'এম. ওডেগার্ড', 'hi': 'एम. ओडेगार्ड'}}",66.5,20.346666666667,15,Arsenal,1741809600_arsenal_vs_psv_eindhoven
Jurriën Timber,Jurrien,Timber,jurrien-timber,J. Timber,D,12,27324,M,jurrientimber,958959,"{'nameTranslation': {'ar': 'يوريان تيمبر', 'bn': 'জুরিন টিম্বার', 'hi': 'जुरीएन टिम्बर'}, 'shortNameTranslation': {'ar': 'ي. تيمبر', 'bn': 'জে. টিম্বার', 'hi': 'जे. टिम्बर'}}",56.25,36.128571428571,14,Arsenal,1741809600_arsenal_vs_psv_eindhoven
Gabriel Martinelli,,,gabriel-martinelli,G. Martinelli,F,11,71477,M,GabiMartinelli,922573,"{'nameTranslation': {'ar': 'غابرييل مارتينيلي', 'bn': 'গ্যাব্রিয়েল মার্টিনেলি', 'hi': 'गेब्रियल मार्टिनेली'}, 'shortNameTranslation': {'ar': 'غ. مارتينيلي', 'bn': 'জি. মার্টিনেলি', 'hi': 'जी. मार्टिनेली'}}",89.0,25.466666666667,3,Arsenal,1741809600_arsenal_vs_psv_eindhoven
Mikel Merino,Mikel,Merino,mikel-merino,M. Merino,M,23,32119,M,mikelmerino,592010,"{'nameTranslation': {'ar': 'ميكيل ميرينو', 'bn': 'মাইকেল মেরিনো', 'hi': 'मिकेल मेरिनो'}, 'shortNameTranslation': {'ar': 'م. ميرينو', 'bn': 'এম. মেরিনো', 'hi': 'एम. मेरिनो'}}",61.829411764706,52.152941176471,34,Arsenal,1741809600_arsenal_vs_psv_eindhoven
Declan Rice,Declan,Rice,declan-rice,D. Rice,M,41,70639,M,DeclanRice,856714,"{'nameTranslation': {'ar': 'ديكلان رايس', 'bn': 'ডেক্লান রাইস', 'hi': 'डेक्लान राइस'}, 'shortNameTranslation': {'ar': 'د. رايس', 'bn': 'ডি. রাইস', 'hi': 'डी. राइस'}}",55.419444444444,70.236111111111,36,Arsenal,1741809600_arsenal_vs_psv_eindhoven
Oleksandr Zinchenko,Oleksandr,Zinchenko,oleksandr-zinchenko,O. Zinchenko,D,47,17792,M,OZinchenko,287643,"{'nameTranslation': {'ar': 'أوليكساندر زينتشينكو', 'bn': 'অলেক্সান্ডার জিনচেনকো', 'hi': 'ओलेक्सांद्र ज़िनचेंको'}, 'shortNameTranslation': {'ar': 'أ. زينتشينكو', 'bn': 'ও. জিনচেনকো', 'hi': 'ओ. ज़िनचेंको'}}",54.1,36.59696969697,33,Arsenal,1741809600_arsenal_vs_psv_eindhoven
Kieran Tierney,Kieran,Tierney,kieran-tierney,K. Tierney,D,63,4899,M,kierantierney1,366592,"{'nameTranslation': {'ar': 'كيران تيرني', 'bn': 'কাইরান টিয়ার্নি', 'hi': 'किरन टियरनी'}, 'shortNameTranslation': {'ar': 'ك. تيرني', 'bn': 'কে. টিয়ার্নি', 'hi': 'के. टियरनी'}}",61.290243902439,86.073170731707,41,Arsenal,1741809600_arsenal_vs_psv_eindhoven
David Raya,David,Raya,david-raya,D. Raya,G,1,29489,M,d_raya1,581310,"{'nameTranslation': {'ar': 'ديفيد رايا', 'bn': 'ডেভিড রায়া', 'hi': 'डेविड राया'}, 'shortNameTranslation': {'ar': 'د. رايا', 'bn': 'ডি. রায়া', 'hi': 'डी. राया'}}",14.875,50.778571428571,56,Arsenal,1741809600_arsenal_vs_psv_eindhoven
