season,player_id,player_name,team_name,injury_type,reason,fixture_date,end_date,days_out
2023-2024,41104,J. Palhinha,Fulham,Missing Fixture,Shoulder Injury,2023-08-12,,196
2023-2024,2825,A. Mitrovic,Fulham,Missing Fixture,Ankle Injury,2023-08-19,,0
2023-2024,19312,S. Benda,Fulham,Missing Fixture,Knee Injury,2023-09-02,,51
2023-2024,2823,S. Lukic,Fulham,Missing Fixture,Knee Injury,2023-09-02,,260
2023-2024,19312,S. Benda,Fulham,Missing Fixture,Knee Injury,2023-09-16,,51
2023-2024,19145,T. Adarabioyo,Fulham,Missing Fixture,Injury,2023-09-16,,43
2023-2024,19312,S. Benda,Fulham,Missing Fixture,Knee Injury,2023-09-23,,51
2023-2024,2823,S. Lukic,Fulham,Missing Fixture,Knee Injury,2023-09-23,,260
2023-2024,19145,T. Adarabioyo,Fulham,Missing Fixture,Injury,2023-09-23,,43
2023-2024,18753,A. Traore,Fulham,Missing Fixture,Thigh Injury,2023-10-02,,102
2023-2024,19312,S. Benda,Fulham,Missing Fixture,Knee Injury,2023-10-02,,51
2023-2024,19145,T. Adarabioyo,Fulham,Missing Fixture,Injury,2023-10-02,,43
2023-2024,19312,S. Benda,Fulham,Missing Fixture,Knee Injury,2023-10-07,,51
2023-2024,19145,T. Adarabioyo,Fulham,Missing Fixture,Injury,2023-10-07,,43
2023-2024,18753,A. Traore,Fulham,Missing Fixture,Thigh Injury,2023-10-23,,102
2023-2024,18814,I. Diop,Fulham,Missing Fixture,Foot Injury,2023-10-23,,208
2023-2024,657,K. Tete,Fulham,Missing Fixture,Injury,2023-10-23,,109
2023-2024,19312,S. Benda,Fulham,Missing Fixture,Knee Injury,2023-10-23,,51
2023-2024,19145,T. Adarabioyo,Fulham,Missing Fixture,Injury,2023-10-23,,43
2023-2024,18814,I. Diop,Fulham,Missing Fixture,Foot Injury,2023-10-29,,208
2023-2024,19145,T. Adarabioyo,Fulham,Missing Fixture,Injury,2023-10-29,,43
2023-2024,18814,I. Diop,Fulham,Missing Fixture,Foot Injury,2023-11-04,,208
2023-2024,18814,I. Diop,Fulham,Missing Fixture,Foot Injury,2023-11-12,,208
2023-2024,195106,Rodrigo Muniz,Fulham,Missing Fixture,Injury,2023-11-12,,24
2023-2024,18753,A. Traore,Fulham,Missing Fixture,Thigh Injury,2023-11-27,,102
2023-2024,18814,I. Diop,Fulham,Missing Fixture,Foot Injury,2023-11-27,,208
2023-2024,41104,J. Palhinha,Fulham,Missing Fixture,Yellow Cards,2023-11-27,,196
2023-2024,195106,Rodrigo Muniz,Fulham,Missing Fixture,Injury,2023-11-27,,24
2023-2024,18753,A. Traore,Fulham,Missing Fixture,Thigh Injury,2023-12-03,,102
2023-2024,18814,I. Diop,Fulham,Missing Fixture,Foot Injury,2023-12-03,,208
2023-2024,195106,Rodrigo Muniz,Fulham,Missing Fixture,Injury,2023-12-03,,24
2023-2024,18753,A. Traore,Fulham,Missing Fixture,Thigh Injury,2023-12-06,,102
2023-2024,18814,I. Diop,Fulham,Missing Fixture,Foot Injury,2023-12-06,,208
2023-2024,195106,Rodrigo Muniz,Fulham,Missing Fixture,Injury,2023-12-06,,24
2023-2024,18814,I. Diop,Fulham,Missing Fixture,Foot Injury,2023-12-10,,208
