season,player_id,player_name,team_name,injury_type,reason,fixture_date,end_date,days_out
2024-2025,18741,C. Coady,Leicester,Missing Fixture,Thigh Injury,2024-08-19,,4
2024-2025,1098,P. Daka,Leicester,Missing Fixture,Ankle Injury,2024-08-19,,74
2024-2025,18741,C. Coady,Leicester,Missing Fixture,Thigh Injury,2024-08-24,,4
2024-2025,152970,J. Stolarczyk,Leicester,Missing Fixture,Ankle Injury,2024-08-24,,112
2024-2025,405905,N. Opoku,Leicester,Missing Fixture,Broken Leg,2024-08-24,,226
2024-2025,1098,P. Daka,Leicester,Missing Fixture,Ankle Injury,2024-08-24,,74
2024-2025,152970,J. Stolarczyk,Leicester,Missing Fixture,Ankle Injury,2024-08-31,,112
2024-2025,405905,N. Opoku,Leicester,Missing Fixture,Broken Leg,2024-08-31,,226
2024-2025,1098,P. Daka,Leicester,Missing Fixture,Ankle Injury,2024-08-31,,74
2024-2025,152970,J. Stolarczyk,Leicester,Missing Fixture,Ankle Injury,2024-09-14,,112
2024-2025,405905,N. Opoku,Leicester,Missing Fixture,Broken Leg,2024-09-14,,226
2024-2025,1135,O. Edouard,Leicester,Missing Fixture,Lacking Match Fitness,2024-09-14,,123
2024-2025,1098,P. Daka,Leicester,Missing Fixture,Ankle Injury,2024-09-14,,74
2024-2025,152970,J. Stolarczyk,Leicester,Missing Fixture,Ankle Injury,2024-09-21,,112
2024-2025,405905,N. Opoku,Leicester,Missing Fixture,Broken Leg,2024-09-21,,226
2024-2025,1098,P. Daka,Leicester,Missing Fixture,Ankle Injury,2024-09-21,,74
2024-2025,18779,H. Choudhury,Leicester,Missing Fixture,Shoulder Injury,2024-10-05,,20
2024-2025,152970,J. Stolarczyk,Leicester,Missing Fixture,Ankle Injury,2024-10-05,,112
2024-2025,405905,N. Opoku,Leicester,Missing Fixture,Broken Leg,2024-10-05,,226
2024-2025,1098,P. Daka,Leicester,Missing Fixture,Ankle Injury,2024-10-05,,74
2024-2025,18779,H. Choudhury,Leicester,Missing Fixture,Shoulder Injury,2024-10-19,,20
2024-2025,152970,J. Stolarczyk,Leicester,Missing Fixture,Ankle Injury,2024-10-19,,112
2024-2025,405905,N. Opoku,Leicester,Missing Fixture,Broken Leg,2024-10-19,,226
2024-2025,1098,P. Daka,Leicester,Missing Fixture,Ankle Injury,2024-10-19,,74
2024-2025,18779,H. Choudhury,Leicester,Missing Fixture,Shoulder Injury,2024-10-25,,20
2024-2025,152970,J. Stolarczyk,Leicester,Missing Fixture,Ankle Injury,2024-10-25,,112
2024-2025,18943,J. Vestergaard,Leicester,Missing Fixture,Ankle Injury,2024-10-25,,0
2024-2025,405905,N. Opoku,Leicester,Missing Fixture,Broken Leg,2024-10-25,,226
2024-2025,1098,P. Daka,Leicester,Missing Fixture,Ankle Injury,2024-10-25,,74
2024-2025,152970,J. Stolarczyk,Leicester,Missing Fixture,Ankle Injury,2024-11-02,,112
2024-2025,405905,N. Opoku,Leicester,Missing Fixture,Broken Leg,2024-11-02,,226
2024-2025,1098,P. Daka,Leicester,Missing Fixture,Ankle Injury,2024-11-02,,74
2024-2025,152970,J. Stolarczyk,Leicester,Missing Fixture,Ankle Injury,2024-11-10,,112
2024-2025,405905,N. Opoku,Leicester,Missing Fixture,Broken Leg,2024-11-10,,226
2024-2025,311334,F. Buonanotte,Leicester,Missing Fixture,Yellow Cards,2024-11-23,,161
2024-2025,303467,I. Fatawu,Leicester,Missing Fixture,Knee Injury,2024-11-23,,183
2024-2025,152970,J. Stolarczyk,Leicester,Missing Fixture,Ankle Injury,2024-11-23,,112
2024-2025,405905,N. Opoku,Leicester,Missing Fixture,Broken Leg,2024-11-23,,226
2024-2025,18771,R. Pereira,Leicester,Missing Fixture,Thigh Injury,2024-11-23,,169
2024-2025,182,H. Winks,Leicester,Missing Fixture,Muscle Injury,2024-11-30,,176
2024-2025,303467,I. Fatawu,Leicester,Missing Fixture,Knee Injury,2024-11-30,,183
2024-2025,152970,J. Stolarczyk,Leicester,Missing Fixture,Ankle Injury,2024-11-30,,112
2024-2025,405905,N. Opoku,Leicester,Missing Fixture,Broken Leg,2024-11-30,,226
2024-2025,18771,R. Pereira,Leicester,Missing Fixture,Thigh Injury,2024-11-30,,169
2024-2025,182,H. Winks,Leicester,Missing Fixture,Muscle Injury,2024-12-03,,176
2024-2025,303467,I. Fatawu,Leicester,Missing Fixture,Knee Injury,2024-12-03,,183
2024-2025,152970,J. Stolarczyk,Leicester,Missing Fixture,Ankle Injury,2024-12-03,,112
2024-2025,405905,N. Opoku,Leicester,Missing Fixture,Broken Leg,2024-12-03,,226
2024-2025,18771,R. Pereira,Leicester,Missing Fixture,Thigh Injury,2024-12-03,,169
2024-2025,311334,F. Buonanotte,Leicester,Missing Fixture,Loan agreement,2024-12-08,,161
2024-2025,182,H. Winks,Leicester,Missing Fixture,Muscle Injury,2024-12-08,,176
2024-2025,303467,I. Fatawu,Leicester,Missing Fixture,Knee Injury,2024-12-08,,183
2024-2025,152970,J. Stolarczyk,Leicester,Missing Fixture,Ankle Injury,2024-12-08,,112
2024-2025,405905,N. Opoku,Leicester,Missing Fixture,Broken Leg,2024-12-08,,226
2024-2025,18771,R. Pereira,Leicester,Missing Fixture,Thigh Injury,2024-12-08,,169
2024-2025,22233,B. Soumare,Leicester,Missing Fixture,Yellow Cards,2024-12-14,,0
