Date,start_time,Competition,Round,Day,Venue,Result,goals_for,goals_against,Opponent,possession,attendance,captain,formation,opp_formation,referee,Match_Report_URL,Match_Report,notes
2022-09-06,18:45,Champions Lg,Group stage,Tue,Away,L,0,1,hrDinamo Zagreb,68,"20,607",César Azpilicueta,3-4-3,,István Kovács,https://fbref.com/en/matches/07f058d4/Dinamo-Zagreb-Chelsea-September-6-2022-Champions-League,Match Report,
2022-09-14,20:00(21:00),Champions Lg,Group stage,Wed,Home,D,1,1,atRB Salzburg,72,"38,818",César Azpilicueta,4-2-3-1,4-3-1-2,Ivan Kružliak,https://fbref.com/en/matches/c36141e9/Chelsea-Red-Bull-Salzburg-September-14-2022-Champions-League,Match Report,
2022-10-05,20:00(21:00),Champions Lg,Group stage,Wed,Home,W,3,0,itMilan,51,"39,537",Thiago Silva,3-4-3,4-2-3-1,Danny Makkelie,https://fbref.com/en/matches/012a9877/Chelsea-Milan-October-5-2022-Champions-League,Match Report,
2022-10-11,21:00,Champions Lg,Group stage,Tue,Away,W,2,0,itMilan,70,"75,051",Jorginho,3-4-3,4-3-3,Daniel Siebert,https://fbref.com/en/matches/c4c72cb6/Milan-Chelsea-October-11-2022-Champions-League,Match Report,
2022-10-25,18:45,Champions Lg,Group stage,Tue,Away,W,2,1,atRB Salzburg,71,"29,520",Jorginho,3-4-1-2,4-4-2,Sandro Schärer,https://fbref.com/en/matches/e8dbb123/Red-Bull-Salzburg-Chelsea-October-25-2022-Champions-League,Match Report,
2022-11-02,20:00(21:00),Champions Lg,Group stage,Wed,Home,W,2,1,hrDinamo Zagreb,59,"39,392",César Azpilicueta,4-2-4,3-1-4-2,François Letexier,https://fbref.com/en/matches/eb2990f8/Chelsea-Dinamo-Zagreb-November-2-2022-Champions-League,Match Report,
2023-02-15,21:00,Champions Lg,Round of 16,Wed,Away,L,0,1,deDortmund,53,"81,365",Thiago Silva,4-2-3-1,4-1-4-1,Jesús Gil,https://fbref.com/en/matches/c9372f54/Dortmund-Chelsea-February-15-2023-Champions-League,Match Report,Leg 1 of 2
2023-03-07,20:00(21:00),Champions Lg,Round of 16,Tue,Home,W,2,0,deDortmund,39,"38,882",Mateo Kovačić,3-4-3,4-1-4-1,Danny Makkelie,https://fbref.com/en/matches/5f7f5b34/Chelsea-Dortmund-March-7-2023-Champions-League,Match Report,Leg 2 of 2; Chelsea won
2023-04-12,21:00,Champions Lg,Quarter-finals,Wed,Away,L,0,2,esReal Madrid,43,"63,142",Thiago Silva,,4-3-3,François Letexier,https://fbref.com/en/matches/0e7d4ede/Real-Madrid-Chelsea-April-12-2023-Champions-League,Match Report,Leg 1 of 2
2023-04-18,20:00(21:00),Champions Lg,Quarter-finals,Tue,Home,L,0,2,esReal Madrid,54,"39,453",Thiago Silva,,4-3-3,Daniele Orsato,https://fbref.com/en/matches/aac9025a/Chelsea-Real-Madrid-April-18-2023-Champions-League,Match Report,Leg 2 of 2; Real Madrid won
