Date,start_time,Competition,Round,Day,Venue,Result,goals_for,goals_against,Opponent,possession,attendance,captain,formation,opp_formation,referee,Match_Report_URL,Match_Report,notes
2022-08-06,17:30(18:30),Premier League,Matchweek 1,Sat,Away,W,1,0,Everton,63,"39,254",César Azpilicueta,3-4-3,5-4-1,Craig Pawson,https://fbref.com/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,Match Report,
2022-08-14,16:30(17:30),Premier League,Matchweek 2,Sun,Home,D,2,2,Tottenham Hotspur,64,"39,946",Jorginho,3-4-3,3-4-3,Anthony Taylor,https://fbref.com/en/matches/01e57bf5/Chelsea-Tottenham-Hotspur-August-14-2022-Premier-League,Match Report,
2022-08-21,14:00(15:00),Premier League,Matchweek 3,Sun,Away,L,0,3,Leeds United,60,"36,372",Jorginho,3-5-2,4-2-3-1,Stuart Attwell,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,Match Report,
2022-08-27,15:00(16:00),Premier League,Matchweek 4,Sat,Home,W,2,1,Leicester City,46,"39,953",Jorginho,4-4-2,4-1-4-1,Paul Tierney,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,Match Report,
2022-08-30,19:45(20:45),Premier League,Matchweek 5,Tue,Away,L,1,2,Southampton,68,"31,542",César Azpilicueta,4-3-3,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/afd303a8/Southampton-Chelsea-August-30-2022-Premier-League,Match Report,
2022-09-03,15:00(16:00),Premier League,Matchweek 6,Sat,Home,W,2,1,West Ham United,69,"39,923",Thiago Silva,3-1-4-2,4-2-3-1,Andy Madley,https://fbref.com/en/matches/d7642197/Chelsea-West-Ham-United-September-3-2022-Premier-League,Match Report,
2022-09-06,18:45,Champions Lg,Group stage,Tue,Away,L,0,1,hrDinamo Zagreb,68,"20,607",César Azpilicueta,3-4-3,,István Kovács,https://fbref.com/en/matches/07f058d4/Dinamo-Zagreb-Chelsea-September-6-2022-Champions-League,Match Report,
2022-09-14,20:00(21:00),Champions Lg,Group stage,Wed,Home,D,1,1,atRB Salzburg,72,"38,818",César Azpilicueta,4-2-3-1,4-3-1-2,Ivan Kružliak,https://fbref.com/en/matches/c36141e9/Chelsea-Red-Bull-Salzburg-September-14-2022-Champions-League,Match Report,
2022-10-01,15:00(16:00),Premier League,Matchweek 9,Sat,Away,W,2,1,Crystal Palace,64,"25,198",Jorginho,4-2-2-2,4-3-3,Chris Kavanagh,https://fbref.com/en/matches/372249f3/Crystal-Palace-Chelsea-October-1-2022-Premier-League,Match Report,
2022-10-05,20:00(21:00),Champions Lg,Group stage,Wed,Home,W,3,0,itMilan,51,"39,537",Thiago Silva,3-4-3,4-2-3-1,Danny Makkelie,https://fbref.com/en/matches/012a9877/Chelsea-Milan-October-5-2022-Champions-League,Match Report,
2022-10-08,15:00(16:00),Premier League,Matchweek 10,Sat,Home,W,3,0,Wolves,57,"39,940",César Azpilicueta,4-2-3-1,4-2-3-1,Simon Hooper,https://fbref.com/en/matches/c83cb314/Chelsea-Wolverhampton-Wanderers-October-8-2022-Premier-League,Match Report,
2022-10-11,21:00,Champions Lg,Group stage,Tue,Away,W,2,0,itMilan,70,"75,051",Jorginho,3-4-3,4-3-3,Daniel Siebert,https://fbref.com/en/matches/c4c72cb6/Milan-Chelsea-October-11-2022-Champions-League,Match Report,
2022-10-16,14:00(15:00),Premier League,Matchweek 11,Sun,Away,W,2,0,Aston Villa,59,"41,754",Thiago Silva,3-4-3,4-3-3,Robert Jones,https://fbref.com/en/matches/7113ce7f/Aston-Villa-Chelsea-October-16-2022-Premier-League,Match Report,
