Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,Raheem Sterling,17,eng ENG,FW,27-256,86,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,,
a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,César Azpilicueta,28,es ESP,"DF,MF",32-358,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,Kai Havertz,29,de GER,FW,23-071,90,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,,
a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,Marc Cucurella,32,es ESP,LM,24-030,90,0,0,0,0,2,0,0,0,2,2,1,3,0,1,0,,
a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,Conor Gallagher,23,eng ENG,CM,22-196,63,0,0,0,0,1,0,0,0,0,2,0,3,1,3,0,,
a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,Christian Pulisic,10,us USA,"FW,MF",23-337,27,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,Mason Mount,19,eng ENG,CM,23-223,76,0,0,0,0,3,1,0,0,1,0,0,7,2,0,0,,
a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,Ben Chilwell,21,eng ENG,"DF,MF",25-243,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,
a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,Jorginho,5,it ITA,CM,30-244,63,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,,
a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,Hakim Ziyech,22,ma MAR,"FW,MF",29-155,27,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,,
a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,Ruben Loftus-Cheek,12,eng ENG,RM,26-210,90,0,0,0,0,2,0,0,0,1,3,0,1,2,2,0,,
a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,Kalidou Koulibaly,26,sn SEN,CB,31-062,83,0,0,0,0,1,1,2,1,3,1,0,0,2,4,0,,
a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,Thiago Silva,6,br BRA,CB,37-333,90,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,,
a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,Reece James,24,eng ENG,CB,22-256,90,0,0,0,0,1,1,0,0,0,1,2,2,2,3,0,,
a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,Edouard Mendy,16,sn SEN,GK,30-173,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
