Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,Raheem Sterling,17,eng ENG,FW,27-262,74,2,0,0,0,3,2,0,0,1,2,0,1,0,0,0,,
b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,Christian Pulisic,10,us USA,"FW,MF",23-343,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,Kai Havertz,29,de GER,FW,23-077,90,0,0,0,0,0,0,1,0,4,2,3,0,0,0,0,,
b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,Mason Mount,19,eng ENG,LM,23-229,45,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,,
b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,César Azpilicueta,28,es ESP,"DF,MF",32-364,45,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,,
b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,Conor Gallagher,23,eng ENG,CM,22-202,27,0,0,0,0,0,0,2,1,3,0,0,0,3,0,0,,
b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,Jorginho,5,it ITA,CM,30-250,74,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,
b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,Mateo Kovačić,8,hr CRO,MF,28-113,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,Ruben Loftus-Cheek,12,eng ENG,RM,26-216,90,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,,
b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,Marc Cucurella,32,es ESP,LB,24-036,89,0,1,0,0,0,0,0,0,0,1,0,4,1,1,0,,
b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,Ben Chilwell,21,eng ENG,"DF,MF",25-249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,Thiago Silva,6,br BRA,CB,37-339,90,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,
b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,Trevoh Chalobah,14,eng ENG,CB,23-053,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,Reece James,24,eng ENG,RB,22-262,90,0,1,0,0,2,0,0,0,1,1,0,4,1,1,0,,
b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,Edouard Mendy,16,sn SEN,GK,30-179,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
