Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
af9dc838,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Arsenal,L,2022-11-06_premier_league_arsenal,Chelsea,Pierre-Emerick Aubameyang,9,ga GAB,FW,33-141,63,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,,
af9dc838,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Arsenal,L,2022-11-06_premier_league_arsenal,Chelsea,Armando Broja,18,al ALB,FW,21-057,27,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,,
af9dc838,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Arsenal,L,2022-11-06_premier_league_arsenal,Chelsea,Mason Mount,19,eng ENG,AM,23-300,77,0,0,0,0,1,0,0,0,2,3,0,4,0,0,0,,
af9dc838,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Arsenal,L,2022-11-06_premier_league_arsenal,Chelsea,Christian Pulisic,10,us USA,"FW,MF",24-049,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,
af9dc838,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Arsenal,L,2022-11-06_premier_league_arsenal,Chelsea,Kai Havertz,29,de GER,AM,23-148,63,0,0,0,0,1,1,0,0,2,0,0,2,1,0,0,,
af9dc838,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Arsenal,L,2022-11-06_premier_league_arsenal,Chelsea,Conor Gallagher,23,eng ENG,MF,22-273,27,0,0,0,0,0,0,1,0,1,1,0,2,1,0,0,,
af9dc838,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Arsenal,L,2022-11-06_premier_league_arsenal,Chelsea,Raheem Sterling,17,eng ENG,AM,27-333,90,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,,
af9dc838,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Arsenal,L,2022-11-06_premier_league_arsenal,Chelsea,Jorginho,5,it ITA,DM,30-321,90,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,,
af9dc838,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Arsenal,L,2022-11-06_premier_league_arsenal,Chelsea,Ruben Loftus-Cheek,12,eng ENG,DM,26-287,77,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,
af9dc838,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Arsenal,L,2022-11-06_premier_league_arsenal,Chelsea,Mateo Kovačić,8,hr CRO,MF,28-184,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
af9dc838,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Arsenal,L,2022-11-06_premier_league_arsenal,Chelsea,Marc Cucurella,32,es ESP,LB,24-107,90,0,0,0,0,1,0,0,0,3,3,0,2,2,0,0,,
af9dc838,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Arsenal,L,2022-11-06_premier_league_arsenal,Chelsea,Thiago Silva,6,br BRA,CB,38-045,90,0,0,0,0,1,0,0,0,1,1,0,0,1,2,0,,
af9dc838,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Arsenal,L,2022-11-06_premier_league_arsenal,Chelsea,Trevoh Chalobah,14,eng ENG,CB,23-124,90,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,,
af9dc838,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Arsenal,L,2022-11-06_premier_league_arsenal,Chelsea,César Azpilicueta,28,es ESP,RB,33-070,90,0,0,0,0,0,0,1,0,4,1,0,2,4,2,0,,
af9dc838,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Arsenal,L,2022-11-06_premier_league_arsenal,Chelsea,Edouard Mendy,16,sn SEN,GK,30-250,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
