Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
d55b9033,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,2022-12-27,Premier League,Matchweek 17,Home,Bournemouth,W,2022-12-27_premier_league_bournemouth,Chelsea,Christian Pulisic,10,us USA,FW,24-100,81,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,,
d55b9033,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,2022-12-27,Premier League,Matchweek 17,Home,Bournemouth,W,2022-12-27_premier_league_bournemouth,Chelsea,Pierre-Emerick Aubameyang,9,ga GAB,"FW,MF",33-192,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
d55b9033,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,2022-12-27,Premier League,Matchweek 17,Home,Bournemouth,W,2022-12-27_premier_league_bournemouth,Chelsea,Kai Havertz,29,de GER,FW,23-199,90,1,1,0,0,3,1,0,0,3,0,2,0,0,0,0,,
d55b9033,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,2022-12-27,Premier League,Matchweek 17,Home,Bournemouth,W,2022-12-27_premier_league_bournemouth,Chelsea,Raheem Sterling,17,eng ENG,FW,28-019,87,0,1,0,0,1,1,0,0,0,3,0,4,0,0,0,,
d55b9033,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,2022-12-27,Premier League,Matchweek 17,Home,Bournemouth,W,2022-12-27_premier_league_bournemouth,Chelsea,Trevoh Chalobah,14,eng ENG,"DF,MF",23-175,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
d55b9033,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,2022-12-27,Premier League,Matchweek 17,Home,Bournemouth,W,2022-12-27_premier_league_bournemouth,Chelsea,Mason Mount,19,eng ENG,CM,23-351,90,1,0,0,0,2,2,0,0,0,1,1,3,2,1,0,,
d55b9033,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,2022-12-27,Premier League,Matchweek 17,Home,Bournemouth,W,2022-12-27_premier_league_bournemouth,Chelsea,Jorginho,5,it ITA,CM,31-007,90,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,
d55b9033,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,2022-12-27,Premier League,Matchweek 17,Home,Bournemouth,W,2022-12-27_premier_league_bournemouth,Chelsea,Denis Zakaria,20,ch SUI,CM,26-037,81,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,,
d55b9033,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,2022-12-27,Premier League,Matchweek 17,Home,Bournemouth,W,2022-12-27_premier_league_bournemouth,Chelsea,Conor Gallagher,23,eng ENG,MF,22-324,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,
d55b9033,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,2022-12-27,Premier League,Matchweek 17,Home,Bournemouth,W,2022-12-27_premier_league_bournemouth,Chelsea,Marc Cucurella,32,es ESP,LB,24-158,90,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,
d55b9033,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,2022-12-27,Premier League,Matchweek 17,Home,Bournemouth,W,2022-12-27_premier_league_bournemouth,Chelsea,Thiago Silva,6,br BRA,CB,38-096,90,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,,
d55b9033,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,2022-12-27,Premier League,Matchweek 17,Home,Bournemouth,W,2022-12-27_premier_league_bournemouth,Chelsea,Kalidou Koulibaly,26,sn SEN,CB,31-190,90,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,,
d55b9033,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,2022-12-27,Premier League,Matchweek 17,Home,Bournemouth,W,2022-12-27_premier_league_bournemouth,Chelsea,Reece James,24,eng ENG,RB,23-019,52,0,0,0,0,2,1,0,0,0,2,0,5,1,1,0,,
d55b9033,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,2022-12-27,Premier League,Matchweek 17,Home,Bournemouth,W,2022-12-27_premier_league_bournemouth,Chelsea,César Azpilicueta,28,es ESP,"DF,MF",33-121,38,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,
d55b9033,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,2022-12-27,Premier League,Matchweek 17,Home,Bournemouth,W,2022-12-27_premier_league_bournemouth,Chelsea,Kepa Arrizabalaga,1,es ESP,GK,28-085,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
