Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
7febc290,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,2023-01-21,Premier League,Matchweek 21,Away,Liverpool,D,2023-01-21_premier_league_liverpool,Chelsea,Kai Havertz,29,de GER,FW,23-224,80,0,0,0,0,2,0,0,0,0,2,1,0,0,3,0,,
7febc290,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,2023-01-21,Premier League,Matchweek 21,Away,Liverpool,D,2023-01-21_premier_league_liverpool,Chelsea,Pierre-Emerick Aubameyang,9,ga GAB,"FW,MF",33-217,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7febc290,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,2023-01-21,Premier League,Matchweek 21,Away,Liverpool,D,2023-01-21_premier_league_liverpool,Chelsea,Mason Mount,19,eng ENG,AM,24-011,81,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,,
7febc290,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,2023-01-21,Premier League,Matchweek 21,Away,Liverpool,D,2023-01-21_premier_league_liverpool,Chelsea,Carney Chukwuemeka,30,at AUT,MF,19-093,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7febc290,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,2023-01-21,Premier League,Matchweek 21,Away,Liverpool,D,2023-01-21_premier_league_liverpool,Chelsea,Conor Gallagher,23,eng ENG,AM,22-349,90,0,0,0,0,2,1,0,0,4,3,0,2,0,2,0,,
7febc290,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,2023-01-21,Premier League,Matchweek 21,Away,Liverpool,D,2023-01-21_premier_league_liverpool,Chelsea,Marc Cucurella,32,es ESP,DM,24-183,90,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,,
7febc290,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,2023-01-21,Premier League,Matchweek 21,Away,Liverpool,D,2023-01-21_premier_league_liverpool,Chelsea,Lewis Hall,67,eng ENG,DM,18-135,54,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,,
7febc290,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,2023-01-21,Premier League,Matchweek 21,Away,Liverpool,D,2023-01-21_premier_league_liverpool,Chelsea,Mykhailo Mudryk,15,ua UKR,MF,22-016,36,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,,
7febc290,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,2023-01-21,Premier League,Matchweek 21,Away,Liverpool,D,2023-01-21_premier_league_liverpool,Chelsea,Jorginho,5,it ITA,DM,31-032,90,0,0,0,0,0,0,0,0,0,2,0,0,3,4,0,,
7febc290,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,2023-01-21,Premier League,Matchweek 21,Away,Liverpool,D,2023-01-21_premier_league_liverpool,Chelsea,Hakim Ziyech,22,ma MAR,DM,29-308,90,0,0,0,0,3,0,0,0,2,1,0,11,0,0,0,,
7febc290,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,2023-01-21,Premier League,Matchweek 21,Away,Liverpool,D,2023-01-21_premier_league_liverpool,Chelsea,Benoît Badiashile,4,fr FRA,CB,21-301,90,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,,
7febc290,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,2023-01-21,Premier League,Matchweek 21,Away,Liverpool,D,2023-01-21_premier_league_liverpool,Chelsea,Thiago Silva,6,br BRA,CB,38-121,90,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,,
7febc290,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,2023-01-21,Premier League,Matchweek 21,Away,Liverpool,D,2023-01-21_premier_league_liverpool,Chelsea,Trevoh Chalobah,14,eng ENG,CB,23-200,80,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,,
7febc290,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,2023-01-21,Premier League,Matchweek 21,Away,Liverpool,D,2023-01-21_premier_league_liverpool,Chelsea,César Azpilicueta,28,es ESP,"DF,MF",33-146,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7febc290,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,2023-01-21,Premier League,Matchweek 21,Away,Liverpool,D,2023-01-21_premier_league_liverpool,Chelsea,Kepa Arrizabalaga,1,es ESP,GK,28-110,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
