Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
c9372f54,https://fbref.com/en/matches/c9372f54/Dortmund-Chelsea-February-15-2023-Champions-League,2023-02-15,Champions Lg,Round of 16,Away,deDortmund,L,2023-02-15_champions_lg_dedortmund,Chelsea,Kai Havertz,29,de GER,FW,23-249,90,0,0,0,0,4,1,0,0,3,1,0,1,0,0,0,,
c9372f54,https://fbref.com/en/matches/c9372f54/Dortmund-Chelsea-February-15-2023-Champions-League,2023-02-15,Champions Lg,Round of 16,Away,deDortmund,L,2023-02-15_champions_lg_dedortmund,Chelsea,Mykhailo Mudryk,15,ua UKR,AM,22-041,70,0,0,0,0,1,0,0,0,1,2,0,2,1,1,0,,
c9372f54,https://fbref.com/en/matches/c9372f54/Dortmund-Chelsea-February-15-2023-Champions-League,2023-02-15,Champions Lg,Round of 16,Away,deDortmund,L,2023-02-15_champions_lg_dedortmund,Chelsea,Mason Mount,19,eng ENG,MF,24-036,20,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,,
c9372f54,https://fbref.com/en/matches/c9372f54/Dortmund-Chelsea-February-15-2023-Champions-League,2023-02-15,Champions Lg,Round of 16,Away,deDortmund,L,2023-02-15_champions_lg_dedortmund,Chelsea,João Félix,11,pt POR,AM,23-097,90,0,0,0,0,4,1,0,0,0,3,1,9,1,0,0,,
c9372f54,https://fbref.com/en/matches/c9372f54/Dortmund-Chelsea-February-15-2023-Champions-League,2023-02-15,Champions Lg,Round of 16,Away,deDortmund,L,2023-02-15_champions_lg_dedortmund,Chelsea,Hakim Ziyech,22,ma MAR,AM,29-333,90,0,0,0,0,4,1,1,0,1,2,0,6,0,2,0,,
c9372f54,https://fbref.com/en/matches/c9372f54/Dortmund-Chelsea-February-15-2023-Champions-League,2023-02-15,Champions Lg,Round of 16,Away,deDortmund,L,2023-02-15_champions_lg_dedortmund,Chelsea,Enzo Fernández,5,ar ARG,DM,22-029,90,0,0,0,0,4,2,0,0,1,0,0,1,2,0,0,,
c9372f54,https://fbref.com/en/matches/c9372f54/Dortmund-Chelsea-February-15-2023-Champions-League,2023-02-15,Champions Lg,Round of 16,Away,deDortmund,L,2023-02-15_champions_lg_dedortmund,Chelsea,Ruben Loftus-Cheek,12,eng ENG,DM,27-023,90,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,,
c9372f54,https://fbref.com/en/matches/c9372f54/Dortmund-Chelsea-February-15-2023-Champions-League,2023-02-15,Champions Lg,Round of 16,Away,deDortmund,L,2023-02-15_champions_lg_dedortmund,Chelsea,Ben Chilwell,21,eng ENG,LB,26-056,70,0,0,0,0,1,0,0,0,1,2,0,5,1,1,0,,
c9372f54,https://fbref.com/en/matches/c9372f54/Dortmund-Chelsea-February-15-2023-Champions-League,2023-02-15,Champions Lg,Round of 16,Away,deDortmund,L,2023-02-15_champions_lg_dedortmund,Chelsea,Marc Cucurella,32,es ESP,"DF,MF",24-208,20,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,,
c9372f54,https://fbref.com/en/matches/c9372f54/Dortmund-Chelsea-February-15-2023-Champions-League,2023-02-15,Champions Lg,Round of 16,Away,deDortmund,L,2023-02-15_champions_lg_dedortmund,Chelsea,Thiago Silva,6,br BRA,CB,38-146,90,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,,
c9372f54,https://fbref.com/en/matches/c9372f54/Dortmund-Chelsea-February-15-2023-Champions-League,2023-02-15,Champions Lg,Round of 16,Away,deDortmund,L,2023-02-15_champions_lg_dedortmund,Chelsea,Kalidou Koulibaly,26,sn SEN,CB,31-240,90,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,,
c9372f54,https://fbref.com/en/matches/c9372f54/Dortmund-Chelsea-February-15-2023-Champions-League,2023-02-15,Champions Lg,Round of 16,Away,deDortmund,L,2023-02-15_champions_lg_dedortmund,Chelsea,Reece James,24,eng ENG,RB,23-069,90,0,0,0,0,2,2,1,0,2,1,1,4,2,1,0,,
c9372f54,https://fbref.com/en/matches/c9372f54/Dortmund-Chelsea-February-15-2023-Champions-League,2023-02-15,Champions Lg,Round of 16,Away,deDortmund,L,2023-02-15_champions_lg_dedortmund,Chelsea,Kepa Arrizabalaga,1,es ESP,GK,28-135,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
