Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
5f7f5b34,https://fbref.com/en/matches/5f7f5b34/Chelsea-Dortmund-March-7-2023-Champions-League,2023-03-07,Champions Lg,Round of 16,Home,deDortmund,W,2023-03-07_champions_lg_dedortmund,Chelsea,3-4-3,Starter,1,Kepa Arrizabalaga
5f7f5b34,https://fbref.com/en/matches/5f7f5b34/Chelsea-Dortmund-March-7-2023-Champions-League,2023-03-07,Champions Lg,Round of 16,Home,deDortmund,W,2023-03-07_champions_lg_dedortmund,Chelsea,3-4-3,Starter,5,Enzo Fernández
5f7f5b34,https://fbref.com/en/matches/5f7f5b34/Chelsea-Dortmund-March-7-2023-Champions-League,2023-03-07,Champions Lg,Round of 16,Home,deDortmund,W,2023-03-07_champions_lg_dedortmund,Chelsea,3-4-3,Starter,8,Mateo Kovačić
5f7f5b34,https://fbref.com/en/matches/5f7f5b34/Chelsea-Dortmund-March-7-2023-Champions-League,2023-03-07,Champions Lg,Round of 16,Home,deDortmund,W,2023-03-07_champions_lg_dedortmund,Chelsea,3-4-3,Starter,11,João Félix
5f7f5b34,https://fbref.com/en/matches/5f7f5b34/Chelsea-Dortmund-March-7-2023-Champions-League,2023-03-07,Champions Lg,Round of 16,Home,deDortmund,W,2023-03-07_champions_lg_dedortmund,Chelsea,3-4-3,Starter,17,Raheem Sterling
5f7f5b34,https://fbref.com/en/matches/5f7f5b34/Chelsea-Dortmund-March-7-2023-Champions-League,2023-03-07,Champions Lg,Round of 16,Home,deDortmund,W,2023-03-07_champions_lg_dedortmund,Chelsea,3-4-3,Starter,21,Ben Chilwell
5f7f5b34,https://fbref.com/en/matches/5f7f5b34/Chelsea-Dortmund-March-7-2023-Champions-League,2023-03-07,Champions Lg,Round of 16,Home,deDortmund,W,2023-03-07_champions_lg_dedortmund,Chelsea,3-4-3,Starter,24,Reece James
5f7f5b34,https://fbref.com/en/matches/5f7f5b34/Chelsea-Dortmund-March-7-2023-Champions-League,2023-03-07,Champions Lg,Round of 16,Home,deDortmund,W,2023-03-07_champions_lg_dedortmund,Chelsea,3-4-3,Starter,26,Kalidou Koulibaly
5f7f5b34,https://fbref.com/en/matches/5f7f5b34/Chelsea-Dortmund-March-7-2023-Champions-League,2023-03-07,Champions Lg,Round of 16,Home,deDortmund,W,2023-03-07_champions_lg_dedortmund,Chelsea,3-4-3,Starter,29,Kai Havertz
5f7f5b34,https://fbref.com/en/matches/5f7f5b34/Chelsea-Dortmund-March-7-2023-Champions-League,2023-03-07,Champions Lg,Round of 16,Home,deDortmund,W,2023-03-07_champions_lg_dedortmund,Chelsea,3-4-3,Starter,32,Marc Cucurella
