season,player_id,player_name,team_name,injury_type,reason,fixture_date,end_date,days_out
2022-2023,2278,M. Alonso,Chelsea,Missing Fixture,Muscle Injury,2022-08-14,,16
2022-2023,2291,M. Kovacic,Chelsea,Missing Fixture,Knee Injury,2022-08-14,,173
2022-2023,138822,A. Broja,Chelsea,Missing Fixture,Injury,2022-08-21,,280
2022-2023,2278,M. Alonso,Chelsea,Missing Fixture,Coach's decision,2022-08-21,,16
2022-2023,2291,M. Kovacic,Chelsea,Missing Fixture,Knee Injury,2022-08-21,,173
2022-2023,2290,N. Kante,Chelsea,Missing Fixture,Thigh Injury,2022-08-21,,280
2022-2023,318,K. Koulibaly,Chelsea,Missing Fixture,Red Card,2022-08-27,,259
2022-2023,2278,M. Alonso,Chelsea,Missing Fixture,Coach's decision,2022-08-27,,16
2022-2023,2290,N. Kante,Chelsea,Missing Fixture,Thigh Injury,2022-08-27,,280
2022-2023,67972,C. Gallagher,Chelsea,Missing Fixture,Red Card,2022-08-30,,0
2022-2023,2278,M. Alonso,Chelsea,Missing Fixture,Coach's decision,2022-08-30,,16
2022-2023,2290,N. Kante,Chelsea,Missing Fixture,Thigh Injury,2022-08-30,,280
2022-2023,2810,D. Zakaria,Chelsea,Missing Fixture,Coach's decision,2022-09-03,,153
2022-2023,2290,N. Kante,Chelsea,Missing Fixture,Thigh Injury,2022-09-03,,280
2022-2023,1465,P. Aubameyang,Chelsea,Missing Fixture,Face Injury,2022-09-03,,227
2022-2023,2290,N. Kante,Chelsea,Missing Fixture,Thigh Injury,2022-09-06,,280
2022-2023,259,T. Silva,Chelsea,Missing Fixture,Rest,2022-09-06,,213
2022-2023,2986,E. Mendy,Chelsea,Missing Fixture,Knee Injury,2022-09-14,,177
2022-2023,2290,N. Kante,Chelsea,Missing Fixture,Thigh Injury,2022-09-14,,280
2022-2023,138935,C. Chukwuemeka,Chelsea,Missing Fixture,Illness,2022-10-01,,196
2022-2023,47380,M. Cucurella,Chelsea,Missing Fixture,Illness,2022-10-01,,239
2022-2023,2290,N. Kante,Chelsea,Missing Fixture,Lacking Match Fitness,2022-10-01,,280
2022-2023,2290,N. Kante,Chelsea,Missing Fixture,Lacking Match Fitness,2022-10-05,,280
2022-2023,22094,W. Fofana,Chelsea,Missing Fixture,Knee Injury,2022-10-08,,118
2022-2023,548,H. Ziyech,Chelsea,Missing Fixture,Illness,2022-10-11,,0
2022-2023,2290,N. Kante,Chelsea,Missing Fixture,Lacking Match Fitness,2022-10-11,,280
2022-2023,22094,W. Fofana,Chelsea,Missing Fixture,Knee Injury,2022-10-11,,118
2022-2023,2290,N. Kante,Chelsea,Missing Fixture,Hamstring Injury,2022-10-16,,280
2022-2023,19545,R. James,Chelsea,Missing Fixture,Knee Injury,2022-10-16,,224
2022-2023,22094,W. Fofana,Chelsea,Missing Fixture,Knee Injury,2022-10-16,,118
2022-2023,2290,N. Kante,Chelsea,Missing Fixture,Hamstring Injury,2022-10-19,,280
