season,player_id,player_name,team_name,injury_type,reason,fixture_date,end_date,days_out
2022-2023,908,A. Martial,Manchester United,Missing Fixture,Thigh Injury,2022-08-07,,221
2022-2023,138806,B. Williams,Manchester United,Missing Fixture,Injury,2022-08-07,,98
2022-2023,897,M. Greenwood,Manchester United,Missing Fixture,Inactive,2022-08-07,,294
2022-2023,138806,B. Williams,Manchester United,Missing Fixture,Injury,2022-08-13,,98
2022-2023,70078,F. Pellistri,Manchester United,Missing Fixture,Ankle Injury,2022-08-13,,33
2022-2023,897,M. Greenwood,Manchester United,Missing Fixture,Inactive,2022-08-13,,294
2022-2023,889,V. Lindelof,Manchester United,Missing Fixture,Knock,2022-08-13,,136
2022-2023,138806,B. Williams,Manchester United,Missing Fixture,Injury,2022-08-22,,98
2022-2023,747,Casemiro,Manchester United,Missing Fixture,Inactive,2022-08-22,,228
2022-2023,70078,F. Pellistri,Manchester United,Missing Fixture,Ankle Injury,2022-08-22,,33
2022-2023,897,M. Greenwood,Manchester United,Missing Fixture,Inactive,2022-08-22,,294
2022-2023,889,V. Lindelof,Manchester United,Missing Fixture,Knock,2022-08-22,,136
2022-2023,908,A. Martial,Manchester United,Missing Fixture,Achilles Tendon Injury,2022-08-27,,221
2022-2023,138806,B. Williams,Manchester United,Missing Fixture,Injury,2022-08-27,,98
2022-2023,70078,F. Pellistri,Manchester United,Missing Fixture,Ankle Injury,2022-08-27,,33
2022-2023,897,M. Greenwood,Manchester United,Missing Fixture,Inactive,2022-08-27,,294
2022-2023,889,V. Lindelof,Manchester United,Missing Fixture,Knock,2022-08-27,,136
2022-2023,908,A. Martial,Manchester United,Missing Fixture,Achilles Tendon Injury,2022-09-01,,221
2022-2023,138806,B. Williams,Manchester United,Missing Fixture,Injury,2022-09-01,,98
2022-2023,70078,F. Pellistri,Manchester United,Missing Fixture,Ankle Injury,2022-09-01,,33
2022-2023,897,M. Greenwood,Manchester United,Missing Fixture,Inactive,2022-09-01,,294
2022-2023,908,A. Martial,Manchester United,Missing Fixture,Achilles Tendon Injury,2022-09-04,,221
2022-2023,138806,B. Williams,Manchester United,Missing Fixture,Injury,2022-09-04,,98
2022-2023,70078,F. Pellistri,Manchester United,Missing Fixture,Ankle Injury,2022-09-04,,33
2022-2023,897,M. Greenwood,Manchester United,Missing Fixture,Inactive,2022-09-04,,294
2022-2023,908,A. Martial,Manchester United,Missing Fixture,Achilles Tendon Injury,2022-09-08,,221
2022-2023,138806,B. Williams,Manchester United,Missing Fixture,Injury,2022-09-08,,98
2022-2023,70078,F. Pellistri,Manchester United,Missing Fixture,Ankle Injury,2022-09-08,,33
2022-2023,897,M. Greenwood,Manchester United,Missing Fixture,Inactive,2022-09-08,,294
2022-2023,908,A. Martial,Manchester United,Missing Fixture,Achilles Tendon Injury,2022-09-15,,221
2022-2023,18846,A. Wan-Bissaka,Manchester United,Missing Fixture,Knock,2022-09-15,,36
2022-2023,138806,B. Williams,Manchester United,Missing Fixture,Injury,2022-09-15,,98
2022-2023,547,D. van de Beek,Manchester United,Missing Fixture,Knock,2022-09-15,,254
2022-2023,70078,F. Pellistri,Manchester United,Missing Fixture,Ankle Injury,2022-09-15,,33
2022-2023,897,M. Greenwood,Manchester United,Missing Fixture,Inactive,2022-09-15,,294
2022-2023,909,M. Rashford,Manchester United,Missing Fixture,Injury,2022-09-15,,212
2022-2023,138806,B. Williams,Manchester United,Missing Fixture,Injury,2022-10-02,,98
2022-2023,2935,H. Maguire,Manchester United,Missing Fixture,Muscle Injury,2022-10-02,,11
2022-2023,897,M. Greenwood,Manchester United,Missing Fixture,Inactive,2022-10-02,,294
2022-2023,18846,A. Wan-Bissaka,Manchester United,Missing Fixture,Injury,2022-10-06,,36
2022-2023,138806,B. Williams,Manchester United,Missing Fixture,Injury,2022-10-06,,98
2022-2023,547,D. van de Beek,Manchester United,Missing Fixture,Knock,2022-10-06,,254
2022-2023,2935,H. Maguire,Manchester United,Missing Fixture,Muscle Injury,2022-10-06,,11
2022-2023,897,M. Greenwood,Manchester United,Missing Fixture,Inactive,2022-10-06,,294
2022-2023,742,R. Varane,Manchester United,Missing Fixture,Ankle Injury,2022-10-06,,213
2022-2023,18846,A. Wan-Bissaka,Manchester United,Missing Fixture,Injury,2022-10-09,,36
2022-2023,138806,B. Williams,Manchester United,Missing Fixture,Injury,2022-10-09,,98
2022-2023,547,D. van de Beek,Manchester United,Missing Fixture,Muscle Injury,2022-10-09,,254
2022-2023,2935,H. Maguire,Manchester United,Missing Fixture,Muscle Injury,2022-10-09,,11
2022-2023,897,M. Greenwood,Manchester United,Missing Fixture,Inactive,2022-10-09,,294
2022-2023,908,A. Martial,Manchester United,Missing Fixture,Back Injury,2022-10-13,,221
2022-2023,18846,A. Wan-Bissaka,Manchester United,Missing Fixture,Injury,2022-10-13,,36
2022-2023,138806,B. Williams,Manchester United,Missing Fixture,Injury,2022-10-13,,98
2022-2023,547,D. van de Beek,Manchester United,Missing Fixture,Muscle Injury,2022-10-13,,254
