season,player_id,player_name,team_name,injury_type,reason,fixture_date,end_date,days_out
2022-2023,18893,F. Fernandez,Newcastle,Missing Fixture,Calf Injury,2022-08-06,,0
2022-2023,19076,J. Lewis,Newcastle,Missing Fixture,Calf Injury,2022-08-06,,0
2022-2023,18896,J. Manquillo,Newcastle,Missing Fixture,Groin Injury,2022-08-06,,295
2022-2023,18904,J. Shelvey,Newcastle,Missing Fixture,Thigh Injury,2022-08-06,,168
2022-2023,18904,J. Shelvey,Newcastle,Missing Fixture,Thigh Injury,2022-08-13,,168
2022-2023,18904,J. Shelvey,Newcastle,Missing Fixture,Thigh Injury,2022-08-21,,168
2022-2023,2939,C. Wilson,Newcastle,Missing Fixture,Thigh Injury,2022-08-28,,6
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2022-08-28,,273
2022-2023,18904,J. Shelvey,Newcastle,Missing Fixture,Thigh Injury,2022-08-28,,168
2022-2023,2939,C. Wilson,Newcastle,Missing Fixture,Thigh Injury,2022-08-31,,6
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2022-08-31,,273
2022-2023,18904,J. Shelvey,Newcastle,Missing Fixture,Thigh Injury,2022-08-31,,168
2022-2023,2939,C. Wilson,Newcastle,Missing Fixture,Thigh Injury,2022-09-03,,6
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2022-09-03,,273
2022-2023,18904,J. Shelvey,Newcastle,Missing Fixture,Thigh Injury,2022-09-03,,168
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2022-09-17,,273
2022-2023,18904,J. Shelvey,Newcastle,Missing Fixture,Thigh Injury,2022-09-17,,168
2022-2023,18885,K. Darlow,Newcastle,Missing Fixture,Ankle Injury,2022-09-17,,42
2022-2023,2864,A. Isak,Newcastle,Missing Fixture,Injury,2022-10-01,,94
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2022-10-01,,273
2022-2023,18904,J. Shelvey,Newcastle,Missing Fixture,Thigh Injury,2022-10-01,,168
2022-2023,18885,K. Darlow,Newcastle,Missing Fixture,Ankle Injury,2022-10-01,,42
2022-2023,18903,M. Ritchie,Newcastle,Missing Fixture,Calf Injury,2022-10-01,,239
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2022-10-08,,273
2022-2023,18904,J. Shelvey,Newcastle,Missing Fixture,Thigh Injury,2022-10-08,,168
2022-2023,18885,K. Darlow,Newcastle,Missing Fixture,Ankle Injury,2022-10-08,,42
2022-2023,18903,M. Ritchie,Newcastle,Missing Fixture,Calf Injury,2022-10-08,,239
2022-2023,22173,A. Saint-Maximin,Newcastle,Missing Fixture,Muscle Injury,2022-10-16,,196
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2022-10-16,,273
2022-2023,18885,K. Darlow,Newcastle,Missing Fixture,Ankle Injury,2022-10-16,,42
2022-2023,18903,M. Ritchie,Newcastle,Missing Fixture,Calf Injury,2022-10-16,,239
2022-2023,2864,A. Isak,Newcastle,Missing Fixture,Injury,2022-10-19,,94
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2022-10-19,,273
2022-2023,18885,K. Darlow,Newcastle,Missing Fixture,Ankle Injury,2022-10-19,,42
2022-2023,18903,M. Ritchie,Newcastle,Missing Fixture,Calf Injury,2022-10-19,,239
2022-2023,2864,A. Isak,Newcastle,Missing Fixture,Injury,2022-10-23,,94
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2022-10-23,,273
2022-2023,18885,K. Darlow,Newcastle,Missing Fixture,Ankle Injury,2022-10-23,,42
2022-2023,18903,M. Ritchie,Newcastle,Missing Fixture,Calf Injury,2022-10-23,,239
2022-2023,2864,A. Isak,Newcastle,Missing Fixture,Injury,2022-10-29,,94
