season,player_id,player_name,team_name,injury_type,reason,fixture_date,end_date,days_out
2022-2023,21694,N. Aguerd,West Ham,Missing Fixture,Ankle Injury,2022-08-07,,269
2022-2023,21694,N. Aguerd,West Ham,Missing Fixture,Ankle Injury,2022-08-14,,269
2022-2023,21694,N. Aguerd,West Ham,Missing Fixture,Ankle Injury,2022-08-21,,269
2022-2023,21694,N. Aguerd,West Ham,Missing Fixture,Ankle Injury,2022-08-28,,269
2022-2023,21694,N. Aguerd,West Ham,Missing Fixture,Ankle Injury,2022-08-31,,269
2022-2023,18823,B. Johnson,West Ham,Missing Fixture,Thigh Injury,2022-09-03,,14
2022-2023,21694,N. Aguerd,West Ham,Missing Fixture,Ankle Injury,2022-09-03,,269
2022-2023,18823,B. Johnson,West Ham,Missing Fixture,Thigh Injury,2022-09-18,,14
2022-2023,21694,N. Aguerd,West Ham,Missing Fixture,Ankle Injury,2022-09-18,,269
2022-2023,21694,N. Aguerd,West Ham,Missing Fixture,Ankle Injury,2022-10-01,,269
2022-2023,21694,N. Aguerd,West Ham,Missing Fixture,Ankle Injury,2022-10-09,,269
2022-2023,21694,N. Aguerd,West Ham,Missing Fixture,Ankle Injury,2022-10-16,,269
2022-2023,21694,N. Aguerd,West Ham,Missing Fixture,Ankle Injury,2022-10-19,,269
2022-2023,1646,L. Paqueta,West Ham,Missing Fixture,Shoulder Injury,2022-10-24,,117
2022-2023,21694,N. Aguerd,West Ham,Missing Fixture,Ankle Injury,2022-10-24,,269
2022-2023,1646,L. Paqueta,West Ham,Missing Fixture,Shoulder Injury,2022-10-30,,117
2022-2023,665,M. Cornet,West Ham,Missing Fixture,Calf Injury,2022-11-12,,105
2022-2023,2726,K. Zouma,West Ham,Missing Fixture,Knee Injury,2022-12-26,,131
2022-2023,2726,K. Zouma,West Ham,Missing Fixture,Knee Injury,2022-12-30,,131
2022-2023,665,M. Cornet,West Ham,Missing Fixture,Calf Injury,2022-12-30,,105
2022-2023,2726,K. Zouma,West Ham,Missing Fixture,Knee Injury,2023-01-04,,131
2022-2023,665,M. Cornet,West Ham,Missing Fixture,Calf Injury,2023-01-04,,105
2022-2023,665,M. Cornet,West Ham,Missing Fixture,Calf Injury,2023-01-14,,105
2022-2023,30544,G. Scamacca,West Ham,Missing Fixture,Knee Injury,2023-01-21,,127
2022-2023,665,M. Cornet,West Ham,Missing Fixture,Calf Injury,2023-01-21,,105
2022-2023,30544,G. Scamacca,West Ham,Missing Fixture,Knee Injury,2023-02-04,,127
2022-2023,2726,K. Zouma,West Ham,Missing Fixture,Thigh Injury,2023-02-04,,131
2022-2023,665,M. Cornet,West Ham,Missing Fixture,Calf Injury,2023-02-04,,105
2022-2023,253,A. Areola,West Ham,Missing Fixture,Thigh Injury,2023-02-11,,0
2022-2023,30544,G. Scamacca,West Ham,Missing Fixture,Knee Injury,2023-02-11,,127
2022-2023,2726,K. Zouma,West Ham,Missing Fixture,Thigh Injury,2023-02-11,,131
2022-2023,665,M. Cornet,West Ham,Missing Fixture,Calf Injury,2023-02-11,,105
2022-2023,2726,K. Zouma,West Ham,Missing Fixture,Thigh Injury,2023-02-19,,131
2022-2023,1646,L. Paqueta,West Ham,Missing Fixture,Shoulder Injury,2023-02-19,,117
2022-2023,665,M. Cornet,West Ham,Missing Fixture,Calf Injury,2023-02-19,,105
2022-2023,665,M. Cornet,West Ham,Missing Fixture,Calf Injury,2023-02-25,,105
2022-2023,2997,L. Fabianski,West Ham,Missing Fixture,Eye injury,2023-03-04,,7
2022-2023,2997,L. Fabianski,West Ham,Missing Fixture,Eye injury,2023-03-12,,7
2022-2023,1231,V. Coufal,West Ham,Missing Fixture,Heel Injury,2023-03-12,,56
2022-2023,30544,G. Scamacca,West Ham,Missing Fixture,Knee Injury,2023-04-05,,127
2022-2023,30544,G. Scamacca,West Ham,Missing Fixture,Knee Injury,2023-04-08,,127
2022-2023,30544,G. Scamacca,West Ham,Missing Fixture,Knee Injury,2023-04-16,,127
2022-2023,30544,G. Scamacca,West Ham,Missing Fixture,Knee Injury,2023-04-23,,127
2022-2023,30544,G. Scamacca,West Ham,Missing Fixture,Knee Injury,2023-04-26,,127
2022-2023,30544,G. Scamacca,West Ham,Missing Fixture,Knee Injury,2023-04-29,,127
2022-2023,2937,D. Rice,West Ham,Missing Fixture,Illness,2023-05-03,,0
2022-2023,30544,G. Scamacca,West Ham,Missing Fixture,Knee Injury,2023-05-03,,127
2022-2023,2726,K. Zouma,West Ham,Missing Fixture,Ankle Injury,2023-05-03,,131
2022-2023,21694,N. Aguerd,West Ham,Missing Fixture,Illness,2023-05-03,,269
2022-2023,1243,T. Soucek,West Ham,Missing Fixture,Illness,2023-05-03,,0
2022-2023,30544,G. Scamacca,West Ham,Missing Fixture,Knee Injury,2023-05-07,,127
2022-2023,2726,K. Zouma,West Ham,Missing Fixture,Ankle Injury,2023-05-07,,131
2022-2023,1231,V. Coufal,West Ham,Missing Fixture,Thigh Injury,2023-05-07,,56
2022-2023,30544,G. Scamacca,West Ham,Missing Fixture,Knee Injury,2023-05-14,,127
2022-2023,30544,G. Scamacca,West Ham,Missing Fixture,Knee Injury,2023-05-21,,127
2022-2023,30544,G. Scamacca,West Ham,Missing Fixture,Knee Injury,2023-05-28,,127
