season,player_id,player_name,team_name,injury_type,reason,fixture_date,end_date,days_out
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-08-06,,295
2022-2023,2887,R. Jimenez,Wolves,Missing Fixture,Knee Injury,2022-08-06,,98
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-08-13,,295
2022-2023,2887,R. Jimenez,Wolves,Missing Fixture,Knee Injury,2022-08-13,,98
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-08-20,,295
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-08-28,,295
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-08-31,,295
2022-2023,18739,W. Boly,Wolves,Missing Fixture,Suspended,2022-08-31,,0
2022-2023,157912,B. Traore,Wolves,Missing Fixture,Inactive,2022-09-03,,245
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-09-03,,295
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-09-17,,295
2022-2023,2887,R. Jimenez,Wolves,Missing Fixture,Muscle Injury,2022-09-17,,98
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2022-09-17,,253
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-10-01,,295
2022-2023,24888,Hwang Hee-Chan,Wolves,Missing Fixture,Muscle Injury,2022-10-01,,167
2022-2023,19495,N. Collins,Wolves,Missing Fixture,Red Card,2022-10-01,,13
2022-2023,2887,R. Jimenez,Wolves,Missing Fixture,Muscle Injury,2022-10-01,,98
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2022-10-01,,253
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-10-08,,295
2022-2023,19495,N. Collins,Wolves,Missing Fixture,Red Card,2022-10-08,,13
2022-2023,1864,P. Neto,Wolves,Missing Fixture,Ankle Injury,2022-10-08,,119
2022-2023,2887,R. Jimenez,Wolves,Missing Fixture,Muscle Injury,2022-10-08,,98
2022-2023,2676,R. Neves,Wolves,Missing Fixture,Yellow Cards,2022-10-08,,189
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2022-10-08,,253
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-10-15,,295
2022-2023,19495,N. Collins,Wolves,Missing Fixture,Red Card,2022-10-15,,13
2022-2023,1864,P. Neto,Wolves,Missing Fixture,Ankle Injury,2022-10-15,,119
2022-2023,2887,R. Jimenez,Wolves,Missing Fixture,Muscle Injury,2022-10-15,,98
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2022-10-15,,253
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-10-18,,295
2022-2023,1864,P. Neto,Wolves,Missing Fixture,Ankle Injury,2022-10-18,,119
2022-2023,2887,R. Jimenez,Wolves,Missing Fixture,Muscle Injury,2022-10-18,,98
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2022-10-18,,253
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-10-23,,295
2022-2023,1864,P. Neto,Wolves,Missing Fixture,Ankle Injury,2022-10-23,,119
2022-2023,2887,R. Jimenez,Wolves,Missing Fixture,Muscle Injury,2022-10-23,,98
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2022-10-23,,253
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-10-29,,295
2022-2023,1864,P. Neto,Wolves,Missing Fixture,Ankle Injury,2022-10-29,,119
2022-2023,2887,R. Jimenez,Wolves,Missing Fixture,Muscle Injury,2022-10-29,,98
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2022-10-29,,253
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-11-05,,295
2022-2023,54,D. Costa,Wolves,Missing Fixture,Red Card,2022-11-05,,127
2022-2023,1864,P. Neto,Wolves,Missing Fixture,Ankle Injury,2022-11-05,,119
2022-2023,2887,R. Jimenez,Wolves,Missing Fixture,Muscle Injury,2022-11-05,,98
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2022-11-05,,253
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-11-12,,295
2022-2023,54,D. Costa,Wolves,Missing Fixture,Red Card,2022-11-12,,127
2022-2023,1864,P. Neto,Wolves,Missing Fixture,Ankle Injury,2022-11-12,,119
2022-2023,2887,R. Jimenez,Wolves,Missing Fixture,Muscle Injury,2022-11-12,,98
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2022-11-12,,253
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-12-26,,295
2022-2023,1864,P. Neto,Wolves,Missing Fixture,Ankle Injury,2022-12-26,,119
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2022-12-26,,253
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2022-12-31,,295
2022-2023,1864,P. Neto,Wolves,Missing Fixture,Ankle Injury,2022-12-31,,119
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2022-12-31,,253
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2023-01-04,,295
2022-2023,1864,P. Neto,Wolves,Missing Fixture,Ankle Injury,2023-01-04,,119
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2023-01-04,,253
2022-2023,157912,B. Traore,Wolves,Missing Fixture,Injury,2023-01-14,,245
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2023-01-14,,295
2022-2023,1864,P. Neto,Wolves,Missing Fixture,Ankle Injury,2023-01-14,,119
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2023-01-14,,253
2022-2023,157912,B. Traore,Wolves,Missing Fixture,Injury,2023-01-22,,245
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2023-01-22,,295
2022-2023,1864,P. Neto,Wolves,Missing Fixture,Ankle Injury,2023-01-22,,119
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2023-01-22,,253
2022-2023,157912,B. Traore,Wolves,Missing Fixture,Injury,2023-02-04,,245
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2023-02-04,,295
2022-2023,1864,P. Neto,Wolves,Missing Fixture,Ankle Injury,2023-02-04,,119
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2023-02-04,,253
2022-2023,157912,B. Traore,Wolves,Missing Fixture,Injury,2023-02-11,,245
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2023-02-11,,295
2022-2023,24888,Hwang Hee-Chan,Wolves,Missing Fixture,Thigh Injury,2023-02-11,,167
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2023-02-11,,253
2022-2023,157912,B. Traore,Wolves,Missing Fixture,Injury,2023-02-18,,245
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2023-02-18,,295
2022-2023,24888,Hwang Hee-Chan,Wolves,Missing Fixture,Thigh Injury,2023-02-18,,167
2022-2023,18947,M. Lemina,Wolves,Missing Fixture,Red Card,2023-02-18,,0
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2023-02-18,,253
2022-2023,157912,B. Traore,Wolves,Missing Fixture,Injury,2023-02-24,,245
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2023-02-24,,295
2022-2023,24888,Hwang Hee-Chan,Wolves,Missing Fixture,Thigh Injury,2023-02-24,,167
2022-2023,7722,S. Kalajdzic,Wolves,Missing Fixture,Knee Injury,2023-02-24,,253
2022-2023,195962,Chiquinho,Wolves,Missing Fixture,Knee Injury,2023-03-01,,295
2022-2023,24888,Hwang Hee-Chan,Wolves,Missing Fixture,Thigh Injury,2023-03-01,,167
