Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Starter,1,Alisson
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Starter,2,Joe Gomez
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Starter,3,Fabinho
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Starter,4,Virgil van Dijk
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Starter,9,Roberto Firmino
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Starter,11,Mohamed Salah
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Starter,14,Jordan Henderson
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Starter,19,Harvey Elliott
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Starter,23,Luis Díaz
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Starter,26,Andrew Robertson
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Starter,66,Trent Alexander-Arnold
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Bench,13,Adrián
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Bench,95,Harvey Davies
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Bench,7,James Milner
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Bench,17,Curtis Jones
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Bench,21,Kostas Tsimikas
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Bench,28,Fabio Carvalho
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Bench,32,Joël Matip
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Bench,43,Stefan Bajcetic
ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,4-3-3,Bench,47,Nathaniel Phillips
