Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
707b3173,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Home,sctRangers,W,2022-10-04_champions_lg_sctrangers,Liverpool,Darwin Núñez,27,uy URU,FW,23-102,79,0,0,0,0,6,4,0,0,2,1,1,4,1,0,0,,
707b3173,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Home,sctRangers,W,2022-10-04_champions_lg_sctrangers,Liverpool,Harvey Elliott,19,eng ENG,"FW,MF",19-183,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
707b3173,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Home,sctRangers,W,2022-10-04_champions_lg_sctrangers,Liverpool,Luis Díaz,23,co COL,AM,25-264,90,0,0,0,0,3,1,0,0,2,1,2,1,0,0,0,,
707b3173,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Home,sctRangers,W,2022-10-04_champions_lg_sctrangers,Liverpool,Diogo Jota,20,pt POR,AM,25-304,68,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,,
707b3173,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Home,sctRangers,W,2022-10-04_champions_lg_sctrangers,Liverpool,Roberto Firmino,9,br BRA,"FW,MF",31-002,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
707b3173,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Home,sctRangers,W,2022-10-04_champions_lg_sctrangers,Liverpool,Mohamed Salah,11,eg EGY,AM,30-111,90,1,0,1,1,5,3,0,0,0,0,0,0,0,1,0,,
707b3173,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Home,sctRangers,W,2022-10-04_champions_lg_sctrangers,Liverpool,Thiago Alcántara,6,es ESP,DM,31-176,79,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,,
707b3173,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Home,sctRangers,W,2022-10-04_champions_lg_sctrangers,Liverpool,James Milner,7,eng ENG,"DF,MF",36-273,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,
707b3173,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Home,sctRangers,W,2022-10-04_champions_lg_sctrangers,Liverpool,Jordan Henderson,14,eng ENG,DM,32-109,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
707b3173,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Home,sctRangers,W,2022-10-04_champions_lg_sctrangers,Liverpool,Fabinho,3,br BRA,"DF,MF",28-346,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
707b3173,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Home,sctRangers,W,2022-10-04_champions_lg_sctrangers,Liverpool,Kostas Tsimikas,21,gr GRE,LB,26-145,90,0,0,0,0,1,0,0,0,0,2,0,12,1,0,0,,
707b3173,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Home,sctRangers,W,2022-10-04_champions_lg_sctrangers,Liverpool,Virgil van Dijk,4,nl NED,CB,31-088,90,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,,
707b3173,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Home,sctRangers,W,2022-10-04_champions_lg_sctrangers,Liverpool,Joël Matip,32,cm CMR,CB,31-057,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,
707b3173,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Home,sctRangers,W,2022-10-04_champions_lg_sctrangers,Liverpool,Trent Alexander-Arnold,66,eng ENG,RB,23-362,89,1,0,0,0,2,1,1,0,1,1,0,7,3,0,0,,
707b3173,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Home,sctRangers,W,2022-10-04_champions_lg_sctrangers,Liverpool,Joe Gomez,2,eng ENG,DF,25-134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
707b3173,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Home,sctRangers,W,2022-10-04_champions_lg_sctrangers,Liverpool,Alisson,1,br BRA,GK,30-002,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
