Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
dba5c5ec,https://fbref.com/en/matches/dba5c5ec/Liverpool-West-Ham-United-October-19-2022-Premier-League,2022-10-19,Premier League,Matchweek 12,Home,West Ham United,W,2022-10-19_premier_league_west_ham_united,Liverpool,Darwin Núñez,27,uy URU,FW,23-117,56,1,0,0,0,6,3,0,0,0,1,0,0,0,0,0,,
dba5c5ec,https://fbref.com/en/matches/dba5c5ec/Liverpool-West-Ham-United-October-19-2022-Premier-League,2022-10-19,Premier League,Matchweek 12,Home,West Ham United,W,2022-10-19_premier_league_west_ham_united,Liverpool,Harvey Elliott,19,eng ENG,"FW,MF",19-198,34,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
dba5c5ec,https://fbref.com/en/matches/dba5c5ec/Liverpool-West-Ham-United-October-19-2022-Premier-League,2022-10-19,Premier League,Matchweek 12,Home,West Ham United,W,2022-10-19_premier_league_west_ham_united,Liverpool,Roberto Firmino,9,br BRA,FW,31-017,80,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,,
dba5c5ec,https://fbref.com/en/matches/dba5c5ec/Liverpool-West-Ham-United-October-19-2022-Premier-League,2022-10-19,Premier League,Matchweek 12,Home,West Ham United,W,2022-10-19_premier_league_west_ham_united,Liverpool,James Milner,7,eng ENG,"DF,MF",36-288,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
dba5c5ec,https://fbref.com/en/matches/dba5c5ec/Liverpool-West-Ham-United-October-19-2022-Premier-League,2022-10-19,Premier League,Matchweek 12,Home,West Ham United,W,2022-10-19_premier_league_west_ham_united,Liverpool,Fabio Carvalho,28,pt POR,LM,20-050,56,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,,
dba5c5ec,https://fbref.com/en/matches/dba5c5ec/Liverpool-West-Ham-United-October-19-2022-Premier-League,2022-10-19,Premier League,Matchweek 12,Home,West Ham United,W,2022-10-19_premier_league_west_ham_united,Liverpool,Curtis Jones,17,eng ENG,"FW,MF",21-262,34,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,
dba5c5ec,https://fbref.com/en/matches/dba5c5ec/Liverpool-West-Ham-United-October-19-2022-Premier-League,2022-10-19,Premier League,Matchweek 12,Home,West Ham United,W,2022-10-19_premier_league_west_ham_united,Liverpool,Thiago Alcántara,6,es ESP,CM,31-191,56,0,0,0,0,1,0,0,0,3,3,0,0,1,2,0,,
dba5c5ec,https://fbref.com/en/matches/dba5c5ec/Liverpool-West-Ham-United-October-19-2022-Premier-League,2022-10-19,Premier League,Matchweek 12,Home,West Ham United,W,2022-10-19_premier_league_west_ham_united,Liverpool,Fabinho,3,br BRA,"DF,MF",28-361,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
dba5c5ec,https://fbref.com/en/matches/dba5c5ec/Liverpool-West-Ham-United-October-19-2022-Premier-League,2022-10-19,Premier League,Matchweek 12,Home,West Ham United,W,2022-10-19_premier_league_west_ham_united,Liverpool,Jordan Henderson,14,eng ENG,CM,32-124,90,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,,
dba5c5ec,https://fbref.com/en/matches/dba5c5ec/Liverpool-West-Ham-United-October-19-2022-Premier-League,2022-10-19,Premier League,Matchweek 12,Home,West Ham United,W,2022-10-19_premier_league_west_ham_united,Liverpool,Mohamed Salah,11,eg EGY,RM,30-126,90,0,0,0,0,6,2,0,0,1,1,1,0,0,0,0,,
