Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
f8469961,https://fbref.com/en/matches/f8469961/Manchester-City-Dortmund-September-14-2022-Champions-League,2022-09-14,Champions Lg,Group stage,Home,deDortmund,W,2022-09-14_champions_lg_dedortmund,Manchester City,4-3-3,Starter,31,Ederson
f8469961,https://fbref.com/en/matches/f8469961/Manchester-City-Dortmund-September-14-2022-Champions-League,2022-09-14,Champions Lg,Group stage,Home,deDortmund,W,2022-09-14_champions_lg_dedortmund,Manchester City,4-3-3,Starter,5,John Stones
f8469961,https://fbref.com/en/matches/f8469961/Manchester-City-Dortmund-September-14-2022-Champions-League,2022-09-14,Champions Lg,Group stage,Home,deDortmund,W,2022-09-14_champions_lg_dedortmund,Manchester City,4-3-3,Starter,6,Nathan Aké
f8469961,https://fbref.com/en/matches/f8469961/Manchester-City-Dortmund-September-14-2022-Champions-League,2022-09-14,Champions Lg,Group stage,Home,deDortmund,W,2022-09-14_champions_lg_dedortmund,Manchester City,4-3-3,Starter,7,João Cancelo
f8469961,https://fbref.com/en/matches/f8469961/Manchester-City-Dortmund-September-14-2022-Champions-League,2022-09-14,Champions Lg,Group stage,Home,deDortmund,W,2022-09-14_champions_lg_dedortmund,Manchester City,4-3-3,Starter,8,İlkay Gündoğan
f8469961,https://fbref.com/en/matches/f8469961/Manchester-City-Dortmund-September-14-2022-Champions-League,2022-09-14,Champions Lg,Group stage,Home,deDortmund,W,2022-09-14_champions_lg_dedortmund,Manchester City,4-3-3,Starter,9,Erling Haaland
f8469961,https://fbref.com/en/matches/f8469961/Manchester-City-Dortmund-September-14-2022-Champions-League,2022-09-14,Champions Lg,Group stage,Home,deDortmund,W,2022-09-14_champions_lg_dedortmund,Manchester City,4-3-3,Starter,10,Jack Grealish
f8469961,https://fbref.com/en/matches/f8469961/Manchester-City-Dortmund-September-14-2022-Champions-League,2022-09-14,Champions Lg,Group stage,Home,deDortmund,W,2022-09-14_champions_lg_dedortmund,Manchester City,4-3-3,Starter,16,Rodri
f8469961,https://fbref.com/en/matches/f8469961/Manchester-City-Dortmund-September-14-2022-Champions-League,2022-09-14,Champions Lg,Group stage,Home,deDortmund,W,2022-09-14_champions_lg_dedortmund,Manchester City,4-3-3,Starter,17,Kevin De Bruyne
f8469961,https://fbref.com/en/matches/f8469961/Manchester-City-Dortmund-September-14-2022-Champions-League,2022-09-14,Champions Lg,Group stage,Home,deDortmund,W,2022-09-14_champions_lg_dedortmund,Manchester City,4-3-3,Starter,25,Manuel Akanji
