Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Starter,31,Ederson
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Starter,3,Rúben Dias
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Starter,7,João Cancelo
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Starter,9,Erling Haaland
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Starter,10,Jack Grealish
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Starter,14,Aymeric Laporte
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Starter,16,Rodri
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Starter,17,Kevin De Bruyne
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Starter,20,Bernardo Silva
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Starter,25,Manuel Akanji
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Starter,26,Riyad Mahrez
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Bench,18,Stefan Ortega
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Bench,5,John Stones
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Bench,6,Nathan Aké
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Bench,8,İlkay Gündoğan
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Bench,19,Julián Álvarez
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Bench,21,Sergio Gómez
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Bench,47,Phil Foden
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Bench,80,Cole Palmer
cd5cd3f0,https://fbref.com/en/matches/cd5cd3f0/Manchester-City-Brighton-and-Hove-Albion-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Brighton,W,2022-10-22_premier_league_brighton,Manchester City,4-3-3,Bench,82,Rico Lewis
