Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
96b9ae4e,https://fbref.com/en/matches/96b9ae4e/Leicester-City-Manchester-City-October-29-2022-Premier-League,2022-10-29,Premier League,Matchweek 14,Away,Leicester City,W,2022-10-29_premier_league_leicester_city,Manchester City,Jack Grealish,10,eng ENG,FW,27-049,90,0,0,0,0,0,0,0,0,2,2,0,5,1,0,0,,
96b9ae4e,https://fbref.com/en/matches/96b9ae4e/Leicester-City-Manchester-City-October-29-2022-Premier-League,2022-10-29,Premier League,Matchweek 14,Away,Leicester City,W,2022-10-29_premier_league_leicester_city,Manchester City,Julián Álvarez,19,ar ARG,FW,22-271,76,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,,
96b9ae4e,https://fbref.com/en/matches/96b9ae4e/Leicester-City-Manchester-City-October-29-2022-Premier-League,2022-10-29,Premier League,Matchweek 14,Away,Leicester City,W,2022-10-29_premier_league_leicester_city,Manchester City,Phil Foden,47,eng ENG,"FW,MF",22-154,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
96b9ae4e,https://fbref.com/en/matches/96b9ae4e/Leicester-City-Manchester-City-October-29-2022-Premier-League,2022-10-29,Premier League,Matchweek 14,Away,Leicester City,W,2022-10-29_premier_league_leicester_city,Manchester City,Bernardo Silva,20,pt POR,FW,28-080,90,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,,
96b9ae4e,https://fbref.com/en/matches/96b9ae4e/Leicester-City-Manchester-City-October-29-2022-Premier-League,2022-10-29,Premier League,Matchweek 14,Away,Leicester City,W,2022-10-29_premier_league_leicester_city,Manchester City,İlkay Gündoğan,8,de GER,CM,32-005,90,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,,
96b9ae4e,https://fbref.com/en/matches/96b9ae4e/Leicester-City-Manchester-City-October-29-2022-Premier-League,2022-10-29,Premier League,Matchweek 14,Away,Leicester City,W,2022-10-29_premier_league_leicester_city,Manchester City,Rodri,16,es ESP,CM,26-129,90,0,0,0,0,3,1,0,0,1,0,0,0,1,3,0,,
96b9ae4e,https://fbref.com/en/matches/96b9ae4e/Leicester-City-Manchester-City-October-29-2022-Premier-League,2022-10-29,Premier League,Matchweek 14,Away,Leicester City,W,2022-10-29_premier_league_leicester_city,Manchester City,Kevin De Bruyne,17,be BEL,CM,31-123,90,1,0,0,0,5,2,0,0,2,0,1,10,0,1,0,,
96b9ae4e,https://fbref.com/en/matches/96b9ae4e/Leicester-City-Manchester-City-October-29-2022-Premier-League,2022-10-29,Premier League,Matchweek 14,Away,Leicester City,W,2022-10-29_premier_league_leicester_city,Manchester City,João Cancelo,7,pt POR,LB,28-155,90,0,0,0,0,2,0,0,0,0,0,0,6,0,1,0,,
96b9ae4e,https://fbref.com/en/matches/96b9ae4e/Leicester-City-Manchester-City-October-29-2022-Premier-League,2022-10-29,Premier League,Matchweek 14,Away,Leicester City,W,2022-10-29_premier_league_leicester_city,Manchester City,Aymeric Laporte,14,es ESP,CB,28-155,90,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,,
96b9ae4e,https://fbref.com/en/matches/96b9ae4e/Leicester-City-Manchester-City-October-29-2022-Premier-League,2022-10-29,Premier League,Matchweek 14,Away,Leicester City,W,2022-10-29_premier_league_leicester_city,Manchester City,Manuel Akanji,25,ch SUI,CB,27-102,71,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,,
96b9ae4e,https://fbref.com/en/matches/96b9ae4e/Leicester-City-Manchester-City-October-29-2022-Premier-League,2022-10-29,Premier League,Matchweek 14,Away,Leicester City,W,2022-10-29_premier_league_leicester_city,Manchester City,Rúben Dias,3,pt POR,"DF,MF",25-168,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
96b9ae4e,https://fbref.com/en/matches/96b9ae4e/Leicester-City-Manchester-City-October-29-2022-Premier-League,2022-10-29,Premier League,Matchweek 14,Away,Leicester City,W,2022-10-29_premier_league_leicester_city,Manchester City,John Stones,5,eng ENG,RB,28-154,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
96b9ae4e,https://fbref.com/en/matches/96b9ae4e/Leicester-City-Manchester-City-October-29-2022-Premier-League,2022-10-29,Premier League,Matchweek 14,Away,Leicester City,W,2022-10-29_premier_league_leicester_city,Manchester City,Ederson,31,br BRA,GK,29-073,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
