Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
6ef27b3c,https://fbref.com/en/matches/6ef27b3c/Manchester-City-Fulham-November-5-2022-Premier-League,2022-11-05,Premier League,Matchweek 15,Home,Fulham,W,2022-11-05_premier_league_fulham,Manchester City,Jack Grealish,10,eng ENG,FW,27-056,63,0,0,0,0,2,0,0,0,1,4,0,5,0,0,0,,
6ef27b3c,https://fbref.com/en/matches/6ef27b3c/Manchester-City-Fulham-November-5-2022-Premier-League,2022-11-05,Premier League,Matchweek 15,Home,Fulham,W,2022-11-05_premier_league_fulham,Manchester City,Phil Foden,47,eng ENG,"FW,MF",22-161,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
6ef27b3c,https://fbref.com/en/matches/6ef27b3c/Manchester-City-Fulham-November-5-2022-Premier-League,2022-11-05,Premier League,Matchweek 15,Home,Fulham,W,2022-11-05_premier_league_fulham,Manchester City,Julián Álvarez,19,ar ARG,FW,22-278,63,1,0,0,0,3,1,0,0,0,0,0,1,1,0,0,,
6ef27b3c,https://fbref.com/en/matches/6ef27b3c/Manchester-City-Fulham-November-5-2022-Premier-League,2022-11-05,Premier League,Matchweek 15,Home,Fulham,W,2022-11-05_premier_league_fulham,Manchester City,Erling Haaland,9,no NOR,"FW,MF",22-107,27,1,0,1,1,4,1,1,0,0,1,1,0,0,0,0,,
6ef27b3c,https://fbref.com/en/matches/6ef27b3c/Manchester-City-Fulham-November-5-2022-Premier-League,2022-11-05,Premier League,Matchweek 15,Home,Fulham,W,2022-11-05_premier_league_fulham,Manchester City,Bernardo Silva,20,pt POR,FW,28-087,90,0,0,0,0,1,0,1,0,0,1,0,4,0,0,0,,
6ef27b3c,https://fbref.com/en/matches/6ef27b3c/Manchester-City-Fulham-November-5-2022-Premier-League,2022-11-05,Premier League,Matchweek 15,Home,Fulham,W,2022-11-05_premier_league_fulham,Manchester City,İlkay Gündoğan,8,de GER,CM,32-012,89,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,,
6ef27b3c,https://fbref.com/en/matches/6ef27b3c/Manchester-City-Fulham-November-5-2022-Premier-League,2022-11-05,Premier League,Matchweek 15,Home,Fulham,W,2022-11-05_premier_league_fulham,Manchester City,Rúben Dias,3,pt POR,"DF,MF",25-175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6ef27b3c,https://fbref.com/en/matches/6ef27b3c/Manchester-City-Fulham-November-5-2022-Premier-League,2022-11-05,Premier League,Matchweek 15,Home,Fulham,W,2022-11-05_premier_league_fulham,Manchester City,Rodri,16,es ESP,CM,26-136,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,,
6ef27b3c,https://fbref.com/en/matches/6ef27b3c/Manchester-City-Fulham-November-5-2022-Premier-League,2022-11-05,Premier League,Matchweek 15,Home,Fulham,W,2022-11-05_premier_league_fulham,Manchester City,Kevin De Bruyne,17,be BEL,CM,31-130,90,0,0,0,0,2,1,0,0,1,2,0,13,0,0,0,,
6ef27b3c,https://fbref.com/en/matches/6ef27b3c/Manchester-City-Fulham-November-5-2022-Premier-League,2022-11-05,Premier League,Matchweek 15,Home,Fulham,W,2022-11-05_premier_league_fulham,Manchester City,João Cancelo,7,pt POR,LB,28-162,25,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,,
6ef27b3c,https://fbref.com/en/matches/6ef27b3c/Manchester-City-Fulham-November-5-2022-Premier-League,2022-11-05,Premier League,Matchweek 15,Home,Fulham,W,2022-11-05_premier_league_fulham,Manchester City,Nathan Aké,6,nl NED,CB,27-260,90,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,,
6ef27b3c,https://fbref.com/en/matches/6ef27b3c/Manchester-City-Fulham-November-5-2022-Premier-League,2022-11-05,Premier League,Matchweek 15,Home,Fulham,W,2022-11-05_premier_league_fulham,Manchester City,Manuel Akanji,25,ch SUI,CB,27-109,90,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,,
6ef27b3c,https://fbref.com/en/matches/6ef27b3c/Manchester-City-Fulham-November-5-2022-Premier-League,2022-11-05,Premier League,Matchweek 15,Home,Fulham,W,2022-11-05_premier_league_fulham,Manchester City,John Stones,5,eng ENG,RB,28-161,90,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,
6ef27b3c,https://fbref.com/en/matches/6ef27b3c/Manchester-City-Fulham-November-5-2022-Premier-League,2022-11-05,Premier League,Matchweek 15,Home,Fulham,W,2022-11-05_premier_league_fulham,Manchester City,Ederson,31,br BRA,GK,29-080,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
