Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Starter,18,Stefan Ortega
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Starter,2,Kyle Walker
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Starter,14,Aymeric Laporte
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Starter,16,Rodri
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Starter,19,Julián Álvarez
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Starter,20,Bernardo Silva
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Starter,21,Sergio Gómez
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Starter,25,Manuel Akanji
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Starter,26,Riyad Mahrez
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Starter,47,Phil Foden
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Starter,80,Cole Palmer
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Bench,31,Ederson
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Bench,4,Kalvin Phillips
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Bench,5,John Stones
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Bench,6,Nathan Aké
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Bench,7,João Cancelo
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Bench,8,İlkay Gündoğan
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Bench,9,Erling Haaland
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Bench,17,Kevin De Bruyne
b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Home,Chelsea,W,2023-01-08_fa_cup_chelsea,Manchester City,4-3-3,Bench,82,Rico Lewis
