Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Starter,31,Ederson
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Starter,2,Kyle Walker
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Starter,6,Nathan Aké
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Starter,7,João Cancelo
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Starter,9,Erling Haaland
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Starter,16,Rodri
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Starter,17,Kevin De Bruyne
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Starter,20,Bernardo Silva
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Starter,25,Manuel Akanji
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Starter,26,Riyad Mahrez
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Starter,47,Phil Foden
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Bench,18,Stefan Ortega
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Bench,4,Kalvin Phillips
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Bench,8,İlkay Gündoğan
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Bench,10,Jack Grealish
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Bench,14,Aymeric Laporte
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Bench,19,Julián Álvarez
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Bench,21,Sergio Gómez
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Bench,80,Cole Palmer
f0fd7541,https://fbref.com/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,2023-01-14,Premier League,Matchweek 20,Away,Manchester Utd,L,2023-01-14_premier_league_manchester_utd,Manchester City,4-3-3,Bench,82,Rico Lewis
