Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
eeefddca,https://fbref.com/en/matches/eeefddca/Manchester-City-Arsenal-January-27-2023-FA-Cup,2023-01-27,FA Cup,Fourth round proper,Home,Arsenal,W,2023-01-27_fa_cup_arsenal,Manchester City,Jack Grealish,10,eng ENG,FW,27-139,90,0,1,0,0,0,0,0,0,1,4,1,3,1,0,0,,
eeefddca,https://fbref.com/en/matches/eeefddca/Manchester-City-Arsenal-January-27-2023-FA-Cup,2023-01-27,FA Cup,Fourth round proper,Home,Arsenal,W,2023-01-27_fa_cup_arsenal,Manchester City,Riyad Mahrez,26,dz ALG,LW,31-340,57,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,,
eeefddca,https://fbref.com/en/matches/eeefddca/Manchester-City-Arsenal-January-27-2023-FA-Cup,2023-01-27,FA Cup,Fourth round proper,Home,Arsenal,W,2023-01-27_fa_cup_arsenal,Manchester City,Julián Álvarez,19,ar ARG,"FW,MF",22-361,33,0,0,0,0,2,1,0,0,0,0,1,2,1,0,0,,
eeefddca,https://fbref.com/en/matches/eeefddca/Manchester-City-Arsenal-January-27-2023-FA-Cup,2023-01-27,FA Cup,Fourth round proper,Home,Arsenal,W,2023-01-27_fa_cup_arsenal,Manchester City,Erling Haaland,9,no NOR,AM,22-190,90,0,0,0,0,2,1,0,0,2,1,1,0,0,0,0,,
eeefddca,https://fbref.com/en/matches/eeefddca/Manchester-City-Arsenal-January-27-2023-FA-Cup,2023-01-27,FA Cup,Fourth round proper,Home,Arsenal,W,2023-01-27_fa_cup_arsenal,Manchester City,İlkay Gündoğan,8,de GER,AM,32-095,90,0,0,0,0,0,0,1,0,1,2,0,1,2,1,0,,
eeefddca,https://fbref.com/en/matches/eeefddca/Manchester-City-Arsenal-January-27-2023-FA-Cup,2023-01-27,FA Cup,Fourth round proper,Home,Arsenal,W,2023-01-27_fa_cup_arsenal,Manchester City,Kevin De Bruyne,17,be BEL,RW,31-213,74,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,,
eeefddca,https://fbref.com/en/matches/eeefddca/Manchester-City-Arsenal-January-27-2023-FA-Cup,2023-01-27,FA Cup,Fourth round proper,Home,Arsenal,W,2023-01-27_fa_cup_arsenal,Manchester City,Bernardo Silva,20,pt POR,"FW,MF",28-170,16,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,,
eeefddca,https://fbref.com/en/matches/eeefddca/Manchester-City-Arsenal-January-27-2023-FA-Cup,2023-01-27,FA Cup,Fourth round proper,Home,Arsenal,W,2023-01-27_fa_cup_arsenal,Manchester City,John Stones,5,eng ENG,DM,28-244,44,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,
eeefddca,https://fbref.com/en/matches/eeefddca/Manchester-City-Arsenal-January-27-2023-FA-Cup,2023-01-27,FA Cup,Fourth round proper,Home,Arsenal,W,2023-01-27_fa_cup_arsenal,Manchester City,Aymeric Laporte,14,es ESP,DF,28-245,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
eeefddca,https://fbref.com/en/matches/eeefddca/Manchester-City-Arsenal-January-27-2023-FA-Cup,2023-01-27,FA Cup,Fourth round proper,Home,Arsenal,W,2023-01-27_fa_cup_arsenal,Manchester City,Manuel Akanji,25,ch SUI,DM,27-192,90,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,,
eeefddca,https://fbref.com/en/matches/eeefddca/Manchester-City-Arsenal-January-27-2023-FA-Cup,2023-01-27,FA Cup,Fourth round proper,Home,Arsenal,W,2023-01-27_fa_cup_arsenal,Manchester City,Nathan Aké,6,nl NED,CB,27-343,90,1,0,0,0,1,1,0,0,0,1,0,0,2,0,0,,
eeefddca,https://fbref.com/en/matches/eeefddca/Manchester-City-Arsenal-January-27-2023-FA-Cup,2023-01-27,FA Cup,Fourth round proper,Home,Arsenal,W,2023-01-27_fa_cup_arsenal,Manchester City,Rodri,16,es ESP,CB,26-219,90,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,,
eeefddca,https://fbref.com/en/matches/eeefddca/Manchester-City-Arsenal-January-27-2023-FA-Cup,2023-01-27,FA Cup,Fourth round proper,Home,Arsenal,W,2023-01-27_fa_cup_arsenal,Manchester City,Rico Lewis,82,eng ENG,CB,18-067,57,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,,
eeefddca,https://fbref.com/en/matches/eeefddca/Manchester-City-Arsenal-January-27-2023-FA-Cup,2023-01-27,FA Cup,Fourth round proper,Home,Arsenal,W,2023-01-27_fa_cup_arsenal,Manchester City,Kyle Walker,2,eng ENG,"DF,MF",32-244,33,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,
eeefddca,https://fbref.com/en/matches/eeefddca/Manchester-City-Arsenal-January-27-2023-FA-Cup,2023-01-27,FA Cup,Fourth round proper,Home,Arsenal,W,2023-01-27_fa_cup_arsenal,Manchester City,Stefan Ortega,18,de GER,GK,30-082,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
