Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
704aa0f3,https://fbref.com/en/matches/704aa0f3/Everton-Manchester-City-May-14-2023-Premier-League,2023-05-14,Premier League,Matchweek 36,Away,Everton,W,2023-05-14_premier_league_everton,Manchester City,Erling Haaland,9,no NOR,FW,22-297,77,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,,
704aa0f3,https://fbref.com/en/matches/704aa0f3/Everton-Manchester-City-May-14-2023-Premier-League,2023-05-14,Premier League,Matchweek 36,Away,Everton,W,2023-05-14_premier_league_everton,Manchester City,Jack Grealish,10,eng ENG,"FW,MF",27-246,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,
704aa0f3,https://fbref.com/en/matches/704aa0f3/Everton-Manchester-City-May-14-2023-Premier-League,2023-05-14,Premier League,Matchweek 36,Away,Everton,W,2023-05-14_premier_league_everton,Manchester City,Phil Foden,47,eng ENG,AM,22-351,90,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,,
704aa0f3,https://fbref.com/en/matches/704aa0f3/Everton-Manchester-City-May-14-2023-Premier-League,2023-05-14,Premier League,Matchweek 36,Away,Everton,W,2023-05-14_premier_league_everton,Manchester City,Julián Álvarez,19,ar ARG,AM,23-103,90,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,,
704aa0f3,https://fbref.com/en/matches/704aa0f3/Everton-Manchester-City-May-14-2023-Premier-League,2023-05-14,Premier League,Matchweek 36,Away,Everton,W,2023-05-14_premier_league_everton,Manchester City,Riyad Mahrez,26,dz ALG,AM,32-082,90,0,1,0,0,2,0,0,0,2,3,0,5,1,1,0,,
704aa0f3,https://fbref.com/en/matches/704aa0f3/Everton-Manchester-City-May-14-2023-Premier-League,2023-05-14,Premier League,Matchweek 36,Away,Everton,W,2023-05-14_premier_league_everton,Manchester City,İlkay Gündoğan,8,de GER,DM,32-202,77,2,1,0,0,2,2,0,0,2,0,0,3,0,0,0,,
704aa0f3,https://fbref.com/en/matches/704aa0f3/Everton-Manchester-City-May-14-2023-Premier-League,2023-05-14,Premier League,Matchweek 36,Away,Everton,W,2023-05-14_premier_league_everton,Manchester City,Bernardo Silva,20,pt POR,"FW,MF",28-277,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
704aa0f3,https://fbref.com/en/matches/704aa0f3/Everton-Manchester-City-May-14-2023-Premier-League,2023-05-14,Premier League,Matchweek 36,Away,Everton,W,2023-05-14_premier_league_everton,Manchester City,Rodri,16,es ESP,DM,26-326,87,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,,
704aa0f3,https://fbref.com/en/matches/704aa0f3/Everton-Manchester-City-May-14-2023-Premier-League,2023-05-14,Premier League,Matchweek 36,Away,Everton,W,2023-05-14_premier_league_everton,Manchester City,Kalvin Phillips,4,eng ENG,"DF,MF",27-163,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
704aa0f3,https://fbref.com/en/matches/704aa0f3/Everton-Manchester-City-May-14-2023-Premier-League,2023-05-14,Premier League,Matchweek 36,Away,Everton,W,2023-05-14_premier_league_everton,Manchester City,Manuel Akanji,25,ch SUI,LB,27-299,90,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,,
704aa0f3,https://fbref.com/en/matches/704aa0f3/Everton-Manchester-City-May-14-2023-Premier-League,2023-05-14,Premier League,Matchweek 36,Away,Everton,W,2023-05-14_premier_league_everton,Manchester City,Aymeric Laporte,14,es ESP,CB,28-352,90,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,
704aa0f3,https://fbref.com/en/matches/704aa0f3/Everton-Manchester-City-May-14-2023-Premier-League,2023-05-14,Premier League,Matchweek 36,Away,Everton,W,2023-05-14_premier_league_everton,Manchester City,Rúben Dias,3,pt POR,CB,26-000,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
704aa0f3,https://fbref.com/en/matches/704aa0f3/Everton-Manchester-City-May-14-2023-Premier-League,2023-05-14,Premier League,Matchweek 36,Away,Everton,W,2023-05-14_premier_league_everton,Manchester City,Sergio Gómez,21,es ESP,"DF,MF",22-252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
704aa0f3,https://fbref.com/en/matches/704aa0f3/Everton-Manchester-City-May-14-2023-Premier-League,2023-05-14,Premier League,Matchweek 36,Away,Everton,W,2023-05-14_premier_league_everton,Manchester City,Kyle Walker,2,eng ENG,RB,32-351,90,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,,
704aa0f3,https://fbref.com/en/matches/704aa0f3/Everton-Manchester-City-May-14-2023-Premier-League,2023-05-14,Premier League,Matchweek 36,Away,Everton,W,2023-05-14_premier_league_everton,Manchester City,Ederson,31,br BRA,GK,29-270,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
