Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
589e447b,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,2023-05-21,Premier League,Matchweek 37,Home,Chelsea,W,2023-05-21_premier_league_chelsea,Manchester City,Cole Palmer,80,eng ENG,FW,21-015,90,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,,
589e447b,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,2023-05-21,Premier League,Matchweek 37,Home,Chelsea,W,2023-05-21_premier_league_chelsea,Manchester City,Julián Álvarez,19,ar ARG,FW,23-110,90,1,0,0,0,3,2,0,0,2,1,1,2,1,1,0,,
589e447b,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,2023-05-21,Premier League,Matchweek 37,Home,Chelsea,W,2023-05-21_premier_league_chelsea,Manchester City,Riyad Mahrez,26,dz ALG,FW,32-089,73,0,0,0,0,1,0,0,0,3,0,1,5,1,0,0,,
589e447b,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,2023-05-21,Premier League,Matchweek 37,Home,Chelsea,W,2023-05-21_premier_league_chelsea,Manchester City,Erling Haaland,9,no NOR,"FW,MF",22-304,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
589e447b,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,2023-05-21,Premier League,Matchweek 37,Home,Chelsea,W,2023-05-21_premier_league_chelsea,Manchester City,Phil Foden,47,eng ENG,AM,22-358,90,0,0,0,0,4,0,0,0,2,2,0,1,0,0,0,,
589e447b,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,2023-05-21,Premier League,Matchweek 37,Home,Chelsea,W,2023-05-21_premier_league_chelsea,Manchester City,Sergio Gómez,21,es ESP,LM,22-259,77,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,,
589e447b,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,2023-05-21,Premier League,Matchweek 37,Home,Chelsea,W,2023-05-21_premier_league_chelsea,Manchester City,Kevin De Bruyne,17,be BEL,"FW,MF",31-327,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
589e447b,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,2023-05-21,Premier League,Matchweek 37,Home,Chelsea,W,2023-05-21_premier_league_chelsea,Manchester City,Rico Lewis,82,eng ENG,RM,18-181,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
589e447b,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,2023-05-21,Premier League,Matchweek 37,Home,Chelsea,W,2023-05-21_premier_league_chelsea,Manchester City,Kalvin Phillips,4,eng ENG,DM,27-170,90,0,0,0,0,3,0,0,0,2,1,0,0,0,1,0,,
589e447b,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,2023-05-21,Premier League,Matchweek 37,Home,Chelsea,W,2023-05-21_premier_league_chelsea,Manchester City,Aymeric Laporte,14,es ESP,CB,28-359,77,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,,
589e447b,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,2023-05-21,Premier League,Matchweek 37,Home,Chelsea,W,2023-05-21_premier_league_chelsea,Manchester City,Rodri,16,es ESP,"DF,MF",26-333,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
589e447b,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,2023-05-21,Premier League,Matchweek 37,Home,Chelsea,W,2023-05-21_premier_league_chelsea,Manchester City,Manuel Akanji,25,ch SUI,CB,27-306,56,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,
589e447b,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,2023-05-21,Premier League,Matchweek 37,Home,Chelsea,W,2023-05-21_premier_league_chelsea,Manchester City,John Stones,5,eng ENG,DF,28-358,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
589e447b,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,2023-05-21,Premier League,Matchweek 37,Home,Chelsea,W,2023-05-21_premier_league_chelsea,Manchester City,Kyle Walker,2,eng ENG,CB,32-358,90,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,
589e447b,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,2023-05-21,Premier League,Matchweek 37,Home,Chelsea,W,2023-05-21_premier_league_chelsea,Manchester City,Stefan Ortega,18,de GER,GK,30-196,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
