Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
Rodri,esESP,"MF,DF",26,56,52,"4,465",49.6,4,7,11,4,0,0,9,0,0.08,0.14,0.22,0.08,0.22,Matches
Ederson,brBRA,GK,28,48,47,"4,275",47.5,0,1,1,0,0,0,5,0,0.00,0.02,0.02,0.00,0.02,Matches
Erling Haaland,noNOR,"FW,MF",22,53,50,"4,116",45.7,52,9,61,44,8,9,6,0,1.14,0.20,1.33,0.96,1.16,Matches
İlkay Gündoğan,deGER,MF,31,51,45,"3,845",42.7,11,6,17,11,0,1,5,0,0.26,0.14,0.40,0.26,0.40,Matches
Manuel Akanji,chSUI,"DF,MF",27,48,40,"3,815",42.4,1,1,2,1,0,0,4,0,0.02,0.02,0.05,0.02,0.05,Matches
Kevin De Bruyne,beBEL,MF,31,49,43,"3,667",40.7,10,28,38,10,0,0,2,0,0.25,0.69,0.93,0.25,0.93,Matches
Bernardo Silva,ptPOR,"MF,FW",27,55,38,"3,608",40.1,7,6,13,7,0,0,9,0,0.17,0.15,0.32,0.17,0.32,Matches
Jack Grealish,engENG,"FW,MF",26,50,41,"3,474",38.6,5,11,16,5,0,0,6,0,0.13,0.28,0.41,0.13,0.41,Matches
Rúben Dias,ptPOR,"DF,MF",25,43,38,"3,469",38.5,1,0,1,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,Matches
Riyad Mahrez,dzALG,"MF,FW",31,47,36,"3,060",34.0,15,13,28,11,4,6,2,0,0.44,0.38,0.82,0.32,0.71,Matches
Nathan Aké,nlNED,DF,27,41,33,"2,890",32.1,3,0,3,3,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches
Kyle Walker,engENG,DF,32,39,31,"2,767",30.7,0,1,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,Matches
John Stones,engENG,"DF,MF",28,34,31,"2,694",29.9,3,3,6,3,0,0,2,0,0.10,0.10,0.20,0.10,0.20,Matches
Phil Foden,engENG,MF,22,48,29,"2,667",29.6,15,9,24,15,0,0,3,0,0.51,0.30,0.81,0.51,0.81,Matches
Julián Álvarez,arARG,FW,22,49,23,"2,545",28.3,17,4,21,15,2,2,1,0,0.60,0.14,0.74,0.53,0.67,Matches
João Cancelo,ptPOR,DF,28,26,23,"1,862",20.7,2,5,7,2,0,0,5,1,0.10,0.24,0.34,0.10,0.34,Matches
Aymeric Laporte,esESP,DF,28,24,20,"1,862",20.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rico Lewis,engENG,DF,17,23,16,"1,429",15.9,1,0,1,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches
Stefan Ortega,deGER,GK,29,14,14,"1,215",13.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Sergio Gómez,esESP,DF,21,23,10,970,10.8,0,2,2,0,0,0,0,1,0.00,0.19,0.19,0.00,0.19,Matches
Cole Palmer,engENG,MF,20,25,7,865,9.6,1,1,2,1,0,0,1,0,0.10,0.10,0.21,0.10,0.21,Matches
Kalvin Phillips,engENG,"DF,MF",26,21,4,608,6.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Josh Wilson-Esbrand,engENG,DF,19,2,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Shea Charles,nirNIR,"DF,MF",18,1,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Máximo Perrone,arARG,MF,19,2,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Scott Carson,engENG,GK,36,0,0,,,,,,,,,,,,,,,,Matches
Alex Robertson,auAUS,MF,19,0,0,,,,,,,,,,,,,,,,Matches
Claudio Gomes,frFRA,MF,22,0,0,,,,,,,,,,,,,,,,Matches
Ben Knight,engENG,MF,20,0,0,,,,,,,,,,,,,,,,Matches
Liam Delap,engENG,FW,19,0,0,,,,,,,,,,,,,,,,Matches
Luke Mbete-Tatu,engENG,DF,18,0,0,,,,,,,,,,,,,,,,Matches
Nico O’Reilly,engENG,"DF,MF",17,0,0,,,,,,,,,,,,,,,,Matches
