Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
Stefan Ortega,deGER,GK,29,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Aymeric Laporte,esESP,DF,28,3,3,260,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
İlkay Gündoğan,deGER,MF,31,3,3,226,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Cole Palmer,engENG,"MF,FW",20,3,3,207,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Julián Álvarez,arARG,FW,22,2,2,180,2.0,1,0,1,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches
Rico Lewis,engENG,DF,17,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Riyad Mahrez,dzALG,"MF,FW",31,2,2,180,2.0,2,0,2,2,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches
Rodri,esESP,MF,26,3,2,167,1.9,0,1,1,0,0,0,1,0,0.00,0.54,0.54,0.00,0.54,Matches
Jack Grealish,engENG,"MF,FW",26,3,2,163,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Sergio Gómez,esESP,DF,21,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nathan Aké,nlNED,DF,27,3,1,145,1.6,1,0,1,1,0,0,0,0,0.62,0.00,0.62,0.62,0.62,Matches
Kevin De Bruyne,beBEL,MF,31,2,1,135,1.5,0,2,2,0,0,0,0,0,0.00,1.33,1.33,0.00,1.33,Matches
Phil Foden,engENG,FW,22,2,1,108,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Erling Haaland,noNOR,FW,22,2,1,107,1.2,1,0,1,1,0,0,0,0,0.84,0.00,0.84,0.84,0.84,Matches
Manuel Akanji,chSUI,DF,27,2,1,105,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kalvin Phillips,engENG,MF,26,2,1,103,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
João Cancelo,ptPOR,DF,28,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rúben Dias,ptPOR,DF,25,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kyle Walker,engENG,DF,32,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bernardo Silva,ptPOR,"FW,MF",27,2,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
John Stones,engENG,DF,28,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Scott Carson,engENG,GK,36,0,0,,,,,,,,,,,,,,,,Matches
Ederson,brBRA,GK,28,0,0,,,,,,,,,,,,,,,,Matches
Alex Robertson,auAUS,MF,19,0,0,,,,,,,,,,,,,,,,Matches
