Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Starter,1,Hugo Lloris
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Starter,4,Oliver Skipp
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Starter,6,Davinson Sánchez
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Starter,7,Son Heung-min
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Starter,10,Harry Kane
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Starter,12,Emerson
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Starter,15,Eric Dier
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Starter,19,Ryan Sessegnon
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Starter,30,Rodrigo Bentancur
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Starter,34,Clément Lenglet
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Starter,38,Yves Bissouma
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Bench,20,Fraser Forster
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Bench,2,Matt Doherty
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Bench,11,Bryan Gil
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Bench,14,Ivan Perišić
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Bench,24,Djed Spence
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Bench,25,Japhet Tanganga
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Bench,27,Lucas Moura
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Bench,33,Ben Davies
ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,3-5-2,Bench,42,Harvey White
