Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Ivan Perišić,14,hr CRO,FW,33-280,58,0,0,0,0,1,0,0,0,1,0,0,7,0,1,0,,
3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Richarlison,9,br BRA,"FW,MF",25-183,32,0,0,0,0,1,0,0,0,1,1,2,1,0,1,0,,
3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Harry Kane,10,eng ENG,FW,29-104,58,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,
3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Bryan Gil,11,es ESP,"FW,MF",21-271,32,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,,
3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Ryan Sessegnon,19,eng ENG,LM,22-175,90,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,,
3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Pierre Højbjerg,5,dk DEN,CM,27-096,45,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,
3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Rodrigo Bentancur,30,uy URU,MF,25-137,45,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,,
3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Yves Bissouma,38,ml MLI,CM,26-071,90,0,0,0,0,1,0,1,0,4,4,0,0,1,2,0,,
3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Oliver Skipp,4,eng ENG,CM,22-054,58,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,
3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Dejan Kulusevski,21,se SWE,"FW,MF",22-198,32,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,,
3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Matt Doherty,2,ie IRL,RM,30-297,64,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,,
3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Djed Spence,24,eng ENG,"DF,MF",22-092,26,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,,
3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Clément Lenglet,34,fr FRA,CB,27-145,90,0,0,0,0,0,0,0,0,1,0,0,4,2,1,0,,
3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Eric Dier,15,eng ENG,CB,28-298,90,0,0,0,0,1,0,1,0,2,0,0,2,1,1,0,,
3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Davinson Sánchez,6,co COL,CB,26-150,90,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,,
3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Fraser Forster,20,eng ENG,GK,34-237,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
