Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
Yves Bissouma,mlMLI,MF,25,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Eric Dier,engENG,DF,28,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Fraser Forster,engENG,GK,34,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Clément Lenglet,frFRA,DF,27,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Davinson Sánchez,coCOL,DF,26,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ryan Sessegnon,engENG,MF,22,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Matt Doherty,ieIRL,MF,30,1,1,64,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Harry Kane,engENG,FW,29,1,1,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ivan Perišić,hrCRO,FW,33,1,1,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Oliver Skipp,engENG,MF,21,1,1,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Pierre Højbjerg,dkDEN,MF,26,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rodrigo Bentancur,uyURU,MF,25,1,0,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Bryan Gil,esESP,"FW,MF",21,1,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dejan Kulusevski,seSWE,"FW,MF",22,1,0,32,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Richarlison,brBRA,"FW,MF",25,1,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Djed Spence,engENG,"DF,MF",21,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Emerson,brBRA,"DF,MF",23,0,0,,,,,,,,,,,,,,,,Matches
Hugo Lloris,frFRA,GK,35,0,0,,,,,,,,,,,,,,,,Matches
Pape Matar Sarr,snSEN,MF,19,0,0,,,,,,,,,,,,,,,,Matches
Japhet Tanganga,engENG,DF,23,0,0,,,,,,,,,,,,,,,,Matches
