Date,start_time,Competition,Round,Day,Venue,Result,goals_for,goals_against,Opponent,possession,attendance,captain,formation,opp_formation,referee,Match_Report_URL,Match_Report,notes
2022-08-06,15:00(16:00),Premier League,Matchweek 1,Sat,Home,W,4,1,Southampton,58,"61,732",Hugo Lloris,3-4-3,5-3-2,Andre Marriner,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,Match Report,
2022-08-14,16:30(17:30),Premier League,Matchweek 2,Sun,Away,D,2,2,Chelsea,36,"39,946",Hugo Lloris,3-4-3,3-4-3,Anthony Taylor,https://fbref.com/en/matches/01e57bf5/Chelsea-Tottenham-Hotspur-August-14-2022-Premier-League,Match Report,
2022-08-20,12:30(13:30),Premier League,Matchweek 3,Sat,Home,W,1,0,Wolves,50,"61,298",Hugo Lloris,3-4-3,3-5-2,Simon Hooper,https://fbref.com/en/matches/5cc3bd0e/Tottenham-Hotspur-Wolverhampton-Wanderers-August-20-2022-Premier-League,Match Report,
2022-08-28,16:30(17:30),Premier League,Matchweek 4,Sun,Away,W,2,0,Nottingham Forest,45,"29,296",Hugo Lloris,3-4-3,3-4-3,Craig Pawson,https://fbref.com/en/matches/3c364307/Nottingham-Forest-Tottenham-Hotspur-August-28-2022-Premier-League,Match Report,
2022-08-31,19:45(20:45),Premier League,Matchweek 5,Wed,Away,D,1,1,West Ham United,62,"62,450",Hugo Lloris,3-4-3,4-2-3-1,Peter Bankes,https://fbref.com/en/matches/9f221621/West-Ham-United-Tottenham-Hotspur-August-31-2022-Premier-League,Match Report,
2022-09-03,15:00(16:00),Premier League,Matchweek 6,Sat,Home,W,2,1,Fulham,52,"61,641",Hugo Lloris,3-4-3,4-2-3-1,Stuart Attwell,https://fbref.com/en/matches/a497b725/Tottenham-Hotspur-Fulham-September-3-2022-Premier-League,Match Report,
2022-09-07,20:00(21:00),Champions Lg,Group stage,Wed,Home,W,2,0,frMarseille,50,"57,367",Hugo Lloris,3-4-3,3-2-4-1,Slavko Vinčič,https://fbref.com/en/matches/e5abb306/Tottenham-Hotspur-Marseille-September-7-2022-Champions-League,Match Report,
2022-09-13,17:45(18:45),Champions Lg,Group stage,Tue,Away,L,0,2,ptSporting CP,45,"39,899",Hugo Lloris,3-4-3,3-4-3,Srđan Jovanović,https://fbref.com/en/matches/14945858/Sporting-CP-Tottenham-Hotspur-September-13-2022-Champions-League,Match Report,
2022-09-17,17:30(18:30),Premier League,Matchweek 8,Sat,Home,W,6,2,Leicester City,44,"61,450",Hugo Lloris,3-4-3,4-1-4-1,Simon Hooper,https://fbref.com/en/matches/99e44c16/Tottenham-Hotspur-Leicester-City-September-17-2022-Premier-League,Match Report,
2022-10-01,12:30(13:30),Premier League,Matchweek 9,Sat,Away,L,1,3,Arsenal,35,"60,278",Hugo Lloris,3-4-3,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/aefe3b90/North-London-Derby-Arsenal-Tottenham-Hotspur-October-1-2022-Premier-League,Match Report,
2022-10-04,21:00,Champions Lg,Group stage,Tue,Away,D,0,0,deEintracht Frankfurt,56,"50,500",Hugo Lloris,3-4-3,3-4-3,Daniele Orsato,https://fbref.com/en/matches/2f44d120/Eintracht-Frankfurt-Tottenham-Hotspur-October-4-2022-Champions-League,Match Report,
2022-10-08,17:30(18:30),Premier League,Matchweek 10,Sat,Away,W,1,0,Brighton,41,"31,498",Hugo Lloris,3-5-2,3-4-3,Tony Harrington,https://fbref.com/en/matches/3eeefbc5/Brighton-and-Hove-Albion-Tottenham-Hotspur-October-8-2022-Premier-League,Match Report,
2022-10-12,20:00(21:00),Champions Lg,Group stage,Wed,Home,W,3,2,deEintracht Frankfurt,51,"55,180",Hugo Lloris,3-4-3,3-4-3,Carlos del Cerro,https://fbref.com/en/matches/bd7b7e39/Tottenham-Hotspur-Eintracht-Frankfurt-October-12-2022-Champions-League,Match Report,
2022-10-15,17:30(18:30),Premier League,Matchweek 11,Sat,Home,W,2,0,Everton,62,"61,812",Hugo Lloris,3-4-3,5-3-2,Paul Tierney,https://fbref.com/en/matches/e42493f9/Tottenham-Hotspur-Everton-October-15-2022-Premier-League,Match Report,
2022-10-19,20:15(21:15),Premier League,Matchweek 12,Wed,Away,L,0,2,Manchester Utd,48,"73,677",Hugo Lloris,3-5-2,4-2-3-1,Simon Hooper,https://fbref.com/en/matches/eebe78c1/Manchester-United-Tottenham-Hotspur-October-19-2022-Premier-League,Match Report,
2022-10-23,16:30(17:30),Premier League,Matchweek 13,Sun,Home,L,1,2,Newcastle United,52,"61,726",Hugo Lloris,3-5-2,4-3-3,Jarred Gillett,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,Match Report,
2022-10-26,20:00(21:00),Champions Lg,Group stage,Wed,Home,D,1,1,ptSporting CP,58,"59,588",Hugo Lloris,3-4-3,3-4-3,Danny Makkelie,https://fbref.com/en/matches/d72e39b0/Tottenham-Hotspur-Sporting-CP-October-26-2022-Champions-League,Match Report,
2022-10-29,15:00(16:00),Premier League,Matchweek 14,Sat,Away,W,3,2,Bournemouth,69,"10,430",Hugo Lloris,3-5-2,3-4-3,Anthony Taylor,https://fbref.com/en/matches/dcb3b971/Bournemouth-Tottenham-Hotspur-October-29-2022-Premier-League,Match Report,
2022-11-01,21:00,Champions Lg,Group stage,Tue,Away,W,2,1,frMarseille,36,"50,768",Hugo Lloris,3-4-3,3-2-4-1,Szymon Marciniak,https://fbref.com/en/matches/02a888e6/Marseille-Tottenham-Hotspur-November-1-2022-Champions-League,Match Report,
2022-11-06,16:30(17:30),Premier League,Matchweek 15,Sun,Home,L,1,2,Liverpool,47,"62,008",Hugo Lloris,5-3-2,4-4-2,Andy Madley,https://fbref.com/en/matches/2954504d/Tottenham-Hotspur-Liverpool-November-6-2022-Premier-League,Match Report,
2022-11-09,19:45(20:45),EFL Cup,Third round,Wed,Away,L,0,2,Nottingham Forest,59,"28,384",Harry Kane,3-5-2,4-3-1-2,Peter Bankes,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,Match Report,
2022-11-12,15:00(16:00),Premier League,Matchweek 16,Sat,Home,W,4,3,Leeds United,55,"61,667",Hugo Lloris,3-4-3,4-2-3-1,Michael Salisbury,https://fbref.com/en/matches/0030e686/Tottenham-Hotspur-Leeds-United-November-12-2022-Premier-League,Match Report,
2022-12-26,12:30(13:30),Premier League,Matchweek 17,Mon,Away,D,2,2,Brentford,61,"17,137",Harry Kane,3-4-3,3-5-2,David Coote,https://fbref.com/en/matches/14e4f648/Brentford-Tottenham-Hotspur-December-26-2022-Premier-League,Match Report,
2023-01-01,14:00(15:00),Premier League,Matchweek 18,Sun,Home,L,0,2,Aston Villa,59,"61,651",Hugo Lloris,3-4-3,4-4-2,John Brooks,https://fbref.com/en/matches/63e8eaf8/Tottenham-Hotspur-Aston-Villa-January-1-2023-Premier-League,Match Report,
2023-01-04,20:00(21:00),Premier League,Matchweek 19,Wed,Away,W,4,0,Crystal Palace,53,"25,132",Hugo Lloris,3-4-3,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/d8118454/Crystal-Palace-Tottenham-Hotspur-January-4-2023-Premier-League,Match Report,
2023-01-07,12:30(13:30),FA Cup,Third round proper,Sat,Home,W,1,0,Portsmouth,72,"60,161",Harry Kane,3-4-3,5-3-2,Thomas Bramall,https://fbref.com/en/matches/f19491e0/Tottenham-Hotspur-Portsmouth-January-7-2023-FA-Cup,Match Report,
2023-01-15,16:30(17:30),Premier League,Matchweek 20,Sun,Home,L,0,2,Arsenal,51,"61,870",Hugo Lloris,3-4-3,4-3-3,Craig Pawson,https://fbref.com/en/matches/4fc8b7b2/North-London-Derby-Tottenham-Hotspur-Arsenal-January-15-2023-Premier-League,Match Report,
2023-01-19,20:00(21:00),Premier League,Matchweek 7,Thu,Away,L,2,4,Manchester City,41,"53,088",Hugo Lloris,3-4-3,4-2-3-1,Simon Hooper,https://fbref.com/en/matches/847f0a9c/Manchester-City-Tottenham-Hotspur-January-19-2023-Premier-League,Match Report,
2023-01-23,20:00(21:00),Premier League,Matchweek 21,Mon,Away,W,1,0,Fulham,47,"24,190",Hugo Lloris,3-4-3,4-2-3-1,Paul Tierney,https://fbref.com/en/matches/098cd338/Fulham-Tottenham-Hotspur-January-23-2023-Premier-League,Match Report,
2023-01-28,18:00(19:00),FA Cup,Fourth round proper,Sat,Away,W,3,0,Preston North End,69,"21,219",Davinson Sánchez,3-4-3,3-5-2,Peter Bankes,https://fbref.com/en/matches/e05c81ee/Preston-North-End-Tottenham-Hotspur-January-28-2023-FA-Cup,Match Report,
2023-02-05,16:30(17:30),Premier League,Matchweek 22,Sun,Home,W,1,0,Manchester City,36,"61,747",Hugo Lloris,3-4-3,4-4-2,Andy Madley,https://fbref.com/en/matches/8a923619/Tottenham-Hotspur-Manchester-City-February-5-2023-Premier-League,Match Report,
2023-02-11,15:00(16:00),Premier League,Matchweek 23,Sat,Away,L,1,4,Leicester City,50,"32,184",Harry Kane,3-4-3,4-2-3-1,Michael Salisbury,https://fbref.com/en/matches/390c7b85/Leicester-City-Tottenham-Hotspur-February-11-2023-Premier-League,Match Report,
2023-02-14,21:00,Champions Lg,Round of 16,Tue,Away,L,0,1,itMilan,53,"74,320",Harry Kane,3-4-3,4-3-3,Sandro Schärer,https://fbref.com/en/matches/85836007/Milan-Tottenham-Hotspur-February-14-2023-Champions-League,Match Report,Leg 1 of 2
2023-02-19,16:30(17:30),Premier League,Matchweek 24,Sun,Home,W,2,0,West Ham United,57,"61,476",Harry Kane,3-4-3,3-4-3,Michael Oliver,https://fbref.com/en/matches/aae66d3d/Tottenham-Hotspur-West-Ham-United-February-19-2023-Premier-League,Match Report,
