team_id,club_name,stadium,where_they_play
1,Arsenal,Unknown,Unknown
2,Aston Villa,Unknown,Unknown
3,Bournemouth,Unknown,Unknown
4,Brentford,Unknown,Unknown
5,Brighton,Unknown,Unknown
6,Chelsea,Unknown,Unknown
7,Crystal Palace,Unknown,Unknown
8,Everton,Unknown,Unknown
9,Fulham,Unknown,Unknown
10,Leeds United,Unknown,Unknown
11,Leicester City,Unknown,Unknown
12,Liverpool,Unknown,Unknown
13,Manchester City,Unknown,Unknown
14,Manchester Utd,Unknown,Unknown
15,Newcastle United,Unknown,Unknown
16,Nottingham Forest,Unknown,Unknown
17,Portsmouth,Unknown,Unknown
18,Preston North End,Unknown,Unknown
19,Sheffield United,Unknown,Unknown
20,Southampton,Unknown,Unknown
21,West Ham United,Unknown,Unknown
22,Wolves,Unknown,Unknown
23,deEintracht Frankfurt,Unknown,Unknown
24,frMarseille,Unknown,Unknown
25,itMilan,Unknown,Unknown
26,ptSporting CP,Unknown,Unknown
