team_id,club_name,stadium,where_they_play
1,Aston Villa,Unknown,Unknown
2,Bournemouth,Unknown,Unknown
3,Brentford,Unknown,Unknown
4,Brighton,Unknown,Unknown
5,Burnley,Unknown,Unknown
6,Chelsea,Unknown,Unknown
7,Crystal Palace,Unknown,Unknown
8,Everton,Unknown,Unknown
9,Fulham,Unknown,Unknown
10,Liverpool,Unknown,Unknown
11,Luton Town,Unknown,Unknown
12,Manchester City,Unknown,Unknown
13,Manchester Utd,Unknown,Unknown
14,Newcastle United,Unknown,Unknown
15,Nottingham Forest,Unknown,Unknown
16,Sheffield United,Unknown,Unknown
17,Tottenham Hotspur,Unknown,Unknown
18,West Ham United,Unknown,Unknown
19,Wolves,Unknown,Unknown
20,deBayern Munich,Unknown,Unknown
21,esSevilla,Unknown,Unknown
22,frLens,Unknown,Unknown
23,nlPSV,Unknown,Unknown
24,ptPorto,Unknown,Unknown
