Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,Gabriel Martinelli,11,br BRA,FW,22-064,69,0,0,0,0,2,0,0,0,1,0,0,6,1,1,0,,
3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,Gabriel Magalhães,6,br BRA,DF,25-245,21,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,
3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,Eddie Nketiah,14,eng ENG,FW,24-083,78,0,0,0,0,3,0,0,0,2,3,0,1,0,0,0,,
3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,Jorginho,20,it ITA,MF,31-244,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,Bukayo Saka,7,eng ENG,FW,21-350,88,0,0,0,0,3,0,0,0,0,4,0,9,0,1,0,,
3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,Jakub Kiwior,15,pl POL,"DF,MF",23-187,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,Kai Havertz,29,de GER,CM,24-071,90,0,0,0,0,1,0,1,0,3,3,0,0,0,0,0,,
3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,Declan Rice,41,eng ENG,CM,24-219,90,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,,
3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,Martin Ødegaard,8,no NOR,CM,24-247,88,1,0,1,1,3,2,0,0,0,0,1,2,1,0,0,,
3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,Oleksandr Zinchenko,35,ua UKR,"DF,MF",26-249,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,Takehiro Tomiyasu,18,jp JPN,LB,24-289,66,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,,
3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,William Saliba,2,fr FRA,CB,22-150,90,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,,
3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,Ben White,4,eng ENG,CB,25-317,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,Thomas Partey,5,gh GHA,RB,30-069,90,0,0,0,0,2,1,0,0,0,2,0,2,3,0,0,,
3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,Aaron Ramsdale,1,eng ENG,GK,25-099,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
