Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Starter,22,David Raya
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Starter,2,William Saliba
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Starter,4,Ben White
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Starter,7,Bukayo Saka
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Starter,10,Emile Smith Rowe
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Starter,11,Gabriel Martinelli
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Starter,14,Eddie Nketiah
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Starter,15,Jakub Kiwior
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Starter,29,Kai Havertz
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Starter,35,Oleksandr Zinchenko
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Starter,41,Declan Rice
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Bench,1,Aaron Ramsdale
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Bench,6,Gabriel Magalhães
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Bench,8,Martin Ødegaard
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Bench,18,Takehiro Tomiyasu
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Bench,19,Leandro Trossard
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Bench,20,Jorginho
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Bench,21,Fabio Vieira
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Bench,24,Reiss Nelson
d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,4-3-3,Bench,25,Mohamed Elneny
